,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC
0,Unitarian145,1,5.80748415,"experi, dont, let, theolog, els, hallway, tell, wrong, realli, too",0.024363234,0.019047619,1,0,0.203045685,233,0.591370558,0.014839424,0.010409745,0.042303433,0.008637874,0.003986711,0.009966777,0.012624585,0.256921373,0.67737238,0.514337817
1,ACLU07,1,2.433201075,"camp, polic, dakota, protector, morton, surveil, pipelin, sheriff, roadblock, vehicl",0.01027027,0.015135135,0,1,0.391304348,27,0.391304348,0.002162162,0.000540541,0,0.011351351,0.001081081,0,0.005945946,0.278918919,0.581728024,0.723923388
2,SeaShepherds397,1,1.377949953,"turtl, shepherd, save, gift, donat, pollut, jairo, campaign, amaz, threat",0.037681159,0.023188406,1,0,0.882352941,15,0.882352941,0.046376812,0.023188406,0,0.005797101,0,0,0,0.524637681,0.671657567,0.437062563
3,JohnPiper413,1,3.986198187,"love, homosexu, say, command, fulfil, scriptur, keep, god, greg, violat",0.049211356,0.026182965,1,0,0.494186047,119,0.691860465,0.033123028,0.006940063,0.00851735,0.011356467,0.008832808,0.004100946,0.009463722,0.204416404,0.721582352,0.636675363
4,Shepherd695,1,4.140040874,"love, got, debt, rememb, pay, don, husband, prayer, get, ill",0.049491525,0.020677966,1,0,0.212698413,192,0.60952381,0.017627119,0.025084746,0.021694915,0.01220339,0.02779661,0.00779661,0.01559322,0.271864407,0.642954328,0.508893073
5,WBC107,1,3.593026876,"sodomit, fag, mankind, gay, sin, idolatri, god, wit, pride, abomin",0.024907063,0.043122677,0,1,0.292207792,66,0.428571429,0.000371747,0.000743494,0.001486989,0.028252788,0.018587361,0.00260223,0.010037175,0.2866171,0.663772305,0.570116153
6,MalcolmX012,1,5.121761084,"negro, solv, socal, malcolm, sam, black, want, uncl, civilright, get",0.020918599,0.016371078,1,0,0.260330579,154,0.636363636,0.011823556,0.016143702,0.005911778,0.012278308,0.018190086,0.002046385,0.012278308,0.200773079,0.711920654,0.682081281
7,LiberalJudaism059,1,2.085916042,"isra, jewish, jew, judaism, diaspora, israel, anxieti, fear, hanukkah, ident",0.019248396,0.012832264,1,0,0.617021277,36,0.765957447,0.014665445,0.002749771,0.004582951,0.016498625,0.001833181,0,0.013748854,0.391384051,0.752750711,0.620207475
8,YV13,1,1.389243126,"happi, want, get, stamp, unhappi, joy, got, say, can't, moment",0.016470588,0.007058824,1,0,0.578947368,28,0.736842105,0.009411765,0.070588235,0.002352941,0.007058824,0,0,0.032941176,0.407058824,0.775451635,0.553920281
9,JohnPiper020,1,1.588336945,"pastor, say, bibl, baptist, criswel, preacher, wisdom, know, anyth, hear",0.02724359,0.008012821,1,0,0.636363636,30,0.909090909,0.008012821,0.019230769,0.051282051,0.003205128,0.019230769,0,0.012820513,0.384615385,0.715310288,0.734986919
10,YV02,1,1.283783913,"yoga, ceremoni, eat, sleep, satchidananda, sake, don't, swami, spiritu, sri",0.026578073,0.003322259,1,0,0.611111111,13,0.722222222,0.009966777,0.019933555,0.033222591,0.026578073,0,0,0.003322259,0.514950166,0.775927279,0.579184716
11,YV19,1,1.378823996,"mind, mirror, realiz, fine, seren, distort, calm, eas, know, scriptur",0.035629454,0.03087886,1,0,0.540540541,30,0.810810811,0.033254157,0.071258907,0.002375297,0.002375297,0.004750594,0,0.011876485,0.396674584,0.738409127,0.49030789
12,YV39,1,1.340671062,"yoga, happi, whi, want, purpos, seem, goe, mosqu, templ, money",0.002754821,0,1,0,0.52,15,0.6,0.033057851,0,0,0.008264463,0.005509642,0,0.005509642,0.438016529,0.813742324,0.649262264
13,DorothyDay412,1,1.649394035,"loneli, worker, farm, quarrel, dispel, ward, appeal, erupt, prison, grace",0.034387895,0.027510316,1,0,0.333333333,28,0.622222222,0.031636864,0.006877579,0.011004127,0.002751032,0.004126547,0.004126547,0.013755158,0.447042641,0.773405358,0.469079469
14,AEU008,1,1.866317987,"right, stand, violenc, harm, someon, ration, shop, wherev, perpetr, instanc",0.053373615,0.01510574,1,0,0.514285714,24,0.685714286,0.021148036,0.022155086,0,0.008056395,0,0,0.007049345,0.401812689,0.780221395,0.674291598
15,MehrBaba161,1,2.089641809,"bahinabai, vithal, daughter, told, master, knew, get, rememb, hemakala, marri",0.022052587,0.006785411,1,0,0.483333333,46,0.766666667,0.001696353,0,0,0.004240882,0.022052587,0.081424936,0.000848176,0.27735369,0.699292112,0.735317217
16,AEU013,1,1.395097017,"flint, manag, safeti, discontinu, cost, detroit, fundament, health, water, guaranti",0.023172906,0.026737968,0,1,0.310344828,13,0.448275862,0.007130125,0,0.001782531,0.007130125,0,0,0.016042781,0.484848485,0.518784722,0.460333457
17,ISIS004,1,4.662847996,"allah, imamah, ibrahim, imam, millah, ibn, vers, alayhi, sallam, sallallahu",0.016874136,0.019087137,0,1,0.484615385,109,0.838461538,0.00802213,0.005809129,0.004426003,0.009405256,0.03264177,0.003872752,0.021300138,0.237067773,0.781585313,0.626859297
18,YV59,1,1.610124826,"devot, god, let, infinit, attach, belov, faith, love, someth, care",0.034920635,0.017460317,1,0,0.538461538,42,0.807692308,0.074603175,0.007936508,0.00952381,0.001587302,0,0.006349206,0.03015873,0.4,0.708206534,0.640522076
19,ACLU04,1,1.872692108,"cbp, fbi, assess, search, vulner, document, target, agenc, ask, question",0.008653846,0.020192308,0,1,0.4,17,0.425,0.003846154,0.001923077,0,0.023076923,0,0,0.005769231,0.381730769,0.660883622,0.442937413
20,ISIS008,1,4.139008999,"allah, nÅÇh, prophet, choic, punish, ark, flood, methodolog, save, da'wah",0.012484395,0.024656679,0,1,0.595744681,73,0.776595745,0.009363296,0.009051186,0.004369538,0.015917603,0.014981273,0,0.012172285,0.258114856,0.708505641,0.560929319
21,MalcolmX007,1,12.94662595,"malcolm, get, answer, think, racism, say, feel, negro, racist, interview",0.013637148,0.022009322,0,1,0.309033281,486,0.770206022,0.008717418,0.018470568,0.02433972,0.018297946,0.016485413,0.000604177,0.015622303,0.153115829,0.666954911,0.545841173
22,Unitarian068,1,4.648400068,"circl, senat, gay, episcop, hope, overlap, funni, venn, say, allard",0.027226319,0.018718094,1,0,0.230414747,134,0.617511521,0.011060692,0.002836075,0.030062394,0.010777085,0.014463982,0.00340329,0.011627907,0.317923993,0.669990676,0.536925084
23,MehrBaba125,1,2.242411137,"boy, tree, journey, snake, sleep, debtor, repli, room, ask, stay",0.018268467,0.016679905,1,0,0.58,45,0.9,0,0,0.001588562,0.020651311,0.063542494,0.001588562,0.01350278,0.313741064,0.794476859,0.862340342
24,WBC039,1,3.762634993,"cain, blood, abel, persecut, unto, shall, god, sermon, brook, tragedi",0.016684416,0.033368832,0,1,0.412790698,85,0.494186047,0.007099752,0.007454739,0.004614838,0.017749379,0.027334043,0.001774938,0.008164714,0.23571175,0.714303815,0.74266249
25,MalcolmX013,1,4.032935143,"polic, harlem, nonviol, realiz, get, hategang, blood, oppressor, negro, malcolm",0.012381883,0.023460411,0,1,0.242937853,128,0.723163842,0.008797654,0.015314435,0.021505376,0.026067123,0.014988596,0,0.015966113,0.23981753,0.717979611,0.552851284
26,ACLU03,1,2.021358013,"flint, safe, poison, failur, elementari, ppb, done, drink, appoint, water",0.03030303,0.025108225,1,0,0.285714286,25,0.446428571,0.002597403,0.004329004,0,0.00952381,0.004329004,0,0.01038961,0.399134199,0.749151698,0.476661675
27,WBC156,1,3.633860111,"comfort, shall, unto, christ, afflict, suffer, god, lord, righteous, wit",0.041682036,0.027665068,1,0,0.516666667,74,0.616666667,0.015492438,0.017336776,0.02434526,0.012910365,0.025082995,0,0.009590557,0.217263003,0.670659503,0.707358946
28,YV56,1,1.770391941,"babi, surrend, ego, monkey, jump, kitten, let, want, happen, anyth",0.015523933,0.015523933,0,1,0.371428571,51,0.728571429,0,0.062095731,0.029754204,0.002587322,0.001293661,0.006468305,0.029754204,0.31694696,0.724173083,0.579253923
29,ISIS005,1,0.929889917,"isi, syria, iraq, realiti, qaeda, safe, haven, borderland, sunni, ‰ÛÏisland",0.010169492,0.013559322,0,1,0.384615385,5,0.384615385,0.003389831,0,0,0,0,0,0.016949153,0.555932203,0.227079945,0.580110854
30,MalcolmX010,1,4.691439152,"get, civilright, noth, explos, promis, ake, harlem, oppress, prospect, malcolm",0.021069265,0.022122728,0,1,0.191489362,153,0.65106383,0.015275217,0.009481169,0.016328681,0.028180142,0.004213853,0.001316829,0.018698973,0.221227285,0.720211246,0.58817652
31,Bahai04,1,1.709566116,"baha'i, baha'u'llah, mediat, mose, prophet, heaven, divin, manifest, zoroast, realiti",0.034749035,0.009009009,1,0,0.441176471,20,0.588235294,0.01029601,0,0,0.019305019,0.009009009,0,0.007722008,0.384813385,0.718244911,0.566947098
32,JohnPiper564,1,3.374866009,"reconcil, vers, save, wrath, god, shall, christ, enemi, rescu, justifi",0.026748971,0.022633745,1,0,0.496551724,117,0.806896552,0.041152263,0.023868313,0.003292181,0.002469136,0.043621399,0,0.009876543,0.173662551,0.644459091,0.646481448
33,JohnPiper031,1,2.647140026,"fear, god, bethlehem, joy, christma, luke, sake, jesus, shall, rejoic",0.026054591,0.037841191,0,1,0.428571429,66,0.725274725,0.0117866,0.019851117,0.017990074,0.004962779,0.035359801,0.000620347,0.013027295,0.29528536,0.640311202,0.612990413
34,ACLU09,1,1.809094191,"secreci, subpoena, gag, amend, signal, default, demand, too, juri, aclu",0.015217391,0.020652174,0,1,0.40625,17,0.53125,0.006521739,0.001086957,0,0.00326087,0,0,0.019565217,0.401086957,0.698979377,0.607449832
35,MehrBaba005,1,2.566895008,"baba, mad, ashram, perfect, spiritu, love, mind, inmat, divin, meherabad",0.032258065,0.027073733,1,0,0.34939759,47,0.56626506,0.001152074,0.001728111,0.000576037,0.006336406,0.009792627,0,0.023617512,0.360023041,0.671459118,0.540547717
36,Bahai05,1,1.670336008,"tree, realiti, better, baha'i, remedi, uniti, mankind, should, blossom, prophet",0.043882979,0.039893617,1,0,0.230769231,18,0.461538462,0.002659574,0,0,0.011968085,0,0,0.030585106,0.424202128,0.753479699,0.604194929
37,Shepherd726,1,3.798424006,"adulteri, don, devil, fear, get, anger, friendship, satan, spiritu, want",0.029976019,0.036370903,0,1,0.194552529,154,0.59922179,0.020383693,0.021982414,0.023181455,0.01598721,0.022781775,0.005195843,0.007593925,0.262589928,0.652248462,0.489921291
38,DorothyDay611,1,1.557706833,"money, profit, tri, worker, sing, deem, forbad, matthew, insofar, duti",0.020667727,0.014308426,1,0,0.636363636,18,0.818181818,0.06836248,0.0063593,0,0.004769475,0.001589825,0,0.007949126,0.406995231,0.815698591,0.592524275
39,Bahai09,1,1.703405857,"baha'i, sex, equal, women, gender, baha'u'llah, talk, abdu'lbaha, woman, will",0.045,0.01125,1,0,0.454545455,15,0.454545455,0.00125,0,0,0.01375,0.0025,0.0025,0.005,0.3975,0.706868038,0.642101917
40,ISIS009,1,1.012629986,"isi, iraqi, syria, iraq, floor, fallujah, truck, mccain, ‰ÛÏnum, omar",0.027118644,0.023728814,1,0,0.666666667,6,0.666666667,0.003389831,0,0.003389831,0.013559322,0.010169492,0,0,0.613559322,0.249299093,0.581083736
41,WBC410,1,5.200166941,"jezebel, christ, unto, sin, adulteri, thyatira, bed, woman, repent, fornic",0.024613221,0.034692921,0,1,0.446236559,139,0.747311828,0.003281763,0.00867323,0.017815284,0.015939991,0.016877637,0.01875293,0.006329114,0.201593999,0.668606349,0.62658756
42,Shepherd459,1,3.541327953,"happen, evil, look, whi, want, perfect, devil, lord, sept, get",0.023301738,0.04107425,0,1,0.093117409,144,0.291497976,0.022906793,0.017772512,0.018167457,0.010663507,0.016587678,0.002764613,0.009873618,0.285545024,0.636780368,0.576861252
43,YV27,1,1.643715858,"selfish, karma, mind, yoga, feel, must, fruit, motiv, viewpoint, jnana",0.054602184,0.029641186,1,0,0.32,25,0.5,0,0.020280811,0.001560062,0.00624025,0.031201248,0,0.007800312,0.455538222,0.706717845,0.618484539
44,SeaShepherds407,1,2.539322138,"costa, rican, coco, illeg, shepherd, arrest, vessel, guatemalan, charg, rica",0.011532125,0.021965953,0,1,0.445783133,56,0.674698795,0.017572762,0,0.023613399,0.012630423,0.000549149,0,0.006040637,0.275672707,0.692374856,0.628273481
45,JohnPiper572,1,2.869887114,"condemn, christ, sinner, guilti, righteous, jesus, answer, god, judg, vers",0.036870952,0.033383159,1,0,0.402777778,83,0.576388889,0.026407573,0.01145989,0.022421525,0.000996512,0.021923269,0,0.011958146,0.301943199,0.608860266,0.528360249
46,SeaShepherds409,1,1.25135994,"vessel, thunder, poacher, crew, chase, gear, endur, illeg, monday, rescu",0.03562341,0.030534351,1,0,0.476190476,17,0.80952381,0.081424936,0.005089059,0,0.010178117,0,0.015267176,0.002544529,0.470737913,0.817912815,0.647116919
47,AEU014,1,1.313636065,"polic, too, ferguson, danger, suspicion, uneven, enforc, incid, safeti, better",0.022312373,0.034482759,0,1,0.411764706,10,0.588235294,0.038539554,0,0,0.004056795,0,0,0.002028398,0.482758621,0.817479146,0.672188407
48,WBC294,1,3.45660305,"shall, unto, thou, comfort, thee, thi, beast, shalt, stone, bless",0.032305433,0.023127753,1,0,0.489208633,98,0.705035971,0.019089574,0.016886931,0.041483113,0.008076358,0.017988253,0,0.008810573,0.243024963,0.671911951,0.596112311
49,SeaShepherds408,1,2.611489058,"whale, seal, ‰ÛÏhuman, ‰ÛÏsustain, harvest, slaughter, club, eat, ‰ÛÏconserv, fish",0.018075492,0.042530569,0,1,0.311926606,65,0.596330275,0.015417331,0.004784689,0.00744285,0.012759171,0.000531632,0.000531632,0.016480595,0.325358852,0.691110915,0.507854516
50,Shepherd358,1,4.103169918,"gps, lord, trust, happi, pray, husband, step, get, seek, prayer",0.030178326,0.018175583,1,0,0.240875912,181,0.660583942,0.035665295,0.01303155,0.016803841,0.005486968,0.031207133,0.01611797,0.008916324,0.237654321,0.668179006,0.596822233
51,AEU006,1,5.368903875,"shall, comfort, evil, labor, hour, desir, convict, let, nor, mind",0.039259424,0.027660049,1,0,0.240437158,145,0.792349727,0.025652465,0.01182244,0.001561454,0.012491635,0.008030337,0.002007584,0.016060674,0.287084542,0.75523758,0.857435597
52,ACLU01,1,1.665318966,"tortur, prison, salim, ‰ÛÏthe, victim, dark, trauma, bensoud, client, psychologist",0.008264463,0.047225502,0,1,0.43902439,26,0.634146341,0.010625738,0.001180638,0.0094451,0.007083825,0.033057851,0,0.007083825,0.45690673,0.612602019,0.433556172
53,JohnPiper358,1,3.282071114,"christ, gentil, reconcil, jew, god, israel, coven, glori, promis, jesus",0.017929016,0.013538236,1,0,0.467625899,82,0.589928058,0.016099524,0.017563117,0.006586169,0.007317966,0.020490304,0,0.003293085,0.185510428,0.687137402,0.84315097
54,PastorAnderson089,1,10.26095486,"say, get, circumcis, vers, save, chapter, whi, gentil, christ, thing",0.0211087,0.018938647,1,0,0.450094162,436,0.821092279,0.016571316,0.015190373,0.019925035,0.020812784,0.022292365,0,0.015190373,0.097849674,0.677784301,0.71614264
55,PastorAnderson155,1,11.94291186,"wive, polygami, say, bibl, let, shall, vers, guy, whi, get",0.022934537,0.016884876,1,0,0.389312977,474,0.723664122,0.008939052,0.02013544,0.01255079,0.016704289,0.026455982,0.003611738,0.016975169,0.098781038,0.694335564,0.632897576
56,JohnPiper008,1,3.903213978,"abort, babi, whi, excel, dark, deed, vers, let, christ, god",0.031795947,0.035988819,0,1,0.375722543,108,0.624277457,0.031795947,0.013277428,0.005590496,0.00698812,0.00873515,0,0.008385744,0.259958071,0.673622053,0.449454604
57,JohnPiper032,1,2.706888199,"thief, jesus, save, penit, paradis, wrong, fear, god, say, thiev",0.02583423,0.037674919,0,1,0.487179487,85,0.726495726,0.01883746,0.013993541,0.013993541,0.00861141,0.034983854,0,0.009149623,0.270182992,0.67089148,0.713595475
58,JohnPiper256,1,3.009459972,"jesus, woman, sabbath, abraham, women, synagogu, want, say, husband, look",0.028854436,0.015934539,1,0,0.417218543,106,0.701986755,0.014211886,0.019379845,0.002153316,0.010766581,0.029285099,0.011197244,0.011627907,0.226528854,0.679837188,0.566452437
