term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
whale,27,139.0,4.93447393313,3753.0,133.230796195,2.35593220339
whaler,8,139.0,4.93447393313,1112.0,39.475791465,0.69805398619
risk,7,139.0,4.93447393313,973.0,34.5413175319,0.610797237916
crew,6,139.0,4.93447393313,834.0,29.6068435988,0.523540489642
save,6,139.0,4.93447393313,834.0,29.6068435988,0.523540489642
defend,8,92.6666666667,4.52900882502,741.333333334,36.2320706002,0.465369324127
shepherd,5,139.0,4.93447393313,695.0,24.6723696657,0.436283741368
ask,5,139.0,4.93447393313,695.0,24.6723696657,0.436283741368
musashi,5,139.0,4.93447393313,695.0,24.6723696657,0.436283741368
japanes,7,92.6666666667,4.52900882502,648.666666667,31.7030617751,0.407198158611
shinken,4,139.0,4.93447393313,556.0,19.7378957325,0.349026993095
will,16,30.8888888889,3.43039653635,494.222222222,54.8863445816,0.310246216084
crewmemb,3,139.0,4.93447393313,417.0,14.8034217994,0.261770244821
grenad,3,139.0,4.93447393313,417.0,14.8034217994,0.261770244821
ship,6,69.5,4.24132675257,417.0,25.4479605154,0.261770244821
concuss,3,139.0,4.93447393313,417.0,14.8034217994,0.261770244821
commit,3,119.142857143,4.7803232533,357.428571429,14.3409697599,0.224374495561
voyag,3,119.142857143,4.7803232533,357.428571429,14.3409697599,0.224374495561
passion,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
samurai,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
injur,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
galapago,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
forth,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
sanctuari,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
knew,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
cape,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
sword,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
greenpeac,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
gentl,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
harm,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
intervent,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
warrior,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
sail,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
remot,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
ourselv,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
illeg,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
captain,2,139.0,4.93447393313,278.0,9.86894786626,0.174513496547
flag,2,119.142857143,4.7803232533,238.285714286,9.5606465066,0.149582997041
serious,2,119.142857143,4.7803232533,238.285714286,9.5606465066,0.149582997041
say,3,75.8181818182,4.32833812956,227.454545455,12.9850143887,0.142783769902
japan,4,55.6,4.01818320126,222.4,16.072732805,0.139610797238
prepar,2,104.25,4.64679186068,208.5,9.29358372136,0.130885122411
engag,2,104.25,4.64679186068,208.5,9.29358372136,0.130885122411
defens,3,69.5,4.24132675257,208.5,12.7239802577,0.130885122411
resolv,2,92.6666666667,4.52900882502,185.333333333,9.05801765004,0.116342331032
commiss,2,92.6666666667,4.52900882502,185.333333333,9.05801765004,0.116342331032
know,2,83.4,4.42364830936,166.8,8.84729661872,0.104708097928
truth,2,83.4,4.42364830936,166.8,8.84729661872,0.104708097928
protect,5,32.0769230769,3.46813686434,160.384615385,17.3406843217,0.100680863393
icon,2,75.8181818182,4.32833812956,151.636363636,8.65667625912,0.095189179935
die,4,37.9090909091,3.635190949,151.636363636,14.540763796,0.095189179935
planet,4,37.9090909091,3.635190949,151.636363636,14.540763796,0.095189179935
fight,3,49.0588235294,3.8930200583,147.176470588,11.6790601749,0.0923894981721
protest,3,49.0588235294,3.8930200583,147.176470588,11.6790601749,0.0923894981721
wet,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
outlaw,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
commentari,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
steer,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
client,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
richer,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
realm,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
mere,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
afraid,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
postur,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
extinguish,1,139.0,4.93447393313,139.0,4.93447393313,0.0872567482737
