term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
worker,12,92.6666666667,4.52900882502,1112.0,54.3481059002,0.32231884058
agn,8,139.0,4.93447393313,1112.0,39.475791465,0.32231884058
farm,11,83.4,4.42364830936,917.4,48.660131403,0.265913043478
too,7,119.142857143,4.7803232533,834.000000001,33.4622627731,0.241739130435
hear,6,139.0,4.93447393313,834.0,29.6068435988,0.241739130435
danc,6,119.142857143,4.7803232533,714.857142858,28.6819395198,0.207204968944
committe,5,139.0,4.93447393313,695.0,24.6723696657,0.201449275362
answer,5,139.0,4.93447393313,695.0,24.6723696657,0.201449275362
merci,5,139.0,4.93447393313,695.0,24.6723696657,0.201449275362
brother,16,36.2608695652,3.59073918643,580.173913043,57.4518269829,0.168166351607
prison,4,139.0,4.93447393313,556.0,19.7378957325,0.16115942029
illich,4,139.0,4.93447393313,556.0,19.7378957325,0.16115942029
miller,4,139.0,4.93447393313,556.0,19.7378957325,0.16115942029
staten,4,139.0,4.93447393313,556.0,19.7378957325,0.16115942029
monsignor,4,139.0,4.93447393313,556.0,19.7378957325,0.16115942029
refus,4,139.0,4.93447393313,556.0,19.7378957325,0.16115942029
pain,4,139.0,4.93447393313,556.0,19.7378957325,0.16115942029
pictur,4,139.0,4.93447393313,556.0,19.7378957325,0.16115942029
vineyard,4,139.0,4.93447393313,556.0,19.7378957325,0.16115942029
know,6,83.4,4.42364830936,500.4,26.5418898562,0.145043478261
will,14,30.8888888889,3.43039653635,432.444444445,48.0255515089,0.125346215781
get,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
sunday,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
shrine,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
chavez,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
garden,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
bed,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
acr,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
ivan,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
guerin,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
sentenc,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
nonviol,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
priest,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
comfort,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
spend,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
maurin,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
hudson,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
knew,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
sing,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
ellen,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
saturday,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
hope,3,139.0,4.93447393313,417.0,14.8034217994,0.120869565217
think,6,64.1538461538,4.1612840449,384.923076923,24.9677042694,0.111571906354
read,7,52.125,3.95364468012,364.875,27.6755127608,0.105760869565
vietnam,3,119.142857143,4.7803232533,357.428571429,14.3409697599,0.103602484472
hospit,4,83.4,4.42364830936,333.6,17.6945932374,0.0966956521739
nearbi,5,64.1538461538,4.1612840449,320.769230769,20.8064202245,0.0929765886287
night,3,104.25,4.64679186068,312.75,13.940375582,0.090652173913
visitor,3,92.6666666667,4.52900882502,278.0,13.5870264751,0.080579710145
vermont,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
marist,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
hang,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
sat,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
easter,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
barrytown,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
pastur,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
miseri,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
granddaught,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
babi,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
marchapril,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
room,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
noviti,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
glad,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
refrain,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
smile,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
catholic,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
multitud,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
upton,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
bob,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
hungri,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
paulsen,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
dom,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
shall,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
trip,2,139.0,4.93447393313,278.0,9.86894786626,0.0805797101449
