term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
merci,13,139.0,4.93447393313,1807.0,64.1481611307,0.746385790995
god,53,32.0769230769,3.46813686434,1700.07692308,183.81125381,0.702220951291
know,20,83.4,4.42364830936,1668.0,88.4729661872,0.68897149938
dont,12,139.0,4.93447393313,1668.0,59.2136871976,0.68897149938
save,10,139.0,4.93447393313,1390.0,49.3447393313,0.57414291615
scriptur,10,139.0,4.93447393313,1390.0,49.3447393313,0.57414291615
thank,9,139.0,4.93447393313,1251.0,44.4102653982,0.516728624535
bolt,8,139.0,4.93447393313,1112.0,39.475791465,0.45931433292
glori,8,139.0,4.93447393313,1112.0,39.475791465,0.45931433292
ask,7,139.0,4.93447393313,973.0,34.5413175319,0.401900041305
ball,7,139.0,4.93447393313,973.0,34.5413175319,0.401900041305
caddi,6,139.0,4.93447393313,834.0,29.6068435988,0.34448574969
wisdom,6,139.0,4.93447393313,834.0,29.6068435988,0.34448574969
quot,5,139.0,4.93447393313,695.0,24.6723696657,0.287071458075
disobedi,5,139.0,4.93447393313,695.0,24.6723696657,0.287071458075
ignor,5,139.0,4.93447393313,695.0,24.6723696657,0.287071458075
too,5,119.142857143,4.7803232533,595.714285715,23.9016162665,0.246061249779
want,5,119.142857143,4.7803232533,595.714285715,23.9016162665,0.246061249779
ill,7,83.4,4.42364830936,583.8,30.9655381655,0.241140024783
will,18,30.8888888889,3.43039653635,556.0,61.7471376543,0.22965716646
amaz,4,139.0,4.93447393313,556.0,19.7378957325,0.22965716646
bless,4,139.0,4.93447393313,556.0,19.7378957325,0.22965716646
shall,4,139.0,4.93447393313,556.0,19.7378957325,0.22965716646
someth,5,104.25,4.64679186068,521.25,23.2339593034,0.215303593556
mind,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.196848999823
mysteri,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.196848999823
plan,10,43.8947368421,3.78179442319,438.947368421,37.8179442319,0.181308289311
block,3,139.0,4.93447393313,417.0,14.8034217994,0.172242874845
forev,3,139.0,4.93447393313,417.0,14.8034217994,0.172242874845
repli,3,139.0,4.93447393313,417.0,14.8034217994,0.172242874845
