term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
shall,46,139.0,4.93447393313,6394.0,226.985800924,2.18076398363
coven,41,139.0,4.93447393313,5699.0,202.313431258,1.94372442019
unto,18,139.0,4.93447393313,2502.0,88.8205307963,0.853342428377
curs,17,139.0,4.93447393313,2363.0,83.8860568632,0.805934515689
grace,13,139.0,4.93447393313,1807.0,64.1481611307,0.616302864939
thou,13,139.0,4.93447393313,1807.0,64.1481611307,0.616302864939
sin,12,139.0,4.93447393313,1668.0,59.2136871976,0.568894952251
thi,9,139.0,4.93447393313,1251.0,44.4102653982,0.426671214188
etern,8,139.0,4.93447393313,1112.0,39.475791465,0.379263301501
flesh,7,139.0,4.93447393313,973.0,34.5413175319,0.331855388813
hath,7,139.0,4.93447393313,973.0,34.5413175319,0.331855388813
god,29,32.0769230769,3.46813686434,930.23076923,100.575969066,0.317268338755
will,30,30.8888888889,3.43039653635,926.666666667,102.91189609,0.316052751251
shalt,6,139.0,4.93447393313,834.0,29.6068435988,0.284447476126
glori,6,139.0,4.93447393313,834.0,29.6068435988,0.284447476126
thing,12,69.5,4.24132675257,834.0,50.8959210308,0.284447476126
wit,11,69.5,4.24132675257,764.5,46.6545942783,0.260743519782
away,7,104.25,4.64679186068,729.75,32.5275430248,0.24889154161
lord,13,55.6,4.01818320126,722.8,52.2363816164,0.246521145975
belov,5,139.0,4.93447393313,695.0,24.6723696657,0.237039563438
everlast,5,139.0,4.93447393313,695.0,24.6723696657,0.237039563438
walk,5,139.0,4.93447393313,695.0,24.6723696657,0.237039563438
soul,8,83.4,4.42364830936,667.2,35.3891864749,0.2275579809
send,5,119.142857143,4.7803232533,595.714285715,23.9016162665,0.203176768661
outlin,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
sunday,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
thee,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
fruit,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
sermon,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
hearken,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
wrath,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
talk,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
seed,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
satisfi,4,139.0,4.93447393313,556.0,19.7378957325,0.18963165075
spirit,5,104.25,4.64679186068,521.25,23.2339593034,0.177779672578
christ,5,104.25,4.64679186068,521.25,23.2339593034,0.177779672578
know,6,83.4,4.42364830936,500.4,26.5418898562,0.170668485675
dispens,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
perish,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
pleasur,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
gal,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
condemn,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
sure,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
therebi,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
saith,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
bless,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
debt,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
job,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
chasten,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
travail,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
contrari,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
sureti,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
terribl,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
towit,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
sent,4,104.25,4.64679186068,417.0,18.5871674427,0.142223738063
heaven,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
pay,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
sinner,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
rom,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
righteous,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
justifi,3,139.0,4.93447393313,417.0,14.8034217994,0.142223738063
