term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
don,16,139.0,4.93447393313,2224.0,78.9515829301,0.706704798221
christ,15,104.25,4.64679186068,1563.75,69.7018779102,0.496901811249
evil,11,139.0,4.93447393313,1529.0,54.2792132644,0.485859548777
preach,10,139.0,4.93447393313,1390.0,49.3447393313,0.441690498888
contend,8,139.0,4.93447393313,1112.0,39.475791465,0.35335239911
potter,8,139.0,4.93447393313,1112.0,39.475791465,0.35335239911
becki,8,139.0,4.93447393313,1112.0,39.475791465,0.35335239911
say,13,75.8181818182,4.32833812956,985.636363637,56.2683956843,0.313198717393
let,7,139.0,4.93447393313,973.0,34.5413175319,0.309183349221
preacher,7,139.0,4.93447393313,973.0,34.5413175319,0.309183349221
get,7,139.0,4.93447393313,973.0,34.5413175319,0.309183349221
condemn,7,139.0,4.93447393313,973.0,34.5413175319,0.309183349221
said,23,41.7,3.7305011288,959.1,85.8015259624,0.304766444233
truth,11,83.4,4.42364830936,917.4,48.660131403,0.291515729266
think,14,64.1538461538,4.1612840449,898.153846153,58.2579766286,0.285400014666
want,7,119.142857143,4.7803232533,834.000000001,33.4622627731,0.265014299333
harri,6,139.0,4.93447393313,834.0,29.6068435988,0.265014299333
hell,5,139.0,4.93447393313,695.0,24.6723696657,0.220845249444
shot,5,139.0,4.93447393313,695.0,24.6723696657,0.220845249444
nov,5,139.0,4.93447393313,695.0,24.6723696657,0.220845249444
mom,5,139.0,4.93447393313,695.0,24.6723696657,0.220845249444
tell,5,139.0,4.93447393313,695.0,24.6723696657,0.220845249444
thing,9,69.5,4.24132675257,625.5,38.1719407731,0.1987607245
gospel,6,104.25,4.64679186068,625.5,27.8807511641,0.1987607245
know,7,83.4,4.42364830936,583.8,30.9655381655,0.185510009533
here,11,52.125,3.95364468012,573.375,43.4900914813,0.182197330791
care,6,92.6666666667,4.52900882502,556.0,27.1740529501,0.176676199555
polic,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
unrest,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
lose,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
numyearold,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
pay,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
intersect,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
told,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
phil,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
wrong,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
answer,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
talk,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
hope,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
happen,4,139.0,4.93447393313,556.0,19.7378957325,0.176676199555
faith,10,52.125,3.95364468012,521.25,39.5364468012,0.165633937083
ill,6,83.4,4.42364830936,500.4,26.5418898562,0.1590085796
woman,4,119.142857143,4.7803232533,476.571428572,19.1212930132,0.151436742476
attent,6,75.8181818182,4.32833812956,454.909090909,25.9700287774,0.144553254182
god,14,32.0769230769,3.46813686434,449.076923077,48.5539161008,0.142700007333
how,10,43.8947368421,3.78179442319,438.947368421,37.8179442319,0.139481210175
kick,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
ken,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
shakem,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
resurrect,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
got,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
annoy,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
ask,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
untruth,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
nervous,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
listen,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
obnoxi,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
rude,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
good,12,34.75,3.54817957201,417.0,42.5781548641,0.132507149666
noth,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
breakfast,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
crude,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
hurt,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
reilli,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
flower,3,139.0,4.93447393313,417.0,14.8034217994,0.132507149666
must,7,59.5714285714,4.08717607274,417.0,28.6102325092,0.132507149666
will,13,30.8888888889,3.43039653635,401.555555556,44.5951549725,0.127599477457
need,9,43.8947368421,3.78179442319,395.052631579,34.0361498087,0.125533089158
jesus,6,64.1538461538,4.1612840449,384.923076923,24.9677042694,0.122314292
enough,5,75.8181818182,4.32833812956,379.090909091,21.6416906478,0.120461045151
daughter,4,92.6666666667,4.52900882502,370.666666667,18.1160353001,0.117784133037
sister,7,49.0588235294,3.8930200583,343.411764706,27.2511404081,0.109123535019
francisco,4,83.4,4.42364830936,333.6,17.6945932374,0.106005719733
look,4,83.4,4.42364830936,333.6,17.6945932374,0.106005719733
