term,freq,idf,logidf,tfidf,logtfidf,scaled_tfidf
judg,19,139.0,4.93447393313,2641.0,93.7550047295,0.842962017236
don,15,139.0,4.93447393313,2085.0,74.017108997,0.665496329397
love,30,64.1538461538,4.1612840449,1924.61538461,124.838521347,0.614304304058
joyc,10,139.0,4.93447393313,1390.0,49.3447393313,0.443664219598
bob,9,139.0,4.93447393313,1251.0,44.4102653982,0.399297797638
got,8,139.0,4.93447393313,1112.0,39.475791465,0.354931375678
told,8,139.0,4.93447393313,1112.0,39.475791465,0.354931375678
walk,8,139.0,4.93447393313,1112.0,39.475791465,0.354931375678
need,23,43.8947368421,3.78179442319,1009.57894737,86.9812717334,0.322240327918
debt,7,139.0,4.93447393313,973.0,34.5413175319,0.310564953718
judgment,7,139.0,4.93447393313,973.0,34.5413175319,0.310564953718
want,7,119.142857143,4.7803232533,834.000000001,33.4622627731,0.266198531759
ladi,6,139.0,4.93447393313,834.0,29.6068435988,0.266198531759
chuck,6,139.0,4.93447393313,834.0,29.6068435988,0.266198531759
smile,6,139.0,4.93447393313,834.0,29.6068435988,0.266198531759
humbl,6,139.0,4.93447393313,834.0,29.6068435988,0.266198531759
know,9,83.4,4.42364830936,750.6,39.8128347842,0.239578678583
said,17,41.7,3.7305011288,708.9,63.4185191896,0.226268751995
reunion,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
hear,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
counter,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
sin,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
ask,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
husband,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
car,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
talk,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
get,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
felt,5,139.0,4.93447393313,695.0,24.6723696657,0.221832109799
lord,11,55.6,4.01818320126,611.6,44.2000152139,0.195212256623
too,5,119.142857143,4.7803232533,595.714285715,23.9016162665,0.190141808399
