,id,cocowindow,cvWindow,netAngle,startCount,rfAccuracy,rfMae,svmAccuracy,svmMae
0,5_2_60_0,5,2,60,0,0.9056603773584906,0.31320754716981136,0.8584905660377359,0.47971180490134535
1,5_2_60_0,5,2,60,0,0.8773584905660378,0.330188679245283,0.8490566037735849,0.5244994723107512
2,5_2_60_0,5,2,60,0,0.8962264150943396,0.28018867924528307,0.9056603773584906,0.41107441220248603
3,2_4_45_0,2,4,45,0,0.8679245283018868,0.33773584905660387,0.8584905660377359,0.49435076684245777
4,2_4_45_0,2,4,45,0,0.8584905660377359,0.359433962264151,0.8301886792452831,0.5473569492344177
5,2_4_45_0,2,4,45,0,0.9245283018867925,0.25094339622641504,0.9056603773584906,0.437853142449918
6,4_3_75_0,4,3,75,0,0.8867924528301887,0.3179245283018869,0.8113207547169812,0.5301799839250667
7,4_3_75_0,4,3,75,0,0.8773584905660378,0.3613207547169812,0.839622641509434,0.5218606389598794
8,4_3_75_0,4,3,75,0,0.9150943396226415,0.2622641509433963,0.9056603773584906,0.40676502746736487
9,5_2_75_0,5,2,75,0,0.8679245283018868,0.3358490566037736,0.8301886792452831,0.5321834374955672
10,5_2_75_0,5,2,75,0,0.8773584905660378,0.33113207547169804,0.8490566037735849,0.5174160465664139
11,5_2_75_0,5,2,75,0,0.9245283018867925,0.279245283018868,0.8962264150943396,0.41901023783305263
12,3_3_45_0,3,3,45,0,0.8867924528301887,0.29905660377358495,0.839622641509434,0.4878984232738049
13,3_3_45_0,3,3,45,0,0.8773584905660378,0.33962264150943405,0.839622641509434,0.5402627679325684
14,3_3_45_0,3,3,45,0,0.9245283018867925,0.23773584905660378,0.8962264150943396,0.43069324514021684
15,3_6_60_0,3,6,60,0,0.8773584905660378,0.32452830188679255,0.8207547169811321,0.5021783736979647
16,3_6_60_0,3,6,60,0,0.8584905660377359,0.35377358490566047,0.8301886792452831,0.5276806250721809
17,3_6_60_0,3,6,60,0,0.9056603773584906,0.25566037735849056,0.8962264150943396,0.4230216716101469
18,6_4_45_0,6,4,45,0,0.8773584905660378,0.338679245283019,0.8490566037735849,0.45455869139722443
19,6_4_45_0,6,4,45,0,0.8867924528301887,0.36226415094339615,0.8490566037735849,0.5303761135103633
20,6_4_45_0,6,4,45,0,0.9150943396226415,0.26226415094339633,0.9150943396226415,0.4020702014266722
21,2_5_30_0,2,5,30,0,0.8679245283018868,0.3405660377358492,0.8584905660377359,0.4823243206367726
22,2_5_30_0,2,5,30,0,0.8679245283018868,0.3773584905660379,0.8301886792452831,0.5338233041419995
23,2_5_30_0,2,5,30,0,0.9245283018867925,0.2566037735849057,0.8962264150943396,0.4315730529968823
24,2_6_30_0,2,6,30,0,0.8679245283018868,0.3358490566037737,0.8490566037735849,0.48026426714715764
25,2_6_30_0,2,6,30,0,0.8773584905660378,0.36981132075471707,0.839622641509434,0.5265250727398566
26,2_6_30_0,2,6,30,0,0.9150943396226415,0.25094339622641515,0.8962264150943396,0.42818400796290557
27,6_6_75_0,6,6,75,0,0.8490566037735849,0.349056603773585,0.8207547169811321,0.5102979168059546
28,6_6_75_0,6,6,75,0,0.8773584905660378,0.3358490566037735,0.8490566037735849,0.5127915157912377
29,6_6_75_0,6,6,75,0,0.9150943396226415,0.2650943396226415,0.8962264150943396,0.4082932785433028
30,4_5_60_0,4,5,60,0,0.8962264150943396,0.3216981132075471,0.8490566037735849,0.5026402036850898
31,4_5_60_0,4,5,60,0,0.8679245283018868,0.34150943396226413,0.839622641509434,0.5417145556853141
32,4_5_60_0,4,5,60,0,0.9150943396226415,0.2716981132075472,0.9056603773584906,0.3997095550841177
33,3_5_75_0,3,5,75,0,0.8679245283018868,0.3405660377358491,0.8113207547169812,0.5350348603412292
34,3_5_75_0,3,5,75,0,0.8301886792452831,0.3811320754716983,0.8490566037735849,0.5277115893661289
35,3_5_75_0,3,5,75,0,0.9150943396226415,0.24433962264150946,0.9056603773584906,0.42137091327300774
36,5_5_75_0,5,5,75,0,0.8679245283018868,0.35094339622641524,0.8018867924528302,0.5258483164360096
37,5_5_75_0,5,5,75,0,0.8679245283018868,0.3405660377358491,0.8584905660377359,0.5235624850134043
38,5_5_75_0,5,5,75,0,0.9150943396226415,0.2632075471698113,0.8962264150943396,0.4063014195186971
39,6_6_60_0,6,6,60,0,0.8867924528301887,0.33018867924528317,0.8584905660377359,0.46800770884649084
40,6_6_60_0,6,6,60,0,0.8679245283018868,0.3481132075471698,0.8490566037735849,0.5190087732310134
41,6_6_60_0,6,6,60,0,0.9056603773584906,0.27358490566037735,0.9056603773584906,0.38921959023113084
42,2_5_60_0,2,5,60,0,0.8773584905660378,0.3377358490566038,0.839622641509434,0.4896580492591505
43,2_5_60_0,2,5,60,0,0.8490566037735849,0.36037735849056607,0.8301886792452831,0.5565727264897138
44,2_5_60_0,2,5,60,0,0.9339622641509434,0.21037735849056602,0.9056603773584906,0.4159243209920181
45,3_6_75_0,3,6,75,0,0.8584905660377359,0.3377358490566038,0.8113207547169812,0.5292623262907223
46,3_6_75_0,3,6,75,0,0.8679245283018868,0.3650943396226415,0.8490566037735849,0.525442149094594
47,3_6_75_0,3,6,75,0,0.9150943396226415,0.2462264150943396,0.9056603773584906,0.42821862558343904
48,3_2_45_0,3,2,45,0,0.8867924528301887,0.2962264150943397,0.8490566037735849,0.49208321143736156
49,3_2_45_0,3,2,45,0,0.8962264150943396,0.33396226415094343,0.839622641509434,0.5450980154446037
50,3_2_45_0,3,2,45,0,0.9245283018867925,0.2358490566037736,0.8962264150943396,0.4507164385196619
51,6_4_75_0,6,4,75,0,0.8679245283018868,0.35566037735849065,0.8301886792452831,0.5080819472529672
52,6_4_75_0,6,4,75,0,0.8773584905660378,0.3386792452830189,0.8490566037735849,0.5186537505094011
53,6_4_75_0,6,4,75,0,0.9150943396226415,0.2622641509433963,0.8962264150943396,0.4108947497684229
54,4_4_30_0,4,4,30,0,0.8679245283018868,0.33301886792452834,0.839622641509434,0.47131940327893007
55,4_4_30_0,4,4,30,0,0.8490566037735849,0.36037735849056607,0.8584905660377359,0.5238667583243974
56,4_4_30_0,4,4,30,0,0.8962264150943396,0.27358490566037735,0.8867924528301887,0.4262564152915064
57,6_3_75_0,6,3,75,0,0.8679245283018868,0.3433962264150943,0.8301886792452831,0.5046041031900185
58,6_3_75_0,6,3,75,0,0.8584905660377359,0.358490566037736,0.839622641509434,0.5188524989501652
59,6_3_75_0,6,3,75,0,0.9056603773584906,0.2764150943396227,0.8962264150943396,0.41238440106214974
60,4_6_60_0,4,6,60,0,0.8773584905660378,0.3349056603773586,0.8490566037735849,0.5033437995544882
61,4_6_60_0,4,6,60,0,0.8584905660377359,0.3481132075471698,0.8301886792452831,0.5406444983254479
62,4_6_60_0,4,6,60,0,0.9150943396226415,0.268867924528302,0.9056603773584906,0.40041913942651813
63,6_5_60_0,6,5,60,0,0.8867924528301887,0.32547169811320764,0.8584905660377359,0.4693904494423846
64,6_5_60_0,6,5,60,0,0.8773584905660378,0.3471698113207547,0.8490566037735849,0.5248626515979471
65,6_5_60_0,6,5,60,0,0.8962264150943396,0.2830188679245283,0.9150943396226415,0.3890897945110727
66,3_3_60_0,3,3,60,0,0.8867924528301887,0.310377358490566,0.8113207547169812,0.5051516401943269
67,3_3_60_0,3,3,60,0,0.8490566037735849,0.3603773584905661,0.839622641509434,0.5395682644614486
68,3_3_60_0,3,3,60,0,0.8867924528301887,0.26037735849056604,0.8962264150943396,0.42852085616252167
69,2_5_75_0,2,5,75,0,0.8679245283018868,0.3396226415094341,0.8301886792452831,0.48544141783826694
70,2_5_75_0,2,5,75,0,0.8679245283018868,0.35660377358490575,0.8584905660377359,0.5168487652780087
71,2_5_75_0,2,5,75,0,0.9245283018867925,0.2792452830188679,0.8867924528301887,0.4377506662880279
72,3_6_45_0,3,6,45,0,0.8962264150943396,0.3113207547169812,0.8301886792452831,0.4921899606915442
73,3_6_45_0,3,6,45,0,0.8679245283018868,0.3462264150943397,0.839622641509434,0.5246182157924877
74,3_6_45_0,3,6,45,0,0.9245283018867925,0.22547169811320752,0.9056603773584906,0.42029087411749
75,2_3_75_0,2,3,75,0,0.8773584905660378,0.31886792452830204,0.8490566037735849,0.4895663802615619
76,2_3_75_0,2,3,75,0,0.8679245283018868,0.35377358490566035,0.8584905660377359,0.525256763093756
77,2_3_75_0,2,3,75,0,0.9245283018867925,0.27735849056603773,0.8867924528301887,0.43962546964650073
78,2_2_60_0,2,2,60,0,0.8867924528301887,0.31603773584905664,0.8490566037735849,0.4997935844837207
79,2_2_60_0,2,2,60,0,0.8490566037735849,0.3471698113207547,0.8301886792452831,0.5594072349906851
80,2_2_60_0,2,2,60,0,0.8962264150943396,0.2735849056603774,0.9056603773584906,0.4280867628511189
81,6_5_30_0,6,5,30,0,0.8773584905660378,0.32452830188679244,0.839622641509434,0.4519863868586294
82,6_5_30_0,6,5,30,0,0.8773584905660378,0.3471698113207547,0.839622641509434,0.5153911682769101
83,6_5_30_0,6,5,30,0,0.9150943396226415,0.2452830188679245,0.9150943396226415,0.4175710369472749
84,6_3_30_0,6,3,30,0,0.8867924528301887,0.32169811320754726,0.839622641509434,0.45531409971113973
85,6_3_30_0,6,3,30,0,0.8490566037735849,0.3669811320754717,0.839622641509434,0.5237993944823204
86,6_3_30_0,6,3,30,0,0.9056603773584906,0.2575471698113208,0.9150943396226415,0.4195493759942317
87,5_3_60_0,5,3,60,0,0.8962264150943396,0.32264150943396225,0.8584905660377359,0.4731656351610807
88,5_3_60_0,5,3,60,0,0.8584905660377359,0.35471698113207556,0.8490566037735849,0.5215243441855444
89,5_3_60_0,5,3,60,0,0.8962264150943396,0.28679245283018867,0.9056603773584906,0.40653010350604424
90,4_3_45_0,4,3,45,0,0.8773584905660378,0.3245283018867925,0.8584905660377359,0.4778573147206243
91,4_3_45_0,4,3,45,0,0.8584905660377359,0.3537735849056605,0.8301886792452831,0.5558916402005435
92,4_3_45_0,4,3,45,0,0.9245283018867925,0.24339622641509434,0.9150943396226415,0.4191529218762024
93,3_3_75_0,3,3,75,0,0.8773584905660378,0.32547169811320764,0.8113207547169812,0.5303535561448494
94,3_3_75_0,3,3,75,0,0.8584905660377359,0.35849056603773594,0.8490566037735849,0.5295354963287472
95,3_3_75_0,3,3,75,0,0.9056603773584906,0.2537735849056605,0.8962264150943396,0.41904317343018116
96,2_6_75_0,2,6,75,0,0.8679245283018868,0.33396226415094343,0.8301886792452831,0.4850488605482837
97,2_6_75_0,2,6,75,0,0.8584905660377359,0.3773584905660379,0.8584905660377359,0.508331684615344
98,2_6_75_0,2,6,75,0,0.9245283018867925,0.2575471698113208,0.8867924528301887,0.43631610783614805
99,5_4_30_0,5,4,30,0,0.8679245283018868,0.3320754716981133,0.839622641509434,0.45412848543302364
100,5_4_30_0,5,4,30,0,0.8584905660377359,0.3613207547169812,0.839622641509434,0.5255822468171669
101,5_4_30_0,5,4,30,0,0.9245283018867925,0.259433962264151,0.9150943396226415,0.4251148657168641
102,6_3_60_0,6,3,60,0,0.8773584905660378,0.3283018867924529,0.8490566037735849,0.4628595846619616
103,6_3_60_0,6,3,60,0,0.8679245283018868,0.3613207547169811,0.8490566037735849,0.5265732911525618
104,6_3_60_0,6,3,60,0,0.8867924528301887,0.2849056603773584,0.9150943396226415,0.39242380399553367
105,5_4_45_0,5,4,45,0,0.8773584905660378,0.3433962264150945,0.8584905660377359,0.46118754376227344
106,5_4_45_0,5,4,45,0,0.8867924528301887,0.35943396226415086,0.839622641509434,0.5276012292781468
107,5_4_45_0,5,4,45,0,0.9056603773584906,0.27452830188679245,0.9056603773584906,0.41310256949001367
108,4_6_30_0,4,6,30,0,0.8679245283018868,0.3349056603773586,0.839622641509434,0.4703160723027393
109,4_6_30_0,4,6,30,0,0.8490566037735849,0.37075471698113216,0.8490566037735849,0.5185374680412195
110,4_6_30_0,4,6,30,0,0.8962264150943396,0.28207547169811326,0.8867924528301887,0.42148968293126876
111,5_3_30_0,5,3,30,0,0.8773584905660378,0.32830188679245287,0.839622641509434,0.45846119599012386
112,5_3_30_0,5,3,30,0,0.8584905660377359,0.3735849056603775,0.839622641509434,0.5295197910333886
113,5_3_30_0,5,3,30,0,0.9245283018867925,0.269811320754717,0.9150943396226415,0.42665757952429406
114,2_3_45_0,2,3,45,0,0.8773584905660378,0.32452830188679255,0.8490566037735849,0.4997103999954918
115,2_3_45_0,2,3,45,0,0.8679245283018868,0.34150943396226424,0.8301886792452831,0.5561621689907054
116,2_3_45_0,2,3,45,0,0.9245283018867925,0.2716981132075472,0.9056603773584906,0.44558742906718357
117,3_4_75_0,3,4,75,0,0.8773584905660378,0.330188679245283,0.8113207547169812,0.531193093128009
118,3_4_75_0,3,4,75,0,0.8584905660377359,0.37547169811320774,0.8490566037735849,0.5294321278098684
119,3_4_75_0,3,4,75,0,0.8962264150943396,0.2556603773584906,0.9056603773584906,0.419476547872475
120,5_4_60_0,5,4,60,0,0.8962264150943396,0.3301886792452831,0.8490566037735849,0.4741583881694962
121,5_4_60_0,5,4,60,0,0.8584905660377359,0.35849056603773594,0.8490566037735849,0.5222137782403854
122,5_4_60_0,5,4,60,0,0.9056603773584906,0.29905660377358495,0.8962264150943396,0.4036420172464732
123,2_4_30_0,2,4,30,0,0.8679245283018868,0.3330188679245284,0.8490566037735849,0.4808037206828392
124,2_4_30_0,2,4,30,0,0.8584905660377359,0.3679245283018869,0.8490566037735849,0.5355992601169051
125,2_4_30_0,2,4,30,0,0.9245283018867925,0.25283018867924534,0.8962264150943396,0.43546248320750447
126,4_5_75_0,4,5,75,0,0.8867924528301887,0.3198113207547171,0.8207547169811321,0.5240819687464148
