,id,cocowindow,cvWindow,netAngle,startCount,rfAccuracy,svmAccuracy
0,5_2_60_0,5,2,60,0,0.45896226415094354,0.5522231937924418
1,5_2_60_0,5,2,60,0,0.49905660377358496,0.5430129285823108
2,5_2_60_0,5,2,60,0,0.40286244154168677,0.48606050037152754
3,4_4_75_20,4,4,75,20,0.44412698412698415,0.5962808213908455
4,4_4_75_20,4,4,75,20,0.5132075471698114,0.6013148544490801
5,4_4_75_20,4,4,75,20,0.42152222577550347,0.47903641288159704
6,3_5_75_30,3,5,75,30,0.4630476190476193,0.5911260358172645
7,3_5_75_30,3,5,75,30,0.5216981132075472,0.5458181986972674
8,3_5_75_30,3,5,75,30,0.46209119062390863,0.4450419364341258
9,6_2_45_10,6,2,45,10,0.4405660377358491,0.6139806245045245
10,6_2_45_10,6,2,45,10,0.5160377358490565,0.5924777589155212
11,6_2_45_10,6,2,45,10,0.3996226415094339,0.48835231643907173
12,2_4_45_0,2,4,45,0,0.4320754716981132,0.5473985006286552
13,2_4_45_0,2,4,45,0,0.5311320754716979,0.5565271706571616
14,2_4_45_0,2,4,45,0,0.453637282528792,0.48851834985321213
15,2_6_45_20,2,6,45,20,0.4542857142857141,0.5551004870989953
16,2_6_45_20,2,6,45,20,0.5225067385444742,0.5817739464780427
17,2_6_45_20,2,6,45,20,0.42076808494385454,0.4467067236235106
18,4_3_75_0,4,3,75,0,0.47955974842767296,0.6101994249899154
19,4_3_75_0,4,3,75,0,0.4981132075471699,0.5692041023272102
20,4_3_75_0,4,3,75,0,0.3877964994036993,0.467309199468616
21,3_3_60_30,3,3,60,30,0.43809523809523815,0.5638288859383692
22,3_3_60_30,3,3,60,30,0.421698113207547,0.5441167668615974
23,3_3_60_30,3,3,60,30,0.4166536916269918,0.44170847351630216
24,4_2_75_10,4,2,75,10,0.48490566037735855,0.6156007209391055
25,4_2_75_10,4,2,75,10,0.48443396226415114,0.6087698575524867
26,4_2_75_10,4,2,75,10,0.43611859838274947,0.5134389536448346
27,3_3_45_10,3,3,45,10,0.4843396226415095,0.6088582381747336
28,3_3_45_10,3,3,45,10,0.5103144654088049,0.5897559457652519
29,3_3_45_10,3,3,45,10,0.43396226415094347,0.5075446576557614
30,5_2_75_0,5,2,75,0,0.44952830188679255,0.6119852415116583
31,5_2_75_0,5,2,75,0,0.4490566037735849,0.5413632759962342
32,5_2_75_0,5,2,75,0,0.39301886792452845,0.4712328029559332
33,3_3_45_0,3,3,45,0,0.44433962264150945,0.5737048423066842
34,3_3_45_0,3,3,45,0,0.4962264150943393,0.5719728311842249
35,3_3_45_0,3,3,45,0,0.40678915978583036,0.4654735114725784
36,2_4_60_10,2,4,60,10,0.4650943396226416,0.5529327215004974
37,2_4_60_10,2,4,60,10,0.5067610062893081,0.5883791097817399
38,2_4_60_10,2,4,60,10,0.4771527691386183,0.5093146719888823
39,6_2_75_20,6,2,75,20,0.4355555555555556,0.5634871048481109
40,6_2_75_20,6,2,75,20,0.5122641509433962,0.5734095694915672
41,6_2_75_20,6,2,75,20,0.3817610062893082,0.4806097848445099
42,3_6_60_0,3,6,60,0,0.4386792452830188,0.5906960405253167
43,3_6_60_0,3,6,60,0,0.5603773584905658,0.5390843980486528
44,3_6_60_0,3,6,60,0,0.4609838820563745,0.4639110878613179
45,5_3_45_20,5,3,45,20,0.44857142857142873,0.5692438928559659
46,5_3_45_20,5,3,45,20,0.4462264150943394,0.5998777689792942
47,5_3_45_20,5,3,45,20,0.40724930661353964,0.47407634913788427
48,6_4_45_0,6,4,45,0,0.45444743935309967,0.512534641098935
49,6_4_45_0,6,4,45,0,0.46509433962264124,0.554940821975651
50,6_4_45_0,6,4,45,0,0.3875487079573422,0.4696450829355592
51,5_2_60_10,5,2,60,10,0.45943396226415106,0.6263276000279115
52,5_2_60_10,5,2,60,10,0.4772641509433961,0.5934361384983743
53,5_2_60_10,5,2,60,10,0.39811320754716994,0.4936511861918566
54,3_6_30_30,3,6,30,30,0.45357142857142846,0.5596103428394069
55,3_6_30_30,3,6,30,30,0.49038634321653163,0.5767715250824897
56,3_6_30_30,3,6,30,30,0.37298456260720414,0.42094370681166793
57,2_5_75_20,2,5,75,20,0.4807570207570208,0.5510664373203416
58,2_5_75_20,2,5,75,20,0.5469451931716082,0.584036391193132
59,2_5_75_20,2,5,75,20,0.4438010103104443,0.5064571601534241
60,2_2_60_10,2,2,60,10,0.4339622641509435,0.541577514824488
61,2_2_60_10,2,2,60,10,0.4622641509433962,0.587721621626944
62,2_2_60_10,2,2,60,10,0.4143474842767297,0.5051642985328734
63,5_6_60_10,5,6,60,10,0.47035040431266845,0.6028015808879198
64,5_6_60_10,5,6,60,10,0.4466037735849057,0.5613278232018212
65,5_6_60_10,5,6,60,10,0.35070754716981134,0.4959735482752754
66,6_2_75_10,6,2,75,10,0.43301886792452854,0.5922099236346011
67,6_2_75_10,6,2,75,10,0.4858490566037738,0.6050853990529381
68,6_2_75_10,6,2,75,10,0.4080317324185249,0.5117153679553654
69,2_5_30_0,2,5,30,0,0.4830188679245284,0.5383644264957758
70,2_5_30_0,2,5,30,0,0.5212264150943396,0.5573175438470135
71,2_5_30_0,2,5,30,0,0.45640008576329344,0.4879696057955414
72,5_4_45_20,5,4,45,20,0.4304761904761907,0.5676572565878683
73,5_4_45_20,5,4,45,20,0.4896226415094337,0.5857930548965304
74,5_4_45_20,5,4,45,20,0.397029180827376,0.4690920024967854
75,6_6_45_30,6,6,45,30,0.4978571428571427,0.5653587392862489
76,6_6_45_30,6,6,45,30,0.4785714285714287,0.5399244823304097
77,6_6_45_30,6,6,45,30,0.42063679245283025,0.4201554026318641
78,2_6_30_0,2,6,30,0,0.478301886792453,0.5338891495837957
79,2_6_30_0,2,6,30,0,0.5344339622641507,0.5533403204488826
80,2_6_30_0,2,6,30,0,0.47285714285714303,0.48446531473864335
81,4_6_45_30,4,6,45,30,0.5317460317460319,0.6087231448794129
82,4_6_45_30,4,6,45,30,0.47830188679245267,0.5473094942636056
83,4_6_45_30,4,6,45,30,0.42193396226415114,0.43015276388300405
