,id,cocowindow,cvWindow,netAngle,startCount,rfAccuracy,svmAccuracy
84,3_5_30_20,3,5,30,20,0.41466666666666685,0.5776514318671944
85,3_5_30_20,3,5,30,20,0.5372641509433961,0.5827893069733827
86,3_5_30_20,3,5,30,20,0.42414668747340084,0.43987904469963174
87,6_6_75_0,6,6,75,0,0.4367924528301887,0.569322293002148
88,6_6_75_0,6,6,75,0,0.49433962264150927,0.5421478437374156
89,6_6_75_0,6,6,75,0,0.40149371069182394,0.47199291131629195
90,4_4_60_20,4,4,60,20,0.43238095238095264,0.5648686701337317
91,4_4_60_20,4,4,60,20,0.48679245283018857,0.6145325781093176
92,4_4_60_20,4,4,60,20,0.38683831236897287,0.4343379957184361
93,2_2_30_10,2,2,30,10,0.43598382749326153,0.5330208739280552
94,2_2_30_10,2,2,30,10,0.5245283018867922,0.5842847918892594
95,2_2_30_10,2,2,30,10,0.522785793562708,0.4951168017720346
96,4_3_45_10,4,3,45,10,0.4716981132075471,0.6195505540809992
97,4_3_45_10,4,3,45,10,0.5332075471698113,0.5867780226971546
98,4_3_45_10,4,3,45,10,0.3891417544719433,0.49632486101557244
99,4_5_60_20,4,5,60,20,0.4527619047619048,0.5487957009038804
100,4_5_60_20,4,5,60,20,0.4735849056603773,0.6086091602271607
101,4_5_60_20,4,5,60,20,0.3682173064411193,0.4352317078222051
102,4_4_30_30,4,4,30,30,0.4514285714285714,0.5944029444768577
103,4_4_30_30,4,4,30,30,0.4769811320754716,0.5801725323599948
104,4_4_30_30,4,4,30,30,0.34920335429769395,0.40975954374472734
105,4_5_60_0,4,5,60,0,0.4707547169811319,0.554398451017115
106,4_5_60_0,4,5,60,0,0.5169811320754716,0.5530996038287068
107,4_5_60_0,4,5,60,0,0.446276067527309,0.48151983743672583
108,5_6_45_20,5,6,45,20,0.46666666666666673,0.5492003960709565
109,5_6_45_20,5,6,45,20,0.5103773584905656,0.572838522649353
110,5_6_45_20,5,6,45,20,0.38874077112387206,0.4624899822951824
111,3_5_30_30,3,5,30,30,0.44761904761904775,0.5564859665082278
112,3_5_30_30,3,5,30,30,0.48197439353099725,0.5845339481888399
113,3_5_30_30,3,5,30,30,0.3727272727272728,0.4175134197096058
114,3_5_75_0,3,5,75,0,0.4556341719077569,0.6021441445899584
115,3_5_75_0,3,5,75,0,0.49496855345911944,0.5633036901168049
116,3_5_75_0,3,5,75,0,0.4574659617112448,0.4663846857040445
117,6_3_45_10,6,3,45,10,0.4721698113207547,0.6237019241931137
118,6_3_45_10,6,3,45,10,0.4949056603773584,0.5832124232539714
119,6_3_45_10,6,3,45,10,0.367322206095791,0.49089660972942756
120,5_2_45_30,5,2,45,30,0.41714285714285737,0.5962852945495405
121,5_2_45_30,5,2,45,30,0.4330188679245282,0.5467002880601407
122,5_2_45_30,5,2,45,30,0.3820391872278667,0.44157714729533404
123,6_5_45_20,6,5,45,20,0.5009523809523809,0.5517535028908399
124,6_5_45_20,6,5,45,20,0.49481132075471673,0.5666330656499631
125,6_5_45_20,6,5,45,20,0.37884276729559757,0.4632819510559156
126,4_5_45_20,4,5,45,20,0.46895238095238084,0.5407900042879495
127,4_5_45_20,4,5,45,20,0.4820754716981131,0.6147156699299603
128,4_5_45_20,4,5,45,20,0.3900269541778976,0.44329995495345803
129,5_5_75_0,5,5,75,0,0.44339622641509435,0.5993452578785258
130,5_5_75_0,5,5,75,0,0.46509433962264146,0.5397545795306661
131,5_5_75_0,5,5,75,0,0.40420387603517477,0.46815124801381486
132,6_5_60_30,6,5,60,30,0.4704761904761906,0.593994686246498
133,6_5_60_30,6,5,60,30,0.45353773584905666,0.5545537320192963
134,6_5_60_30,6,5,60,30,0.41676978681695676,0.4490923409931784
135,3_3_75_20,3,3,75,20,0.4660317460317461,0.6237096912164981
136,3_3_75_20,3,3,75,20,0.5036388140161727,0.5921377045977391
137,3_3_75_20,3,3,75,20,0.43160377358490554,0.46805007714375607
138,2_5_30_30,2,5,30,30,0.5124285714285715,0.5427190109140722
139,2_5_30_30,2,5,30,30,0.4976729559748428,0.6303597853178153
140,2_5_30_30,2,5,30,30,0.3903975741239892,0.46091876247994046
141,5_3_30_20,5,3,30,20,0.4361904761904763,0.5362634100810112
142,5_3_30_20,5,3,30,20,0.46462264150943383,0.5955580351311298
143,5_3_30_20,5,3,30,20,0.43901617250673874,0.47003973420257306
144,5_5_45_10,5,5,45,10,0.5004716981132076,0.6009302426685054
145,5_5_45_10,5,5,45,10,0.49351415094339623,0.5895488822600001
146,5_5_45_10,5,5,45,10,0.3770377358490567,0.49189437156492705
147,2_2_45_30,2,2,45,30,0.5009523809523808,0.5688884741449396
148,2_2_45_30,2,2,45,30,0.491307277628032,0.6014449310319454
149,2_2_45_30,2,2,45,30,0.37607039187227875,0.43571339395810754
150,2_3_45_20,2,3,45,20,0.4400000000000001,0.5878077613854954
151,2_3_45_20,2,3,45,20,0.47547169811320755,0.5991316118973318
152,2_3_45_20,2,3,45,20,0.4134815904056223,0.43176076092696186
153,6_6_60_0,6,6,60,0,0.48207547169811327,0.5243074059002578
154,6_6_60_0,6,6,60,0,0.5113207547169809,0.5327543270461883
155,6_6_60_0,6,6,60,0,0.4128930817610064,0.44631960132520826
156,2_5_60_0,2,5,60,0,0.4352830188679245,0.549574236366367
157,2_5_60_0,2,5,60,0,0.5551212938005387,0.5598373975765913
158,2_5_60_0,2,5,60,0,0.4689708404802746,0.47650732186776007
159,6_4_60_10,6,4,60,10,0.49716981132075483,0.6291485067345488
160,6_4_60_10,6,4,60,10,0.45141509433962285,0.5582848771337405
161,6_4_60_10,6,4,60,10,0.36502177068214814,0.48970666484959974
162,3_6_75_0,3,6,75,0,0.45280398322851156,0.6034671968537861
163,3_6_75_0,3,6,75,0,0.4933962264150942,0.5595798130128902
164,3_6_75_0,3,6,75,0,0.46380019351717455,0.47079843677292593
165,3_6_45_10,3,6,45,10,0.48056603773584916,0.5791551563706271
166,3_6_45_10,3,6,45,10,0.4967295597484277,0.5892389532771907
167,3_6_45_10,3,6,45,10,0.4471819061441704,0.5291720691006238
168,2_3_60_30,2,3,60,30,0.459047619047619,0.5616526704906533
169,2_3_60_30,2,3,60,30,0.4924528301886791,0.5442525054800814
170,2_3_60_30,2,3,60,30,0.40092976206183756,0.4738879692011432
171,3_2_45_0,3,2,45,0,0.4632075471698114,0.580918933713038
172,3_2_45_0,3,2,45,0,0.47452830188679207,0.5738307012379391
173,3_2_45_0,3,2,45,0,0.41939209929914706,0.4706247039123758
174,3_3_60_20,3,3,60,20,0.4393650793650794,0.5679241988678255
175,3_3_60_20,3,3,60,20,0.5075471698113208,0.6522985751840606
176,3_3_60_20,3,3,60,20,0.4338795100959947,0.4493328808240832
177,2_3_30_20,2,3,30,20,0.412967032967033,0.5816730284396194
178,2_3_30_20,2,3,30,20,0.4801886792452831,0.5706117524968699
179,2_3_30_20,2,3,30,20,0.4218700209643607,0.4316361800014983
180,3_5_75_20,3,5,75,20,0.48434419381787835,0.6158577266393654
181,3_5_75_20,3,5,75,20,0.5141509433962265,0.5761089421914002
182,3_5_75_20,3,5,75,20,0.4453756985558568,0.4967452457971863
183,4_6_30_20,4,6,30,20,0.48499999999999993,0.5443000699141132
184,4_6_30_20,4,6,30,20,0.46622641509433965,0.5803244759924606
185,4_6_30_20,4,6,30,20,0.3807032590051458,0.4499375458034271
186,4_3_60_30,4,3,60,30,0.44476190476190486,0.5797206735745082
187,4_3_60_30,4,3,60,30,0.49443396226415076,0.5650188868298511
188,4_3_60_30,4,3,60,30,0.33628447024673447,0.40907332765998755
189,6_4_75_0,6,4,75,0,0.45094339622641516,0.567860403541327
190,6_4_75_0,6,4,75,0,0.5056603773584906,0.5477651618353379
191,6_4_75_0,6,4,75,0,0.37730948296986044,0.4747126462863416
192,5_5_45_30,5,5,45,30,0.45714285714285735,0.576797168446171
193,5_5_45_30,5,5,45,30,0.47923405211141046,0.5427090974498159
194,5_5_45_30,5,5,45,30,0.36981132075471707,0.4385110058344874
195,4_4_30_0,4,4,30,0,0.46509433962264135,0.5027529447093976
196,4_4_30_0,4,4,30,0,0.5457118353344765,0.5697029746312643
197,4_4_30_0,4,4,30,0,0.4261130693206167,0.5082330484170801
198,6_3_75_0,6,3,75,0,0.468867924528302,0.5658439965823271
199,6_3_75_0,6,3,75,0,0.4952830188679245,0.5487763757133375
200,6_3_75_0,6,3,75,0,0.39056603773584925,0.4774331294476963
201,4_6_60_0,4,6,60,0,0.47264150943396227,0.5567500439770424
202,4_6_60_0,4,6,60,0,0.5075471698113206,0.5493959525791927
203,4_6_60_0,4,6,60,0,0.4395889487870621,0.4806247694687995
204,5_2_30_10,5,2,30,10,0.44150943396226416,0.6093187896760895
205,5_2_30_10,5,2,30,10,0.5221698113207546,0.6081655895599404
206,5_2_30_10,5,2,30,10,0.38896548943718745,0.49759687805986635
207,6_5_60_0,6,5,60,0,0.4716981132075472,0.5168759282278996
208,6_5_60_0,6,5,60,0,0.4825471698113204,0.5382169583934454
209,6_5_60_0,6,5,60,0,0.4237921669525445,0.4512438056448046
210,3_4_30_30,3,4,30,30,0.45142857142857146,0.5556422664677847
211,3_4_30_30,3,4,30,30,0.4998203054806828,0.5871856658810006
212,3_4_30_30,3,4,30,30,0.3840566037735849,0.41755948945154653
213,4_2_45_30,4,2,45,30,0.49555555555555586,0.6129062913364017
214,4_2_45_30,4,2,45,30,0.4358490566037735,0.5429377732192375
215,4_2_45_30,4,2,45,30,0.37012880986937596,0.41178761409857106
216,3_3_60_0,3,3,60,0,0.4575471698113207,0.5822425960190601
217,3_3_60_0,3,3,60,0,0.5466981132075472,0.5652153714176619
218,3_3_60_0,3,3,60,0,0.3976765742581504,0.4728091316318716
219,6_3_60_30,6,3,60,30,0.4676190476190478,0.609063349816931
220,6_3_60_30,6,3,60,30,0.47311320754716973,0.5655676612824102
221,6_3_60_30,6,3,60,30,0.45234106564295246,0.4431317121147015
222,2_5_75_0,2,5,75,0,0.4796806966618289,0.5396445666677255
223,2_5_75_0,2,5,75,0,0.5347484276729557,0.5519426345278846
224,2_5_75_0,2,5,75,0,0.4743347847121432,0.5066153211976572
225,3_6_45_0,3,6,45,0,0.4456603773584907,0.5592041217996572
226,3_6_45_0,3,6,45,0,0.4896226415094338,0.5526764186800933
227,3_6_45_0,3,6,45,0,0.46768746976294145,0.464263747527264
228,5_2_75_30,5,2,75,30,0.4466666666666666,0.6395138206749045
229,5_2_75_30,5,2,75,30,0.44504716981132075,0.5540604703856888
230,5_2_75_30,5,2,75,30,0.3802939042089985,0.4591822658227301
231,2_3_75_0,2,3,75,0,0.4808962264150943,0.5483227587810092
232,2_3_75_0,2,3,75,0,0.5128644939965692,0.5646361004100002
233,2_3_75_0,2,3,75,0,0.468126199355097,0.49191400213425046
234,2_2_60_0,2,2,60,0,0.460377358490566,0.5464889117793953
235,2_2_60_0,2,2,60,0,0.5049955076370171,0.5873345211511285
236,2_2_60_0,2,2,60,0,0.44287398921832893,0.4999782766918395
237,2_2_75_30,2,2,75,30,0.4390476190476191,0.5950960209641083
238,2_2_75_30,2,2,75,30,0.4669811320754717,0.5491536254154388
239,2_2_75_30,2,2,75,30,0.4027994535985659,0.453057752532029
240,6_5_30_0,6,5,30,0,0.44371069182389933,0.4982941542765428
241,6_5_30_0,6,5,30,0,0.5273584905660376,0.5590240710261731
242,6_5_30_0,6,5,30,0,0.4086663807890224,0.4752966264585793
243,2_5_75_30,2,5,75,30,0.4628571428571429,0.5744907486423197
244,2_5_75_30,2,5,75,30,0.5386792452830187,0.5877628712736779
245,2_5_75_30,2,5,75,30,0.43970537786298086,0.47321044697201126
246,4_3_45_30,4,3,45,30,0.47269841269841284,0.6204889321473241
247,4_3_45_30,4,3,45,30,0.479245283018868,0.5484604090963102
248,4_3_45_30,4,3,45,30,0.39068698597000495,0.4242944898312128
249,5_6_30_30,5,6,30,30,0.45047619047619053,0.5568225685752883
250,5_6_30_30,5,6,30,30,0.4599056603773586,0.5753073663982518
251,5_6_30_30,5,6,30,30,0.39764150943396237,0.40649945527958153
252,3_3_30_30,3,3,30,30,0.44666666666666677,0.5565501504310044
253,3_3_30_30,3,3,30,30,0.504537286612758,0.5838783967495679
254,3_3_30_30,3,3,30,30,0.34373927958833606,0.4123971741364548
255,5_4_60_10,5,4,60,10,0.46603773584905667,0.6219553727894201
256,5_4_60_10,5,4,60,10,0.4885849056603772,0.5708142025793216
257,5_4_60_10,5,4,60,10,0.37161725067385465,0.501081113372015
258,3_6_75_20,3,6,75,20,0.47434224831485117,0.6048148116205614
259,3_6_75_20,3,6,75,20,0.49072327044025155,0.5749976711165345
260,3_6_75_20,3,6,75,20,0.42654735708600583,0.4903911785014223
261,6_4_60_30,6,4,60,30,0.45714285714285713,0.603183991610328
262,6_4_60_30,6,4,60,30,0.44339622641509413,0.5550675695031715
263,6_4_60_30,6,4,60,30,0.37122641509433985,0.4436742326943033
264,6_4_30_10,6,4,30,10,0.47264150943396227,0.5996252362231338
265,6_4_30_10,6,4,30,10,0.478930817610063,0.5903349319365506
266,6_4_30_10,6,4,30,10,0.37497017167589314,0.49989430606232677
267,6_3_30_0,6,3,30,0,0.45455974842767305,0.5063523508192801
268,6_3_30_0,6,3,30,0,0.5132075471698112,0.5627239782012537
269,6_3_30_0,6,3,30,0,0.42735849056603775,0.4839889160689082
270,5_3_60_0,5,3,60,0,0.4712264150943397,0.5397469231685234
271,5_3_60_0,5,3,60,0,0.539622641509434,0.533115076214479
272,5_3_60_0,5,3,60,0,0.35912276957227013,0.4797296475676831
273,4_3_45_0,4,3,45,0,0.49460916442048525,0.5317742440384939
274,4_3_45_0,4,3,45,0,0.4952830188679243,0.5749461383709099
275,4_3_45_0,4,3,45,0,0.3916914051542244,0.48360878859164974
276,5_5_30_10,5,5,30,10,0.4858490566037736,0.5994351320195894
277,5_5_30_10,5,5,30,10,0.5242924528301888,0.6027045290699128
278,5_5_30_10,5,5,30,10,0.38466552315608926,0.4810583064218288
279,4_3_75_30,4,3,75,30,0.4638095238095239,0.6091684154123418
280,4_3_75_30,4,3,75,30,0.5150943396226414,0.5728315810690068
281,4_3_75_30,4,3,75,30,0.38501664816870174,0.4560509163575118
282,5_6_75_10,5,6,75,10,0.46924528301886786,0.5796989091809063
283,5_6_75_10,5,6,75,10,0.4603773584905658,0.5490612650855654
284,5_6_75_10,5,6,75,10,0.43264150943396223,0.5193267282104088
285,4_4_45_30,4,4,45,30,0.4711111111111112,0.622697053871876
286,4_4_45_30,4,4,45,30,0.4816037735849056,0.5554061007075943
287,4_4_45_30,4,4,45,30,0.4524794388001937,0.42470387259758535
288,4_4_60_30,4,4,60,30,0.44952380952380966,0.5883714657874012
289,4_4_60_30,4,4,60,30,0.5105660377358489,0.5526469797474376
290,4_4_60_30,4,4,60,30,0.38331951067800135,0.4126255622088329
291,4_3_75_10,4,3,75,10,0.5094929245283019,0.6264222158440053
292,4_3_75_10,4,3,75,10,0.4603773584905659,0.5985939662851052
293,4_3_75_10,4,3,75,10,0.41139937106918234,0.5322664680789659
294,3_3_75_0,3,3,75,0,0.4403301886792453,0.5879893763819142
295,3_3_75_0,3,3,75,0,0.48962264150943374,0.5758947106424012
296,3_3_75_0,3,3,75,0,0.39526961345992856,0.4624637786316172
297,5_4_30_20,5,4,30,20,0.440952380952381,0.5329643213891384
298,5_4_30_20,5,4,30,20,0.48113207547169784,0.5969448552821935
299,5_4_30_20,5,4,30,20,0.3879639228695836,0.4682000831409916
300,3_2_30_10,3,2,30,10,0.44339622641509446,0.5819628967389225
301,3_2_30_10,3,2,30,10,0.5481132075471699,0.5802978403508965
302,3_2_30_10,3,2,30,10,0.42192731011127255,0.4877959647818919
303,5_4_45_30,5,4,45,30,0.4495238095238099,0.5930689708349145
304,5_4_45_30,5,4,45,30,0.47252449201741653,0.5513079848769665
305,5_4_45_30,5,4,45,30,0.3733490566037736,0.4364592996283186
306,2_6_75_0,2,6,75,0,0.4702467343976779,0.5385773405354912
307,2_6_75_0,2,6,75,0,0.5079514824797842,0.5500573311931231
308,2_6_75_0,2,6,75,0,0.46824201741654586,0.5083221686366417
309,2_4_75_10,2,4,75,10,0.4889487870619946,0.5522923895644578
310,2_4_75_10,2,4,75,10,0.5247641509433962,0.5976706115238538
311,2_4_75_10,2,4,75,10,0.4678865552686307,0.5043911453446102
312,6_5_75_10,6,5,75,10,0.4626415094339623,0.5861801732610155
313,6_5_75_10,6,5,75,10,0.47122641509433943,0.5725936077912953
314,6_5_75_10,6,5,75,10,0.423786352674138,0.5325466992644412
315,5_4_30_0,5,4,30,0,0.43584905660377354,0.5020116871337865
316,5_4_30_0,5,4,30,0,0.5311320754716978,0.5612698987955216
317,5_4_30_0,5,4,30,0,0.4040051457975987,0.5036533134329405
318,4_6_45_10,4,6,45,10,0.43490566037735856,0.5767288009401678
319,4_6_45_10,4,6,45,10,0.5264150943396226,0.5960569019436445
320,4_6_45_10,4,6,45,10,0.44167789757412407,0.49471074451067665
321,6_3_60_0,6,3,60,0,0.5056603773584907,0.5155852373949827
322,6_3_60_0,6,3,60,0,0.511320754716981,0.5394477934974689
323,6_3_60_0,6,3,60,0,0.3959905660377359,0.45071932384282065
324,6_3_45_30,6,3,45,30,0.47404761904761905,0.5895043565872962
325,6_3_45_30,6,3,45,30,0.5040431266846361,0.5585001695663071
326,6_3_45_30,6,3,45,30,0.4235047342594514,0.4270612588198312
327,3_6_30_10,3,6,30,10,0.46219158200290295,0.5807289534934973
328,3_6_30_10,3,6,30,10,0.49716981132075466,0.5970136558909103
329,3_6_30_10,3,6,30,10,0.4593033161806747,0.5045937996856045
330,6_4_45_10,6,4,45,10,0.486320754716981,0.6252273981699894
331,6_4_45_10,6,4,45,10,0.48254716981132073,0.5793202793544131
332,6_4_45_10,6,4,45,10,0.3797169811320755,0.5003572325119349
333,2_3_30_30,2,3,30,30,0.5105238095238094,0.552030751421016
334,2_3_30_30,2,3,30,30,0.4877358490566036,0.6029264217260486
335,2_3_30_30,2,3,30,30,0.39868516703422363,0.43624606018143286
336,2_6_45_30,2,6,45,30,0.47047619047619044,0.5586014596472249
337,2_6_45_30,2,6,45,30,0.5262129380053907,0.6310781750021168
338,2_6_45_30,2,6,45,30,0.3729559748427675,0.48076379184906254
339,5_5_45_20,5,5,45,20,0.4638095238095238,0.5578334605174138
340,5_5_45_20,5,5,45,20,0.4852594339622639,0.5731829000900031
341,5_5_45_20,5,5,45,20,0.39391597328020633,0.4674139549620982
342,2_4_30_10,2,4,30,10,0.4390835579514824,0.535715415823539
343,2_4_30_10,2,4,30,10,0.5349056603773584,0.5820540879188121
344,2_4_30_10,2,4,30,10,0.5481429364198509,0.5181435319900005
345,2_2_30_30,2,2,30,30,0.5038571428571429,0.578671995164403
346,2_2_30_30,2,2,30,30,0.4226415094339624,0.6059570748450028
347,2_2_30_30,2,2,30,30,0.3588409703504042,0.40691304908697895
348,6_2_60_30,6,2,60,30,0.46571428571428575,0.6104028491601543
349,6_2_60_30,6,2,60,30,0.43396226415094347,0.5638345347817273
350,6_2_60_30,6,2,60,30,0.40252255947497967,0.44285453047358525
351,2_6_60_10,2,6,60,10,0.44764150943396225,0.5529282936431454
352,2_6_60_10,2,6,60,10,0.5333333333333334,0.5681068941443556
353,2_6_60_10,2,6,60,10,0.458600079166117,0.49324278158804197
354,6_6_45_10,6,6,45,10,0.45990566037735847,0.6029454597570242
355,6_6_45_10,6,6,45,10,0.440566037735849,0.5786488231629838
356,6_6_45_10,6,6,45,10,0.3909599470374048,0.49469123321167396
357,5_5_60_10,5,5,60,10,0.47358490566037736,0.6069155731857345
358,5_5_60_10,5,5,60,10,0.46650943396226396,0.5656380748307194
359,5_5_60_10,5,5,60,10,0.36843910806174957,0.5032639089111172
360,2_2_45_10,2,2,45,10,0.44465408805031453,0.5281073688067277
361,2_2_45_10,2,2,45,10,0.5462264150943398,0.5791389346234331
362,2_2_45_10,2,2,45,10,0.42206920438052503,0.5093835632453728
363,5_4_45_0,5,4,45,0,0.46812106918239005,0.5371268295167099
364,5_4_45_0,5,4,45,0,0.4990566037735847,0.5585626336563573
365,5_4_45_0,5,4,45,0,0.40758442999841477,0.4886125538173273
366,3_5_30_10,3,5,30,10,0.4517325834542818,0.592196809211825
367,3_5_30_10,3,5,30,10,0.5156446540880503,0.603454070224926
368,3_5_30_10,3,5,30,10,0.4703224291431841,0.5031663444919843
369,4_6_30_0,4,6,30,0,0.4600628930817608,0.5052294612353739
370,4_6_30_0,4,6,30,0,0.5063464837049741,0.5645252306914254
371,4_6_30_0,4,6,30,0,0.4394962326744099,0.4980332239947809
372,5_3_30_0,5,3,30,0,0.46014150943396226,0.5131313450133731
373,5_3_30_0,5,3,30,0,0.5358490566037736,0.5647512934789821
374,5_3_30_0,5,3,30,0,0.3695969125214409,0.5185770783285696
375,3_6_30_20,3,6,30,20,0.4260952380952383,0.569191420590106
376,3_6_30_20,3,6,30,20,0.5021012006861062,0.5764388516335758
377,3_6_30_20,3,6,30,20,0.3851881669582767,0.4351100671897288
378,4_5_30_30,4,5,30,30,0.45809523809523806,0.5860083381611662
379,4_5_30_30,4,5,30,30,0.4831236897274633,0.565978437860209
380,4_5_30_30,4,5,30,30,0.33961215932914035,0.40538626468118655
381,2_3_45_0,2,3,45,0,0.4584905660377358,0.5628098928164043
382,2_3_45_0,2,3,45,0,0.5188679245283014,0.5713571497162057
383,2_3_45_0,2,3,45,0,0.47064171677379213,0.499196677101343
384,3_3_60_10,3,3,60,10,0.49999999999999994,0.5964173435205001
385,3_3_60_10,3,3,60,10,0.5330188679245284,0.6113781361568525
386,3_3_60_10,3,3,60,10,0.43834994660021376,0.5091273093315444
387,3_2_45_20,3,2,45,20,0.44000000000000017,0.5590604640018386
