,cocowindow,startCount,netAngle,cvWindow,rfAccuracy,rfMae,svmAccuracy,svmMae
30,3,0,60,2,0.8867924528301887,0.3179245283018868,0.8301886792452831,0.5122739771671606
34,3,0,60,6,0.8773584905660378,0.3245283018867925,0.8301886792452831,0.5021783736979647
14,2,0,60,6,0.8773584905660378,0.33207547169811324,0.8396226415094341,0.4888283947094057
27,3,0,45,4,0.8962264150943396,0.3037735849056605,0.8396226415094341,0.4866754865609334
26,3,0,45,3,0.8867924528301887,0.2990566037735849,0.8396226415094341,0.4878984232738049
31,3,0,60,3,0.8867924528301887,0.3103773584905661,0.8396226415094341,0.5051516401943269
32,3,0,60,4,0.8773584905660378,0.30943396226415104,0.8396226415094341,0.5023992977484992
33,3,0,60,5,0.8867924528301887,0.31981132075471697,0.8396226415094341,0.5060855277957587
62,5,0,30,4,0.8679245283018868,0.3320754716981133,0.8396226415094341,0.4541284854330237
61,5,0,30,3,0.8773584905660378,0.3283018867924529,0.8396226415094341,0.4584611959901239
