,cocowindow,startCount,netAngle,cvWindow,rfAccuracy,rfMae,svmAccuracy,svmMae
79,5,0,75,6,0.8584905660377359,0.3273584905660378,0.8490566037735849,0.5203553492551695
41,4,0,30,3,0.8679245283018868,0.3367924528301887,0.8490566037735849,0.4905964623281547
62,5,0,30,4,0.8679245283018868,0.3320754716981133,0.8396226415094341,0.4541284854330237
63,5,0,30,5,0.8679245283018868,0.33490566037735864,0.8584905660377359,0.44930360726485535
64,5,0,30,6,0.8679245283018868,0.33396226415094354,0.8584905660377359,0.44659134206017415
66,5,0,45,3,0.8679245283018868,0.33490566037735864,0.8490566037735849,0.4629748359632871
39,3,0,75,6,0.8679245283018868,0.3377358490566038,0.8490566037735849,0.525442149094594
19,2,0,75,6,0.8679245283018868,0.33396226415094343,0.8584905660377359,0.4850488605482837
18,2,0,75,5,0.8679245283018868,0.3396226415094341,0.8584905660377359,0.4854414178382669
17,2,0,75,4,0.8679245283018868,0.3386792452830189,0.8584905660377359,0.4864855779486003
