,avgSD,avgEVC,rfPred,svmPred
1,0.710803686037,0.602041200844,5.8,5.30497820665
2,0.783749388205,0.771308593122,5.6,4.75513264307
9,0.722186082321,0.568050236572,4.8,5.29722641621
10,0.715342615582,0.644193000845,5.6,5.02020655769
13,0.676864619544,0.633665804662,5.7,6.31951207601
14,0.854720069564,0.7579643192,3.1,4.88784429398
17,0.720796540345,0.537724548809,5.3,5.41045541787
19,0.657163329506,0.627053356754,4.0,6.17161380322
23,0.7725048504,0.732963819041,3.4,4.83531603428
24,0.759659603148,0.581503516587,5.4,5.5554936966
27,0.700133318102,0.741880572561,3.6,5.07624298262
30,0.754230662963,0.670729714318,6.1,5.0092623055
