,avgSD,avgEVC,rank,rfPred,svmPred
1,0.696447953738,0.643561560915,4,6.0,5.82894189624
2,0.729698442314,0.743622999614,4,6.0,5.05636511136
9,0.806452002659,0.826992241435,1,1.5,0.551660460551
10,0.774207791728,0.740444608348,1,2.5,1.84109428555
13,0.712680550251,0.70326354547,6,6.6,6.0412752971
15,0.877962377828,0.653658892665,6,2.5,2.82202852979
17,0.710094407668,0.715389236324,7,6.3,6.25032874043
19,0.761684229257,0.76672450679,7,2.2,2.23403575615
23,0.81153834406,0.75583412746,1,1.5,0.990124500227
25,0.813113782277,0.682631348954,1,2.3,2.75495347025
27,0.80996143508,0.729642617506,6,1.5,1.56652228297
30,0.749452972236,0.781573603486,2,2.2,3.17270053097
