,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,67.1095612049,"s, don, christ, get, know, ask, pray, t, god, want, ill, said, someth, bless, should, i, love, think, whi, will, say, do, go, thing, someon, told, heaven, tell, prayer, must",0.0323854172946,0.0182718645553,1.0,0.0,0.0648590603879,0.604045238338,0.0222565586166,0.01561575383,0.0228154382274,0.0103557104346,0.0222236833454,0.00338615293576,0.0118679729108,0.698613609108,0.633593385696,Shepherd,4,4.0,4.29389825892
5,Shepherd_test9,10,65.6537158489,"s, get, don, t, christ, want, ill, ask, said, go, sin, god, i, whi, lord, do, thing, preach, church, say, got, bless, will, know, let, must, rebuild, preacher, think, tri",0.0291818585389,0.0211619125496,0.8,0.2,0.0594907138114,0.608428484532,0.0226154709631,0.0159463831754,0.0225494403909,0.0101687081119,0.0232757766846,0.00201393245072,0.0113572584106,0.629004567004,0.659964960576,Shepherd,4,4.0,4.16369211272
7,Shepherd_test0,10,56.4549608231,"s, get, don, love, want, t, talk, ask, said, ill, preacher, evil, thing, hope, christ, know, i, job, someon, lord, happen, say, whi, ve, got, think, happi, do, go, someth",0.0333397493451,0.0244448000763,0.8,0.2,0.0575774216538,0.588298309963,0.0197653303534,0.0204288308423,0.0239209386786,0.00953345439307,0.0261209666154,0.00394608185501,0.0143525632072,0.698204652669,0.627685950958,Shepherd,4,4.0,3.86230195574
10,Shepherd_test10,10,57.4268109798,"s, christ, judg, get, want, rememb, know, ill, god, ask, pray, sin, don, jesus, i, go, spirit, love, preach, said, do, prayer, t, whi, will, am, preacher, better, got, put",0.031507947391,0.0220552178821,1.0,0.0,0.0831550569749,0.658047673494,0.024380939169,0.0178955399875,0.024380939169,0.0107165152251,0.0238260387043,0.00478601650829,0.0109939654574,0.689040641423,0.562758348981,Shepherd,4,4.0,4.36675736454
15,Shepherd_test20,10,51.4177570343,"s, grace, god, sin, get, know, jesus, want, don, ask, said, love, christ, ill, t, whi, i, wrong, tri, pray, encourag, say, let, save, talk, go, should, thing, rememb, sunday",0.0343148043882,0.0236801142683,0.7,0.3,0.06129167068,0.574012969273,0.0246966563926,0.014357613827,0.02208263431,0.0098318442511,0.0256720377668,0.00550115095002,0.0102219968007,0.639570369012,0.650304040923,Shepherd,4,4.0,3.80000144584
16,Shepherd_test6,10,49.6392121315,"s, get, christ, want, ill, ask, thing, know, don, preach, said, listen, t, say, let, spirit, god, someon, preacher, sing, jesus, i, if, whi, do, go, lord, think, look, sin",0.0322022488504,0.0212044458687,0.8,0.2,0.0727721613698,0.638146468644,0.0213000511831,0.0242922949722,0.0245678963739,0.0092129611402,0.0221662270168,0.00854364345053,0.0118902318989,0.683030666717,0.62870424268,Shepherd,4,4.0,4.0182246808
21,Shepherd_test16,10,59.5751771927,"sin, don, s, get, ask, want, christ, know, t, said, god, ill, i, lord, say, go, am, someth, thing, let, tell, preach, heaven, pay, do, didn, happen, save, will, repli",0.0281729540799,0.0262212775244,0.5,0.5,0.0725407183632,0.655003318718,0.0213790587377,0.0190806275082,0.0290040131339,0.00904779277636,0.0263772345859,0.00375775264502,0.01408245166,0.6656994057,0.654120652362,Shepherd,4,4.0,3.81322322634
23,Shepherd_test19,10,58.701597929,"s, christ, don, jesus, want, t, get, heaven, know, ask, whi, car, god, said, trust, i, love, ill, do, evil, pray, didn, devil, go, told, save, sin, satan, dad, let",0.0329517141131,0.0230960515799,0.8,0.2,0.0735552421819,0.641523983597,0.0184882496095,0.0213577421815,0.0237187170826,0.00969815843958,0.0255711743126,0.0031237514075,0.0107151937816,0.660088714917,0.661807648503,Shepherd,4,4.0,3.96755665347
30,Shepherd_test14,10,61.141835928,"s, get, sin, ask, christ, don, preach, t, want, said, god, jesus, ill, go, rememb, tri, let, thing, know, i, say, bless, got, whi, someon, burden, talk, didn, do, look",0.0295092883935,0.0220704115343,0.8,0.2,0.0750702040301,0.629041448726,0.0206797275472,0.0137981883295,0.018713573485,0.0124991222527,0.0292816515694,0.00442384663998,0.0103925286146,0.68056577341,0.652325608143,Shepherd,4,4.0,3.61624684094
31,Shepherd_test4,10,54.5878419876,"s, don, get, know, want, t, christ, listen, ask, thing, said, god, satan, whi, go, someth, sin, i, do, someon, preacher, prais, ill, lord, too, sure, better, am, good, let",0.0348522678903,0.0224220542868,0.9,0.1,0.057293244595,0.631125048863,0.0231407942238,0.0187003610108,0.022238267148,0.00841155234657,0.0245848375451,0.00458483754513,0.0119133574007,0.651081256697,0.629482535612,Shepherd,4,4.0,3.87280494124
