,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC
45,DorothyDay_train72,10,17.1470439434,"worker, jack, morn, night, room, prayer, talk, go, street, too, coffe, get, say, dollar, farm",0.0246313718706,0.0218760730482,0.6,0.4,0.157024824735,0.671702887612,0.0177311491503,0.00208601754709,0.0122706914535,0.0130682863979,0.0115958034235,0.0137431744279,0.0103073808209,0.713792391353,0.734196884788
46,Shepherd_test10,10,28.2796719074,"s, don, ask, christ, god, get, love, t, know, pray, said, ill, want, save, sin",0.0326612799822,0.0201273436737,0.9,0.1,0.0623609289624,0.578719592848,0.0215328341213,0.0164256875669,0.0216708651092,0.0110424790365,0.0275716898444,0.0185996756272,0.0109389557956,0.673872052382,0.651906964756
47,PastorAnderson_train8,10,84.7080440521,"s, re, say, nt, bibl, go, get, want, know, vers, shall, unto, christ, talk, whi",0.0238491609851,0.0159545344507,0.8,0.2,0.0671516957648,0.664354366774,0.0161277547868,0.0227709244995,0.0177811219135,0.0169395877473,0.0149793081599,0.0161970576005,0.0175237114627,0.761912189802,0.795813765205
48,PastorAnderson_train15,10,111.243221998,"s, re, say, nt, get, go, know, bibl, let, tell, want, vers, talk, look, job",0.0254408114067,0.022362361015,0.6,0.4,0.0606300585971,0.621224529242,0.0154184845052,0.0306361028756,0.0266509187617,0.0142373916327,0.0144462924129,0.0213319835129,0.0177324623778,0.742030691256,0.727652298489
49,DorothyDay_test23,10,16.6517801285,"car, worker, get, want, tri, go, farm, talk, prison, ask, am, say, pray, got, love",0.0229921368629,0.0210141236037,0.7,0.3,0.195381445997,0.732512653096,0.019434863359,0.00172459538339,0.0112762005837,0.0161183337755,0.0165826479172,0.0160520031839,0.00955160520032,0.736828278913,0.586328005952
50,MehrBaba_train16,10,21.9144151211,"baba, sanskara, mind, miracl, meher, love, spiritu, mr, desir, prophet, evil, conscious, perfect, imperson, hazrat",0.03438751737,0.0179904679359,0.8,0.2,0.245961413186,0.731297459267,0.00630211363196,0.00242388985844,0.0178398293582,0.00683536940081,0.0230269536552,0.0122648826837,0.0158522396742,0.743278869147,0.766607436423
51,DorothyDay_test16,10,22.2503781319,"get, worker, too, tri, go, priest, talk, say, labor, let, ask, bread, hospit, feel, night",0.0239155930751,0.0214951963945,0.7,0.3,0.166894448033,0.781679409981,0.0243959107807,0.00381040892193,0.010873605948,0.0136617100372,0.0141728624535,0.0216078066914,0.0104089219331,0.702588232819,0.674787150486
52,Shepherd_train30,10,28.9334230423,"s, ask, get, thank, don, christ, said, love, ill, preacher, t, pray, want, god, prayer",0.0357366048154,0.0211929287679,0.8,0.2,0.064449372614,0.594126285799,0.0208725346714,0.0174925081887,0.0252979301693,0.00975677747578,0.0244616349571,0.0212558366437,0.011917206774,0.679478288192,0.691517104386
53,DorothyDay_test6,10,25.5403909683,"prison, worker, get, girl, too, strike, talk, heard, peter, told, go, labor, maurin, i, tri",0.0231471160344,0.0224268472279,0.6,0.4,0.168134553672,0.667313441493,0.0175784599554,0.00192934316584,0.0149631281084,0.0104613273881,0.00994683587721,0.0162493568856,0.00883210427028,0.74049876197,0.594175171135
54,Unitarian_train11,10,34.7039279938,"know, get, i, ask, am, say, nt, s, silenc, love, someon, want, frustrat, realli, everyth",0.0308815083603,0.0227321380642,1.0,0.0,0.107222162106,0.656298858584,0.018338658147,0.0114696485623,0.0318530351438,0.0085303514377,0.00958466453674,0.0230670926518,0.0102236421725,0.713736014981,0.611999283242
55,Unitarian_test4,10,36.3983659744,"hope, garden, silenc, nt, tell, am, listen, say, ask, i, fear, let, get, hear, feel",0.027242181513,0.0237303995471,0.7,0.3,0.151970190175,0.685497851358,0.0186849281111,0.0104424888448,0.0264625681706,0.0117129400099,0.0107213683689,0.0222174020823,0.0109072880516,0.720729712546,0.720378497973
56,JohnPiper_train51,10,26.5154001713,"vers, god, christ, say, endur, abort, hope, let, nt, s, grace, shall, am, jesus, glori",0.0319818875695,0.024348519132,0.8,0.2,0.15394147421,0.68847719318,0.0204498269896,0.0178546712803,0.0123183391003,0.00553633217993,0.0192387543253,0.00840830449827,0.010276816609,0.697184704511,0.74144355784
57,JohnPiper_train28,10,23.2690780163,"vers, s, god, love, say, let, nt, will, promis, marriag, sin, get, want, jesus, hear",0.033842239942,0.0183550732681,0.9,0.1,0.124008514194,0.681568832412,0.0169121441899,0.020643931875,0.0151256500854,0.00678867759736,0.020882131089,0.0103616658065,0.0128627575529,0.700964364604,0.639599545303
58,Shepherd_train57,10,30.5677871704,"s, don, get, christ, want, t, sin, ill, god, thing, ask, say, heaven, i, think",0.0334268100861,0.0244831229709,0.7,0.3,0.0674422236911,0.605931758784,0.0257890295359,0.0134683544304,0.02605907173,0.00793248945148,0.0220084388186,0.0237299578059,0.0122869198312,0.617087692636,0.548851555012
59,WBC_train27,10,28.8486230373,"shall, unto, ye, god, thi, thou, lord, joy, fear, coven, christ, hath, sin, s, thing",0.0288751170115,0.0320641468974,0.4,0.6,0.187707037154,0.559671878652,0.00976387366743,0.00657567002092,0.0109594500349,0.0165055959616,0.0241440005314,0.00664209093022,0.00913287502906,0.731147400559,0.667090919299
60,Shepherd_train42,10,25.2928180695,"s, ask, know, get, god, worship, christ, don, thing, want, ill, jesus, sin, thank, said",0.0336731000096,0.0252112142483,0.8,0.2,0.0770350992888,0.664282471579,0.0261566374357,0.0187859086786,0.0266480193529,0.00922286059873,0.0256274569096,0.0220743876625,0.0131917145449,0.649235589374,0.630680549438
61,Rabbinic_test5,10,20.2086238861,"jacob, bless, jew, sibl, esau, netanyahu, get, know, jewish, sit, synagogu, israel, choic, rabbi, don't",0.0230615782694,0.0210789211365,0.6,0.4,0.229258870188,0.743265339563,0.0212864177267,0.00589864587608,0.012156339762,0.00923266311038,0.0103098071399,0.00830939679934,0.0133873615101,0.735335377282,0.550133122143
62,DorothyDay_test11,10,16.0944700241,"worker, too, talk, room, prison, priest, go, stjoseph, ammon, visit, farm, get, trip, coffe, hour",0.0272935616776,0.0181295008118,0.8,0.2,0.196421432589,0.716560057109,0.0169236800836,0.0020256142185,0.0165316257188,0.0100627286984,0.0141792995295,0.016204913748,0.0083638264506,0.712072335091,0.653504968418
63,JohnPiper_train24,10,23.1367611885,"vers, righteous, god, s, nt, christ, say, shall, let, jesus, save, prayer, elder, coven, sin",0.0294168198593,0.0230647675345,0.8,0.2,0.11661826375,0.703184049977,0.0235197753335,0.0156798502223,0.0108042749044,0.0103362196739,0.0223886418597,0.00647476402215,0.0120524221858,0.693700732689,0.667854851086
64,DorothyDay_test1,10,27.6867439747,"get, room, babi, night, too, talk, farm, tamar, worker, say, tri, bed, poverti, fr, job",0.0268717768068,0.0176193292154,0.9,0.1,0.135448811651,0.713987455545,0.0184806483375,0.00280239339544,0.0151859425888,0.00795273801409,0.0105279103234,0.0190487010528,0.0127622510036,0.760939185688,0.713511952865
65,Unitarian_train18,10,34.8251841068,"want, am, disappoint, trust, unitarian, i, feel, love, know, dont, say, congreg, let, think, nt",0.0316182181631,0.0209348337893,0.8,0.2,0.100688777636,0.669278436045,0.0187349930494,0.0106786301024,0.0345317831417,0.0112789081259,0.00859345381019,0.0258751421711,0.0115000631872,0.68919810643,0.680697553198
66,Unitarian_train23,10,40.7704801559,"am, unitarian, i, nt, congreg, s, say, know, grief, get, tell, silenc, love, truth, want",0.0294892862576,0.0186163934708,0.9,0.1,0.12186274847,0.665443976546,0.02230967639,0.00813678304571,0.0288244209855,0.00928018719919,0.00877496210812,0.0238519424575,0.0122849469514,0.682641122175,0.544144110406
67,JohnPiper_train37,10,25.7840881348,"vers, god, s, nt, say, faith, job, shall, christ, justifi, judgment, promis, merci, will, know",0.0367002810609,0.0228982572275,0.8,0.2,0.132698245624,0.711502252796,0.0128086894149,0.0195375209209,0.011886463777,0.0124329678587,0.0256515353349,0.00993954298596,0.0106226730881,0.761306734078,0.621651424224
68,Shepherd_train70,10,29.86353302,"s, get, don, evil, christ, sin, ill, lord, happen, god, t, know, said, want, thing",0.0293873165275,0.0255274085473,0.7,0.3,0.0617454898341,0.574771263347,0.0272442760665,0.013704496788,0.0220721462691,0.00981716356449,0.0188107395816,0.0197002141328,0.0115961126668,0.681805841517,0.680404263103
69,WBC_train15,10,30.9372849464,"unto, shall, ye, god, heaven, lord, s, angel, thou, christ, thing, thi, say, thee, soul",0.0318898482233,0.0236398351723,0.6,0.4,0.176891158343,0.605888957641,0.0160799122914,0.00593860397125,0.0127603849434,0.0190339870873,0.0258557680594,0.00749177731758,0.0100803995615,0.770599190309,0.672697815952
