,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,49.6861522198,"christ, s, sin, god, love, know, don, spirit, ask, ill, say, t, rememb, grace, jesus, get, think, i, want, thing",0.0339976016046,0.0255693761536,0.8,0.2,0.365399353759,0.0719239480784,0.604265936769,0.0196465810559,0.0147806680569,0.0232685764461,0.0107928145465,0.0246588373029,0.00603665898365,0.0107196429225,0.635316691914,0.599937622011,Shepherd,4,4.0,4.01001627925
4,Shepherd_test9,10,50.335340023,"s, ask, get, want, don, know, god, christ, said, t, thing, ill, whi, jesus, sin, go, think, lord, love, job",0.0333603950096,0.0214527944409,1.0,0.0,0.330261569602,0.0728526550565,0.625402330218,0.0236808236808,0.0175399889686,0.020481706196,0.0116197830484,0.0273211987498,0.00415517558375,0.011472697187,0.646677667862,0.631455505562,Shepherd,4,4.0,3.93188346915
5,Shepherd_test0,10,51.442332983,"pray, s, christ, get, ask, jesus, prayer, preacher, want, know, god, don, let, spirit, ill, said, say, t, i, thing",0.0288713487063,0.0197424008469,0.9,0.1,0.376772109601,0.0773075602051,0.637132840947,0.0232737469331,0.014335786891,0.0217315106905,0.0115667718191,0.0274798457764,0.00522257273046,0.010094637224,0.63448741677,0.593030330609,Shepherd,4,4.0,4.14128459092
8,Shepherd_test10,10,51.2600419521,"s, don, get, want, walk, christ, ask, heaven, ill, t, pray, said, thing, god, know, i, say, answer, rememb, whi",0.0327201946232,0.0199576060837,0.8,0.2,0.362483129236,0.0655780548108,0.60276622309,0.0217102037958,0.0154072414035,0.0251068001961,0.00878913089152,0.022340500035,0.00430702430142,0.0118005462567,0.647249950516,0.628852699586,Shepherd,4,4.0,4.44485233339
14,Shepherd_test20,10,53.0084121227,"s, get, want, know, god, don, ask, ill, bless, said, t, whi, christ, let, repli, go, thing, lord, everyth, re",0.032881347218,0.0205871173447,1.0,0.0,0.298752456323,0.0824297883242,0.608800983948,0.0213862057278,0.0203016437892,0.0211150652432,0.00867649550924,0.0223690899847,0.00440603287578,0.0113879003559,0.660647920675,0.644088123562,Shepherd,4,4.0,4.29578442084
15,Shepherd_test6,10,49.325688839,"s, get, sin, don, want, christ, t, know, god, said, ask, ill, someon, do, someth, wisdom, re, perfect, say, i",0.0334066954039,0.0254736272957,0.8,0.2,0.364258120875,0.0871438199339,0.598452512046,0.0207326815536,0.0163578955377,0.0184501845018,0.00962452923498,0.0202000989082,0.00327157910754,0.0135428158405,0.622136739346,0.591025474396,Shepherd,4,4.0,3.96022617168
20,Shepherd_test16,10,48.6193621159,"s, get, don, sin, want, christ, pray, ask, know, t, god, rememb, love, prayer, ill, said, jesus, i, must, how",0.0344649400728,0.0247830904524,0.8,0.2,0.341747200263,0.0509367786177,0.574485304824,0.0260335108049,0.0152286251174,0.0244284372064,0.00990447854682,0.0270513623552,0.00790792358284,0.00931725649859,0.58087938707,0.540025296336,Shepherd,4,4.0,4.11358939193
22,Shepherd_test19,10,51.0629768372,"s, christ, want, get, don, love, ask, sin, god, t, pray, preacher, got, ill, bless, said, thing, prayer, do, i",0.0346560158225,0.0220769773921,0.8,0.2,0.354723635281,0.0615080088657,0.59918721374,0.0231734909861,0.0159842347274,0.0206554266112,0.00915991533465,0.0271877965112,0.00390482446537,0.0106926501715,0.668515964343,0.658571983867,Shepherd,4,4.0,3.87235486919
29,Shepherd_test14,10,59.7481808662,"s, don, get, want, ask, sunday, christ, t, know, god, ill, heaven, said, i, pray, love, better, scriptur, whi, re",0.0347263067429,0.0237893108112,0.6,0.4,0.331107469992,0.0506758817182,0.591252062879,0.0226659638461,0.0183870267589,0.0259216768472,0.0084338470125,0.0236891879322,0.00399987597284,0.0112244581563,0.674059515577,0.680409017083,Shepherd,4,4.0,4.38484056552
30,Shepherd_test4,10,50.6699709892,"s, sin, get, want, don, christ, t, love, know, let, god, ill, jesus, go, say, elder, i, spirit, ask, someon",0.0318927285825,0.0251738754539,0.7,0.3,0.332251548179,0.0699427706554,0.598407347607,0.024028686555,0.0166722117482,0.0219585227903,0.0110531958153,0.0253964733282,0.00510147499168,0.0106465565044,0.647362614874,0.611908833964,Shepherd,4,4.0,4.03257459642
