,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,15.8889830112,"s, get, talk, said, christ, want, thing, don, t, know, ill, i, go, happen, sin, god, better, ask, say, let, re, ve, car, whi, someth, look, good, didn, think, do",0.0324191178746,0.0211495670874,1.0,0.0,0.0712108654742,0.602024037257,0.690824536032,0.599297161592,Shepherd,4,4.0,4.13188883308
4,Shepherd_test9,10,14.9964818954,"s, christ, want, don, god, spirit, get, ask, sin, mind, elder, preach, prayer, t, said, know, fill, say, jesus, let, whi, rememb, lord, i, preacher, pray, think, should, do, save",0.0324119279325,0.0224656033762,0.8,0.2,0.0593607741275,0.602461398348,0.68711527898,0.610130102638,Shepherd,4,4.0,4.08104006558
6,Shepherd_test0,10,13.2918760777,"s, get, sin, god, rememb, prepar, thank, jesus, merci, ask, judg, worship, want, ill, christ, don, whi, know, lord, said, go, let, preach, preacher, bless, t, i, thing, scriptur, say",0.031971668262,0.0220826216543,0.8,0.2,0.067773397681,0.635973533122,0.655368735729,0.58874829144,Shepherd,4,4.0,4.06499537466
9,Shepherd_test10,10,15.8862271309,"sin, christ, s, don, get, want, preach, love, say, t, ask, i, said, know, preacher, ill, go, let, jesus, thing, will, thank, god, hope, ve, gospel, heaven, happen, re, faith",0.0333426263593,0.0244759405716,0.7,0.3,0.0722653307212,0.625696227418,0.696492868618,0.55655010574,Shepherd,4,4.0,3.82112319176
15,Shepherd_test20,10,15.9066469669,"s, ask, christ, ill, get, god, don, said, spirit, testimoni, want, jesus, t, bad, pray, heaven, thing, sunday, say, love, let, ve, evil, preacher, i, good, eat, car, know, baptism",0.0339917210941,0.0213332766025,0.9,0.1,0.0624840915067,0.555015590845,0.699665624878,0.611984243512,Shepherd,4,4.0,4.05968852304
16,Shepherd_test6,10,16.0932087898,"s, love, don, ask, know, god, want, t, get, christ, pray, ill, someon, should, whi, i, said, ve, thing, bad, think, someth, do, wrong, burden, need, tell, happen, disappoint, told",0.0355414969639,0.0241590591875,0.8,0.2,0.0614648900444,0.601213807463,0.618262316009,0.549794043072,Shepherd,4,4.0,3.93948054349
21,Shepherd_test16,10,14.0659611225,"get, s, want, christ, hope, preacher, ask, happen, love, don, evil, said, ill, lord, go, know, god, t, jesus, thing, preach, bad, i, church, do, will, whi, door, happi, someth",0.0308655820424,0.0237946023191,0.8,0.2,0.0695048408236,0.608906168515,0.695490917738,0.590482660917,Shepherd,4,4.0,4.22751284524
23,Shepherd_test19,10,15.7968640327,"s, christ, don, god, get, love, want, t, know, sin, ill, jesus, said, ask, heaven, preacher, go, lord, whi, i, money, messag, do, husband, thing, got, say, spirit, re, preach",0.0347981612343,0.0239411057996,0.8,0.2,0.0613813638873,0.591072705634,0.634196756129,0.580958537338,Shepherd,4,4.0,3.86494811506
30,Shepherd_test14,10,15.3428809643,"s, christ, god, get, rememb, grace, don, do, bless, evil, let, thing, preacher, ask, t, good, humbl, will, want, say, said, ill, jesus, someon, fear, think, better, i, lord, look",0.0397920424971,0.0223744921594,1.0,0.0,0.0847638505795,0.658816655851,0.608559076884,0.624273432097,Shepherd,4,4.4,4.03494479344
31,Shepherd_test4,10,15.6223900318,"s, get, sin, ask, want, wait, christ, god, know, lord, t, ill, say, thing, i, don, said, whi, go, pray, tri, someon, let, am, must, repli, should, do, will, tell",0.0323602428129,0.0268385951139,0.7,0.3,0.074415814567,0.658356177286,0.656368930116,0.607991941213,Shepherd,4,3.7,4.25252260578
