,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,DorothyDay_test0,10,6.85361909866,"worker, get, peter, love, labor, too, farm, say, maurin, tri",0.026857500954,0.026857500954,0.0,1.0,12.6,0.130371207733,0.764781433159,0.769468718236,DorothyDay,4,3.9,4.64685052272
2,DorothyDay_test1,10,8.25781989098,"worker, priest, get, say, too, want, love, cathol, christ, poverti",0.0233300187838,0.0233300187838,0.0,1.0,15.6,0.175243657404,0.731690880313,0.676189839236,DorothyDay,4,2.7,3.25399175312
9,WBC_test1,10,11.1410608292,"shall, unto, s, lord, god, ie, babylon, wbc, hath, sermon",0.0274106954309,0.0274106954309,0.0,1.0,21.4,0.133487470348,0.752849882369,0.842775695799,WBC,1,2.5,3.92650496194
10,WBC_test0,10,10.6668951511,"shall, unto, s, god, wit, ye, sin, say, lord, thee",0.0267323878037,0.0267323878037,0.0,1.0,22.6,0.155473023004,0.752186622089,0.696065072849,WBC,1,2.5,2.26332487625
13,Bahai_test0,10,4.0273809433,"thi, thou, abdu'lbaha, baha'i, courag, baha'u'llah, thee, realiti, want, ye",0.0229337513086,0.0229337513086,0.0,1.0,5.6,0.135291357694,0.670671435074,0.627270783912,Bahai,6,5.5,7.40782515154
14,Bahai_test1,10,3.6705930233,"baha'i, prejudic, abdu'lbaha, baha'u'llah, love, p, uniti, must, everyon, spiritu",0.0185615407562,0.0185615407562,0.0,1.0,6.6,0.214922367232,0.699204007313,0.72362582603,Bahai,6,4.5,5.27628657285
17,IntegralYoga_test1,10,4.7020778656,"yoga, mind, happi, want, everyth, don't, guru, get, say, anyth",0.0212075110721,0.0212075110721,0.0,1.0,6.9,0.0641435632874,0.729743628186,0.634736949446,IntegralYoga,7,6.7,6.25400034664
19,IntegralYoga_test0,10,5.04359912872,"yoga, gurudev, sri, mind, don't, arjuna, fruit, want, love, should",0.0280545195814,0.0280545195814,0.0,1.0,8.8,0.101479411365,0.671030439258,0.618005835653,IntegralYoga,7,6.9,5.78329393084
23,ISIS_test1,10,12.6958339214,"allah, wa, ibn, alayhi, abū, sallam, sallallāhu, ﻿, messeng, said",0.0198184215178,0.0198184215178,0.0,1.0,24.3,0.228784964966,0.791271197753,0.802043640923,ISIS,1,2.6,1.47115550971
24,ISIS_test0,10,16.4310390949,"allah, tandhīm, crusad, ibn, wa, ribāt, ﻿, faction, abū, regim",0.0168118894251,0.0168118894251,0.0,1.0,26.8,0.202410961063,0.751771973466,0.678653288483,ISIS,1,1.3,0.394536380857
27,Rabbinic_test0,10,8.74479985237,"synagogu, know, jew, israel, jewish, moment, rabbi, hope, feel, templ",0.0278407144948,0.0278407144948,0.0,1.0,18.4,0.230932981141,0.783400670787,0.591415320106,Rabbinic,6,3.8,3.46501041207
30,SeaShepherds_test0,10,3.2141919136,"whale, shepherd, illeg, costa, net, save, crew, rican, shark, coco",0.0236729079234,0.0236729079234,0.0,1.0,6.4,0.215229588784,0.663157509169,0.547027588556,SeaShepherds,2,5.8,6.34439523942
