,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,13.7195410728,"s, don, christ, love, ask, t, get, said, want, judg",0.0336905034015,0.0193905157491,0.8,0.2,0.0571572119156,0.604659484102,0.62724666348,0.501782071179,Shepherd,4,4.0,3.95379200579
4,Shepherd_test9,10,14.1152601242,"s, walk, get, don, let, love, want, god, ask, t",0.0337123570622,0.0206106646381,0.9,0.1,0.0553640184724,0.597023392311,0.680840329872,0.708520918016,Shepherd,4,4.0,3.94574242904
5,Shepherd_test0,10,14.6581690311,"s, don, want, christ, t, get, ill, god, said, know",0.0326781560493,0.0168206677817,0.9,0.1,0.0568901504537,0.578517595936,0.625210714353,0.615742172384,Shepherd,4,4.0,3.98636687207
8,Shepherd_test10,10,13.4897589684,"get, s, christ, want, don, god, let, ill, pray, said",0.0311879755798,0.0188556563173,0.8,0.2,0.0777268137046,0.612742078443,0.680600792568,0.762999172967,Shepherd,4,3.8,3.8855199415
14,Shepherd_test20,10,13.6884338856,"christ, s, want, bless, don, god, sin, ask, get, t",0.0315346332474,0.0177892280153,0.9,0.1,0.0597656173443,0.610659727146,0.674547194992,0.598910970204,Shepherd,4,4.0,4.01992068127
15,Shepherd_test6,10,15.0019509792,"s, don, get, want, sin, love, t, ill, know, devil",0.0282728953249,0.0239089519765,0.6,0.4,0.0582661596424,0.560743809334,0.605770303082,0.614920417059,Shepherd,4,4.0,4.20412465926
20,Shepherd_test16,10,14.0874149799,"s, don, pray, preach, walk, get, christ, ask, preacher, want",0.0363380555129,0.0173797637585,1.0,0.0,0.0746687452693,0.645080197089,0.682648169436,0.460852310632,Shepherd,4,3.8,4.10820288421
22,Shepherd_test19,10,13.321336031,"s, sin, want, get, christ, god, preach, wisdom, don, pray",0.0355695204924,0.020991979812,0.9,0.1,0.0757372677197,0.658581720023,0.680436317526,0.649474785456,Shepherd,4,3.8,3.81257502979
29,Shepherd_test14,10,16.1026349068,"s, christ, don, get, ill, want, t, know, god, ask",0.0272968076704,0.023418234062,0.6,0.4,0.0746093743283,0.590964037252,0.625477000837,0.503231865309,Shepherd,4,3.6,3.90030944995
30,Shepherd_test4,10,15.3329529762,"s, worship, christ, get, don, god, say, wisdom, t, christma",0.0338260711678,0.0195520995235,0.8,0.2,0.0824384424666,0.611397472041,0.690619809769,0.615889561371,Shepherd,4,4.0,4.15728587537
31,Shepherd_test8,10,13.9143669605,"s, god, sin, know, christ, pray, lord, get, want, ask",0.032587078526,0.0198643085715,0.8,0.2,0.0872514164012,0.658345715372,0.64942783563,0.584754535639,Shepherd,4,3.8,3.8626658309
33,Shepherd_test3,10,13.754778862,"s, sin, ask, get, bad, god, know, thing, said, want",0.0321991203847,0.0299018655498,0.5,0.5,0.0658770173042,0.60634330429,0.620361242464,0.531036830754,Shepherd,4,4.1,4.05897516303
36,Shepherd_test13,10,15.6052408218,"s, don, get, ask, god, christ, said, pray, t, ill",0.0287798801749,0.0213085735899,0.6,0.4,0.0616277745646,0.578309076712,0.637408690076,0.650640457217,Shepherd,4,4.0,4.15077411895
44,Shepherd_test21,10,14.4278337955,"s, don, get, want, t, whi, sin, ill, christ, god",0.0264397377278,0.024768301193,0.7,0.3,0.055038255315,0.593086490976,0.662930929138,0.684290289173,Shepherd,4,3.6,4.01280520889
45,Shepherd_test1,10,14.1486101151,"s, get, christ, want, worship, don, someon, said, ill, friend",0.0306279676179,0.0217312146077,0.8,0.2,0.0728048612509,0.625545268643,0.64702243195,0.50882513979,Shepherd,4,4.0,4.01164280776
49,Shepherd_test11,10,13.4944968224,"s, get, sin, don, want, hope, t, christ, said, god",0.0321852804995,0.0279746891261,0.5,0.5,0.0641283875905,0.583344616223,0.660799433021,0.564459184936,Shepherd,4,4.4,4.02756254149
55,Shepherd_test18,10,14.9413619041,"s, don, get, christ, t, want, ill, ask, said, go",0.028527983024,0.0187838486109,0.9,0.1,0.0666344058027,0.601157678216,0.67182310622,0.582257083416,Shepherd,4,4.0,4.31452877305
58,Shepherd_test7,10,15.7268650532,"s, don, pray, get, ask, want, christ, t, know, ill",0.0301161692458,0.0209224501119,0.9,0.1,0.0594149083536,0.599087417254,0.65872382336,0.540981563881,Shepherd,4,4.0,4.2503933223
63,Shepherd_test17,10,14.4446148872,"s, don, sin, get, ask, christ, love, god, bless, t",0.0361349529548,0.0211657286826,0.9,0.1,0.0530881201745,0.625452411834,0.651561961065,0.652887329285,Shepherd,4,4.0,3.81544773214
66,Shepherd_test2,10,15.3170568943,"s, get, pray, god, grace, don, christ, know, whi, say",0.0331630538689,0.0214442763453,0.9,0.1,0.0634735010117,0.612947566647,0.661946311506,0.675019576933,Shepherd,4,4.0,4.07362296169
71,Shepherd_test12,10,13.7021329403,"s, get, god, christ, ask, don, ill, merci, love, said",0.0343797680972,0.023918987694,0.9,0.1,0.0791869474549,0.634620304849,0.625188472053,0.710740645123,Shepherd,4,4.0,4.06620422275
72,Shepherd_test5,10,14.1684191227,"s, preach, christ, get, ask, jesus, god, don, i, whi",0.0306535172009,0.0200740448883,0.8,0.2,0.0722279435289,0.625585429803,0.660192579819,0.543436052548,Shepherd,4,4.0,4.06721252325
73,DorothyDay_test8,10,11.7635641098,"fr, worker, get, priest, too, talk, love, i, night, am",0.025522369761,0.0212734591756,0.8,0.2,0.171378142957,0.694101240981,0.763693797981,0.756911149517,DorothyDay,4,4.6952476848,4.10109089529
75,DorothyDay_test13,10,11.9534499645,"get, worker, go, too, hospit, tri, am, street, talk, stay",0.02360969313,0.0195997575414,0.8,0.2,0.195325877961,0.734734620025,0.813292991344,0.687252624569,DorothyDay,4,4.00222716983,4.22864368785
76,DorothyDay_test3,10,14.3604359627,"get, farm, too, labor, room, talk, tamar, say, worker, tri",0.0280118961903,0.0199929711441,0.8,0.2,0.169059757342,0.705230700797,0.739626091813,0.500896895855,DorothyDay,4,4.88713080169,4.24537945088
88,DorothyDay_test23,10,6.05667901039,"worker, get, joy, know, room, love, reader, say, weav, spin",0.0278436697928,0.0183486690761,0.8,0.2,0.183167023695,0.69130811172,0.77799746334,0.698779307569,DorothyDay,4,4.28556050317,4.73976457244
89,DorothyDay_test16,10,11.9195690155,"get, worker, too, fr, destitut, love, poor, maurin, talk, dollar",0.0260120339428,0.0227477674589,0.7,0.3,0.147939397756,0.696501394154,0.763589819205,0.692422270014,DorothyDay,4,4.3952476848,4.07447782476
90,DorothyDay_test6,10,12.2266612053,"get, worker, too, go, talk, dont, ask, told, teresa, dolci",0.0250212449686,0.0213922169036,0.8,0.2,0.147197827196,0.755585565983,0.800312308101,0.793432460749,DorothyDay,4,4.0952476848,3.67006418856
