,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC
0,Shepherd_train32,10,10.4339361191,"s, christ, want, don, rememb, get, ill, said, t, go",0.0497896163032,0.0497896163032,0.0,1.0,0.0719126496738,0.604240921777,0.590879422233,0.679162062615
1,DorothyDay_test8,10,8.09762001038,"worker, too, farm, get, christ, priest, fr, talk, room, hospit",0.0298851895502,0.0298851895502,0.0,1.0,0.188429645683,0.666801647898,0.772831970023,0.792049019638
2,Shepherd_train27,10,11.5420410633,"s, don, get, rememb, ask, t, knock, look, happen, christ",0.0509422785707,0.0509422785707,0.0,1.0,0.0561600847901,0.600825422967,0.665178741559,0.655852667427
3,Unitarian_train13,10,14.5174779892,"am, want, i, feel, love, grief, say, s, door, congreg",0.0556122095814,0.0556122095814,0.0,1.0,0.10389008701,0.640759630906,0.68825452825,0.729385858807
4,NaumanKhan_train5,10,17.4938130379,"allah, nt, know, s, say, get, talk, quot, na, don't",0.040082038224,0.040082038224,0.0,1.0,0.141183373126,0.758273958429,0.670653312833,0.78668592174
5,JohnPiper_train57,9,7.96194720268,"vers, hope, god, abraham, s, nt, prayer, say, mind, strive",0.0290869466535,0.0290869466535,0.0,1.0,0.118375567242,0.683393787966,0.684215211067,0.695250019844
6,WBC_test9,10,10.4909739494,"shall, unto, ye, thou, lord, thi, thee, wit, mose, god",0.0252862792754,0.0252862792754,0.0,1.0,0.168925887232,0.611977366176,0.718536855731,0.772672940046
7,JohnPiper_train26,10,11.0179839134,"vers, god, joy, s, say, jesus, satan, christ, will, marriag",0.0306323695066,0.0306323695066,0.0,1.0,0.136905712889,0.657116296751,0.656009503539,0.60833519395
8,DorothyDay_train68,10,9.0302491188,"christ, poverti, worker, fr, get, love, talk, too, poor, i",0.0312244183055,0.0312244183055,0.0,1.0,0.162002615694,0.640077076285,0.746832733528,0.485100798484
9,Shepherd_train44,10,11.1195120811,"s, get, christ, want, sin, don, love, ask, thank, said",0.0461719351778,0.0461719351778,0.0,1.0,0.0737831421013,0.612753626609,0.632328226684,0.575759481287
10,Shepherd_test15,10,11.8145859241,"s, don, get, walk, want, t, christ, bless, ill, someon",0.0512607294561,0.0512607294561,0.0,1.0,0.0587017186046,0.637200335644,0.661271489094,0.549372679159
11,DorothyDay_test13,10,11.1052451134,"love, get, retreat, too, fr, worker, priest, say, sin, talk",0.0323683851391,0.0323683851391,0.0,1.0,0.182958312606,0.682356062364,0.741716400811,0.600794360792
12,PastorAnderson_test5,10,31.6049439907,"s, re, nt, say, get, go, bibl, vers, know, unto",0.0505698835435,0.0505698835435,0.0,1.0,0.0843065583179,0.696265470758,0.734996531384,0.838302252555
13,DorothyDay_test3,10,8.92998409271,"worker, room, get, strike, max, street, labor, night, go, morn",0.0342612833922,0.0342612833922,0.0,1.0,0.169321983078,0.685878131611,0.752920611472,0.76238604475
14,DorothyDay_train29,10,5.66678404808,"worker, fr, love, maurin, prayer, trip, peggi, cathol, retreat, priest",0.0299122884914,0.0299122884914,0.0,1.0,0.141436196086,0.69544294509,0.689547360371,0.726199127811
15,Unitarian_train25,10,16.6115100384,"wonder, prison, say, am, love, unitarian, i, know, too, heal",0.0522442479892,0.0522442479892,0.0,1.0,0.119546791974,0.646314648061,0.688621627324,0.646528814699
16,JohnPiper_test8,10,8.61798787117,"god, salvat, gift, glori, s, vers, say, nt, heal, christ",0.0258754304223,0.0258754304223,0.0,1.0,0.117414557015,0.639634898442,0.736456892983,0.740525651997
17,DorothyDay_train65,10,6.85274100304,"worker, talk, too, get, tri, go, am, say, priest, know",0.0313999341341,0.0313999341341,0.0,1.0,0.168451317495,0.713272268251,0.772707641517,0.733833014063
18,JohnPiper_train31,10,8.64503002167,"vers, god, sin, s, jesus, say, christ, love, truth, marriag",0.0268146412995,0.0268146412995,0.0,1.0,0.134482897399,0.714956707693,0.716846868545,0.710506403755
19,WBC_train13,10,11.0748860836,"shall, unto, thou, thee, god, ye, sin, thi, lord, hath",0.0265359802562,0.0265359802562,0.0,1.0,0.197159949636,0.614216822572,0.692439437906,0.669360738968
20,DorothyDay_train58,10,10.667206049,"fr, worker, priest, get, too, talk, parish, love, fear, tri",0.0338973207096,0.0338973207096,0.0,1.0,0.184011464008,0.674726572161,0.744449586465,0.585160524392
21,JohnPiper_test15,10,10.4098808765,"god, vers, s, bless, say, etern, prayer, fear, hear, let",0.0262692430137,0.0262692430137,0.0,1.0,0.133163180763,0.683975013768,0.717077179284,0.595089491892
22,Shepherd_test9,10,12.673842907,"s, get, christ, ill, want, know, don, t, god, lord",0.0485885808879,0.0485885808879,0.0,1.0,0.0745090827647,0.613833510971,0.58184393358,0.613232314071
23,Shepherd_train59,10,10.1755979061,"christ, s, sin, god, love, want, get, ask, know, don",0.0432284664123,0.0432284664123,0.0,1.0,0.0786390055766,0.615304690708,0.576639739395,0.514326764395
24,Shepherd_test21,10,11.7261891365,"s, don, christ, jesus, said, ill, t, preacher, get, want",0.0566081204814,0.0566081204814,0.0,1.0,0.0508095884752,0.569599264746,0.607585301105,0.625748693282
25,Unitarian_test6,10,15.3855428696,"am, get, i, luck, know, say, s, love, silenc, want",0.0494868073409,0.0494868073409,0.0,1.0,0.107590570272,0.659780377573,0.660226477933,0.528687934936
26,Rabbinic_train16,6,5.22869277,"failur, know, dew, forgiv, ourselv, bless, perfect, tal, fail, tri",0.0306273775866,0.0306273775866,0.0,1.0,0.209248556542,0.727192340695,0.747226822491,0.709072907491
27,WBC_train29,10,11.981415987,"shall, unto, ye, god, lord, sin, heaven, s, christ, thou",0.0238024770486,0.0238024770486,0.0,1.0,0.186996694689,0.575976071885,0.721643601289,0.781539748701
28,JohnPiper_train41,10,9.64984297752,"vers, god, s, meek, nt, say, christ, sin, let, boast",0.0255866806365,0.0255866806365,0.0,1.0,0.156113601392,0.695017259178,0.720979159834,0.799033993912
29,DorothyDay_train64,10,6.03821396828,"worker, get, pay, fr, job, reader, poor, tri, farm, say",0.0351941771855,0.0351941771855,0.0,1.0,0.207222311426,0.681206119319,0.704592252216,0.824077088617
30,DorothyDay_train59,10,10.5254130363,"get, too, room, worker, go, talk, told, fr, i, priest",0.0351008701256,0.0351008701256,0.0,1.0,0.146151318484,0.683247208982,0.71899717245,0.751465593647
31,Shepherd_test0,10,11.28597188,"s, get, don, christ, t, know, want, ask, god, preach",0.0513954726126,0.0513954726126,0.0,1.0,0.052758146704,0.603352047569,0.579544518493,0.634154664624
32,WBC_test11,10,10.4630641937,"shall, unto, ye, god, christ, redeem, s, lord, servant, thing",0.0270014623478,0.0270014623478,0.0,1.0,0.211851997496,0.673151570075,0.724355140986,0.704248119046
33,WBC_train34,10,11.028744936,"shall, unto, god, thee, ye, lord, grace, thi, thou, hath",0.0253101401864,0.0253101401864,0.0,1.0,0.174453767758,0.570816496953,0.741293904882,0.712314069674
34,Shepherd_train55,10,10.8577439785,"s, get, want, don, love, whi, thing, pray, t, god",0.0484900256179,0.0484900256179,0.0,1.0,0.057203979587,0.61173206351,0.553883831165,0.705245098127
35,MehrBaba_test1,10,7.2563970089,"baba, jan, mind, conscious, s, nt, get, realiz, know, will",0.0300503403817,0.0300503403817,0.0,1.0,0.23797542788,0.704687410589,0.729086810191,0.633765223751
36,MehrBaba_train20,10,7.01118707657,"love, baba, sanskara, meher, desir, spiritu, feel, perfect, mind, happen",0.0281632095465,0.0281632095465,0.0,1.0,0.265050652784,0.742195076775,0.750726001452,0.575851014779
37,DorothyDay_train27,10,7.7193441391,"get, worker, room, babi, poverti, want, too, go, bed, night",0.030881729315,0.030881729315,0.0,1.0,0.187736351994,0.715087400036,0.761986327263,0.74462420745
38,Shepherd_train37,10,10.7243359089,"s, trust, christ, get, don, ask, god, know, want, love",0.0484838904533,0.0484838904533,0.0,1.0,0.0785072821254,0.643380276866,0.64627214479,0.622988542953
39,DorothyDay_train36,10,8.1303589344,"priest, worker, fr, love, too, farm, room, get, talk, peter",0.0296643525183,0.0296643525183,0.0,1.0,0.170813299746,0.688912368435,0.755629598413,0.801550745455
40,Unitarian_train16,10,12.262294054,"am, i, nt, get, want, s, anger, ask, say, let",0.0539335860219,0.0539335860219,0.0,1.0,0.116345353206,0.739669771695,0.651576776773,0.651307128819
41,WBC_test3,10,12.6812000275,"shall, unto, thi, thou, christ, ye, hath, thee, god, sin",0.024512804864,0.024512804864,0.0,1.0,0.203384919583,0.618342159438,0.697486726394,0.727185310926
42,Unitarian_test3,10,17.1631040573,"forgiv, nt, s, am, dream, i, let, say, want, know",0.0496236483831,0.0496236483831,0.0,1.0,0.113951097508,0.669226406205,0.706949177237,0.750035752309
43,JohnPiper_test4,10,8.42825508118,"vers, worship, god, s, say, sin, glori, nt, christ, weak",0.0303561290869,0.0303561290869,0.0,1.0,0.121651631008,0.65563532793,0.728794000524,0.560651346777
44,DorothyDay_train47,10,7.71226787567,"worker, bread, get, too, jim, hospit, peter, labor, street, talk",0.0316161209841,0.0316161209841,0.0,1.0,0.105510039473,0.686867836507,0.713119306497,0.709402883294
