,groupId,files,timeRun,nous,vous,je,ils,il,elle,le,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,4.93377685547,0.0182950025938,0.0159778661594,0.0172574788172,0.0123465329414,0.0222375929448,0.00435759986166,0.0102369012623,Shepherd,4,4.0,4.11564007045
4,Shepherd_test9,10,4.95080494881,0.0206395546201,0.0141896938013,0.0287188539616,0.0101160974947,0.0242378980243,0.00505804874737,0.0118134292892,Shepherd,4,4.77311740891,4.05536711228
5,Shepherd_test0,10,4.11677908897,0.0263733640956,0.0163093201798,0.0223557022952,0.00859222721668,0.0265324794145,0.00270496042006,0.0122518795497,Shepherd,4,5.46617117117,4.41938010959
8,Shepherd_test10,10,4.98724412918,0.01953125,0.0194639008621,0.0297346443966,0.00777882543103,0.0242456896552,0.00750942887931,0.0103380926724,Shepherd,4,4.70304232804,3.88992176396
14,Shepherd_test20,10,4.048183918,0.0252810145345,0.0188989994647,0.0298101865195,0.00778194095607,0.0289043521225,0.00844072960843,0.0104582698563,Shepherd,4,4.09802302302,4.42125740375
15,Shepherd_test6,10,4.39347100258,0.0199604521882,0.0149983210835,0.0241763981644,0.00884229377309,0.0255941499086,0.00507405887401,0.0105585195687,Shepherd,4,4.57119047619,3.92718920647
20,Shepherd_test16,10,4.68848800659,0.0199698297536,0.0193233244738,0.0223044321529,0.0087637382372,0.0232023561526,0.00308885855901,0.0132174412758,Shepherd,4,4.57119047619,3.92209585783
22,Shepherd_test19,10,4.66879415512,0.0241213943168,0.0170710757999,0.0204351871734,0.0111301982678,0.0235487796149,0.00697874167919,0.0107365256603,Shepherd,4,4.50204836415,3.97659220603
29,Shepherd_test14,10,5.08902192116,0.0228064933772,0.014872356671,0.0234704378714,0.0101583507619,0.0225077183547,0.0066394449424,0.0138764399296,Shepherd,4,4.29516577306,4.03768859709
30,Shepherd_test4,10,5.12922620773,0.0243878421847,0.0197925556358,0.024223724808,0.00702422372481,0.0197925556358,0.00380752314055,0.0104706886365,Shepherd,4,4.74351851852,4.3948793291
31,Shepherd_test8,10,4.5876159668,0.0209355577363,0.0185366917457,0.0222440300949,0.0111583615018,0.0227892269109,0.00345291316832,0.0121397157707,Shepherd,4,4.1843956044,4.13405166721
33,Shepherd_test3,10,5.16080117226,0.0227687004938,0.0170350976038,0.0236966824645,0.00964438405197,0.024889802141,0.00417591886786,0.0112352102873,Shepherd,4,4.73802291592,4.03681718029
36,Shepherd_test13,10,4.74035406113,0.0225214198286,0.0140933729673,0.0204231509005,0.00804336422451,0.0280818324882,0.00489596083231,0.0127994404616,Shepherd,4,4.39802302302,4.04978324538
44,Shepherd_test21,10,4.7744820118,0.0206721012623,0.0153406941148,0.026037904585,0.00980290991642,0.0247996422798,0.00450589894404,0.0123826230523,Shepherd,4,4.77311740891,4.02612002638
45,Shepherd_test1,10,4.75373196602,0.0208852335938,0.016994846944,0.0188035354742,0.0106815001877,0.0265501825752,0.00559669658397,0.0110227621745,Shepherd,4,4.14153846154,4.10321104489
49,Shepherd_test11,10,4.78918600082,0.0206564701839,0.0173569341811,0.024368448187,0.00969238700808,0.0275992438563,0.00250902216876,0.0119951881767,Shepherd,4,4.81597455176,4.01569884675
55,Shepherd_test18,10,4.52063679695,0.0236608126975,0.0168638401058,0.0225953413182,0.00940554045117,0.02446910133,0.00308619296054,0.0138878683224,Shepherd,4,4.33038169749,4.05979758826
58,Shepherd_test7,10,4.62536382675,0.0198514815087,0.0201455775311,0.0254760679362,0.0100360267627,0.0257701639585,0.00341886625983,0.00977869274318,Shepherd,4,4.77443609023,4.03970314197
63,Shepherd_test17,10,4.75537014008,0.0222051532714,0.0172473989247,0.0230081698205,0.00890300956637,0.0252775644159,0.00398016898261,0.0115215417918,Shepherd,4,4.00833333333,4.01705175406
