,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,DorothyDay_test0,10,21.5832490921,"we, worker, me, strike, my, our, cesar, grower, hour, striker, grape, chavez, pray, farm, too, picket, get, you, christ, ask, joy, talk, delano, cathol, love, mexican, inde, am, ammon, labor",0.025956805872,0.0245409819274,0.5,0.5,0.463293247291,0.656808190476,0.0184286504085,0.00190429387555,0.0133300571288,0.0106886172369,0.0106271884022,0.00595859696542,0.00939861170834,0.745022942762,0.660286529356,DorothyDay,4,4.8,4.98510070112
3,DorothyDay_test1,10,21.8481011391,"we, you, my, me, our, worker, know, priest, your, pray, too, love, fr, parish, say, she, christ, let, rememb, hospit, us, silon, get, tree, want, soul, god, fellow, hope, maurin",0.0225832743357,0.0214425103715,0.6,0.4,0.508598977697,0.702402151776,0.0177457452607,0.00654109381624,0.0138695415178,0.0104172975592,0.0185936648295,0.00757071043547,0.00956937799043,0.780766314636,0.630913113077,DorothyDay,4,5.3,5.09916725932
6,PastorAnderson_test0,10,127.84095788,"you, s, re, say, nt, we, bibl, your, go, vers, me, get, know, let, want, my, sin, okay, talk, look, whi, thing, ve, shall, christ, chapter, unto, lot, tell, god",0.0238138212433,0.0224436739878,0.6,0.4,0.58324713659,0.678629007099,0.0144180939382,0.0278715609511,0.0207497408848,0.0206676449762,0.0145720237668,0.000769649142611,0.0178045501657,0.743568093238,0.721371860481,PastorAnderson,2,1.8,1.48341172323
7,PastorAnderson_test1,10,154.3157022,"you, s, re, we, say, nt, go, get, bibl, your, save, me, want, let, talk, vers, know, unto, my, whi, shall, christ, jesus, god, look, lord, ll, thing, sin, don",0.0238750115292,0.0196916695814,0.9,0.1,0.53579329924,0.632152201573,0.0161962054604,0.02448283545,0.0189555589833,0.016864620289,0.0168731897098,0.00108831645157,0.0175844516428,0.699636020882,0.732543792987,PastorAnderson,2,2.5,2.14322653502
10,SeaShepherds_test0,10,8.09775400162,"we, seaworld, shepherd, illeg, whale, net, greenpeac, hsus, seal, orca, crew, dog, shark, totoaba, vaquita, save, our, galapago, dolphin, me, my, will, fish, marin, gill, breed, slaughter, ecosystem, manbi, gear",0.0238175348946,0.0271759731431,0.4,0.6,0.599987463168,0.674267063134,0.0170056100982,0.00227910238429,0.0105189340813,0.0178821879383,0.00192847124825,0.00262973352034,0.00736325385694,0.756548328254,0.66851031358,SeaShepherds,2,1.6,2.87424838912
13,Bahai_test0,10,9.03320097923,"baha'i, perfect, abdu'lbaha, baha'u'llah, uniti, love, we, imperfect, p, color, my, divin, skin, lamp, will, you, —, fate, man, decre, weak, adam, spiritu, creator, spirit, tower, conting, mose, tree, garden",0.0294327068403,0.021362589775,0.6,0.4,0.408642067044,0.556431955822,0.00600343053173,0.00285877644368,0.00428816466552,0.010863350486,0.00857632933105,0.00100057175529,0.00886220697541,0.736687925211,0.638509727045,Bahai,6,5.4,4.48820246906
16,Bahai_test1,10,9.86680412292,"baha'i, abdu'lbaha, we, baha'u'llah, color, spirit, you, prophet, your, skin, my, god, p, christ, realiti, talk, muhammad, look, divin, our, ye, heaven, thou, soul, uniti, everyon, illumin, promulg, manifest, revel",0.0287965295385,0.021282762357,0.7,0.3,0.416242072926,0.574196261309,0.00989315393748,0.00619970980082,0.00527634876665,0.0117398760058,0.00962933649914,0.00303390054083,0.00751879699248,0.798206489562,0.724544468266,Bahai,6,4.7,4.66462933242
17,JohnPiper_test0,10,36.1158769131,"we, you, vers, god, your, our, hope, christ, glori, s, say, love, let, rejoic, thing, nt, spirit, faith, will, my, sin, us, promis, know, lord, whi, want, magnifi, salvat, joy",0.0343138524973,0.0182480503809,0.9,0.1,0.601939195905,0.704338198728,0.0279419274823,0.0152476836653,0.00758736412052,0.0093747720143,0.0191507988619,0.00069307653024,0.0131319763624,0.696407838646,0.677452640375,JohnPiper,4,6.4,5.36833118479
21,JohnPiper_test1,10,33.1582729816,"you, we, christ, god, vers, your, s, say, grace, our, hope, my, nt, exult, wonder, whi, me, faith, barnaba, let, am, sin, gospel, kind, spirit, boast, mose, jesus, shame, save",0.0374509189504,0.0234059511318,0.8,0.2,0.547574972864,0.646238030246,0.0200362861876,0.0156188372643,0.0153427467066,0.00749388656622,0.0196418711052,0.000473298098919,0.0126607241461,0.680756874836,0.635753190719,JohnPiper,4,5.9,5.1567211937
24,NaumanKhan_test1,10,47.8172619343,"you, allah, your, we, know, don't, get, say, talk, me, go, wa, “, my, want, someth, realli, quran, و, thing, happen, our, am, whi, tell, prophet, let, …, na, abraham",0.0192284291529,0.0139631310674,0.9,0.1,0.666743670247,0.772091385102,0.0167310909825,0.0360295390296,0.0179138060347,0.0174522586973,0.0154618358045,0.000923094674898,0.0141060405008,0.612816811794,0.515008234464,NaumanKhan,3,2.9,3.49492415806
25,NaumanKhan_test0,10,64.6013839245,"you, allah, your, we, get, say, me, talk, know, want, nt, don't, ask, thing, my, someth, happen, let, quran, go, tell, surah, na, s, whi, got, re, tri, our, ayah",0.0197817762128,0.0176900337308,0.7,0.3,0.626333305971,0.752517793805,0.015963893184,0.0396380960341,0.0159429980359,0.0214802122947,0.0197250198504,0.00104475740733,0.0163400058506,0.712335880803,0.678383513896,NaumanKhan,3,2.2,1.83424152365
