PSJudge,avgEVC,avgSD,binCount,binSize,cocoWindow,cvWindow,elle,il,ils,je,judgementMethod,keywordMethod,le,netAngle,nous,perNeg,perNegDoc,perPos,perPosDoc,pronounCount,pronounFrac,rfAccuracy,rfClassAccuracy,rfClassExact,rfClassMAE,rfMAE,runID,svmAccuracy,svmClassAccuracy,svmClassExact,svmClassMAE,svmMAE,targetWordCount,toBeCount,toBeFrac,vous
,0.0762619649,0.0982917645,1175,3,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.120334901,0.027758024,0.1530897521,0.0109620851,0.3378652002,0.1754363082,0.585915493,,,,1.0481732945,NL4R45,0.6732394366,,,,0.9638076504,10.0,,,
,0.0677779578,0.0871022377,707,5,3.0,3.0,,,,,pronoun,tfidfNoPro,,30.0,,0.1693963567,0.0177933239,0.1482650143,0.0167687494,0.2964350773,0.196461283,0.6851851852,,,,0.8335372144,A587IO,0.7175925926,,,,0.8744347012,10.0,,,
,0.0786224381,0.0886833651,1175,3,3.0,5.0,,,,,pronoun,tfidfNoPro,,30.0,,0.1706066837,0.0151314094,0.1210934062,0.0235009967,0.3285592427,0.173802458,0.6366197183,,,,0.9707349145,OBMH3D,0.676056338,,,,0.9208186007,10.0,,,
,0.074014633,0.0811067076,707,5,3.0,5.0,,,,,pronoun,tfidfNoPro,,30.0,,0.0927794059,0.0688447149,0.1663749469,0.0145593973,0.3271758848,0.1751443096,0.712962963,,,,0.7898315102,J2AAB4,0.6898148148,,,,0.9116697069,10.0,,,
,0.0545304428,0.0425345251,355,10,3.0,3.0,,,,,both,tfidfNoPro,,30.0,,0.2415022665,0.0303551051,0.1257417381,0.0276620885,,0.1062489736,0.8198198198,,,,0.5269129831,A41J68,0.8108108108,,,,0.703153679,20.0,,0.3714248603,
,0.0391163463,0.1213716069,355,10,3.0,3.0,,,,,both,tfidfNoPro,,30.0,,0.1102103489,0.0040859723,0.1291160561,0.00647497,,0.1565173146,0.7207207207,,,,0.8049910803,NJHJB0,0.8288288288,,,,0.7050092339,30.0,,0.4331073849,
,0.0419812727,0.0602611854,355,10,3.0,3.0,,,,,both,tfidfNoPro,,30.0,,0.1173216377,0.0804292947,0.1345553056,0.0455186922,,0.1509570477,0.7387387387,,,,0.7240289294,OA6AT4,0.7207207207,,,,0.8468274029,15.0,,0.368975564,
,0.1093603165,0.0414877846,355,10,3.0,3.0,,,,,both,tfidf,,30.0,,0.0482612986,0.0673876247,0.1202419631,0.0462356903,,0.1302941882,0.8198198198,,,,0.5918681574,5ANT3O,0.7747747748,,,,0.7639971664,20.0,,0.436731134,
,0.0706433991,0.0342842869,355,10,3.0,3.0,,,,,both,tfidf,,30.0,,0.2613316999,0.0230814949,0.1106356301,0.0127178666,,0.0613340034,0.7567567568,,,,0.6766609368,P78FT8,0.7477477477,,,,0.6927934943,30.0,,0.4259716191,
,0.0566236143,0.06391987,355,10,3.0,3.0,,,,,both,tfidf,,30.0,,0.1671037339,0.0532184487,0.1286825057,0.010451881,,0.1257992051,0.7747747748,,,,0.6230794484,N206C4,0.7657657658,,,,0.75219111,15.0,,0.3942007412,
,0.116544500856,0.182302717508,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.265349589619,0.0164040989969,0.228613023186,0.0354427878721,,0.155343281962,0.594594594595,,,,1.00050428137,0LZVUZ,0.711711711712,,,,0.869959432812,20.0,,,
,0.119236388756,0.0887672249105,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.180116468957,0.0550712030867,0.165884886054,0.142316456854,,0.248607371383,0.585585585586,,,,1.14546812454,GY9S95,0.666666666667,,,,0.972263661849,30.0,,,
,0.0865089021075,0.169489363179,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.305213660907,0.0176963836808,0.236449308419,0.0148882929873,,0.16975408872,0.612612612613,,,,0.996490643241,5B75HA,0.684684684685,,,,0.922554638947,15.0,,,
,0.111899154755,0.112387489413,355,10,3.0,3.0,,,,,pronounFrac,tfidf,,30.0,,0.294066709591,0.0195516231534,0.20515135322,0.0452290638569,,0.21171460601,0.603603603604,,,,0.998115643116,SZY2H4,0.738738738739,,,,0.83263625878,20.0,,,
,0.0957569440053,0.204052323227,355,10,3.0,3.0,,,,,pronounFrac,tfidf,,30.0,,0.270492282757,0.0167962902253,0.159322428268,0.0149826113441,,0.238597120173,0.612612612613,,,,1.01599779975,BYYZRV,0.675675675676,,,,0.998600111181,30.0,,,
,0.134573414863,0.163391561766,355,10,3.0,3.0,,,,,pronounFrac,tfidf,,30.0,,0.339198056201,0.0122919154362,0.178100975175,0.0180304343069,,0.154413642251,0.630630630631,,,,0.938081090281,6TZZYA,0.711711711712,,,,0.88053877304,15.0,,,
,0.0892698763708,0.18463730397,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.162005780211,0.0845574312464,0.175620505172,0.0312368176695,,0.27267228536,0.648648648649,,,,1.01995746378,53LAK5,0.684684684685,,,,0.946959965493,10.0,,,
,0.116355503236,0.0898722683538,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.262227004241,0.0674405542037,0.198691058797,0.0150993697407,,0.250314241428,0.603603603604,,,,1.10625557125,KPJKGR,0.621621621622,,,,1.03519880916,10.0,,,
,0.117139494833,0.119019683101,355,10,3.0,3.0,,,,,pronounFrac,tfidfNoPro,,30.0,,0.18858239079,0.0605392488879,0.216132018909,0.0891607144111,,0.209426449068,0.540540540541,,,,1.06403499152,X5J411,0.612612612613,,,,1.0125256694,10.0,,,
