,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,14.4308810234,"we, you, my, s, me, your, know, god, our, sin, evil, ask, get, ill, i",0.0305438062623,0.0273572877546,0.6,0.4,0.614608471326,0.60953856654,0.573827976801,Shepherd,4,3.7,3.87478460771
5,Shepherd_test9,10,12.9100749493,"you, we, your, my, s, me, get, don, know, rememb, sin, our, t, god, said",0.0353191929511,0.0185842296664,0.8,0.2,0.604640562604,0.690079166533,0.549378634856,Shepherd,4,4.4,4.171118943
7,Shepherd_test0,10,14.8593740463,"we, you, s, your, my, me, don, love, get, christ, t, want, rememb, thing, our",0.0322928092284,0.0182537969363,0.9,0.1,0.58073500036,0.623636742075,0.67038964072,Shepherd,4,4.0020123839,3.69954745469
10,Shepherd_test10,10,13.5639798641,"we, you, your, me, s, my, don, get, christ, our, t, sin, said, ill, ask",0.0327126405325,0.0218050947646,0.8,0.2,0.577594396819,0.669756778313,0.604705630109,Shepherd,4,4.0020123839,3.96739687909
15,Shepherd_test20,10,14.9724969864,"you, we, your, my, me, s, don, get, our, god, job, ask, t, grace, love",0.0390210453604,0.0219320283843,0.7,0.3,0.615385657915,0.679065135674,0.595022504218,Shepherd,4,4.0,3.94483679893
16,Shepherd_test6,10,13.9133851528,"we, you, me, s, your, my, get, know, sin, god, ask, pray, christ, want, judg",0.032890631767,0.0226393411327,0.9,0.1,0.635784395266,0.65802491834,0.649037908842,Shepherd,4,4.29411764706,4.07453963497
21,Shepherd_test16,10,13.740322113,"we, you, s, your, my, me, don, get, want, christ, preacher, t, thing, said, ask",0.0291624959659,0.0201616034866,0.8,0.2,0.601759840429,0.646286937581,0.587849843426,Shepherd,4,3.8,3.98066936318
23,Shepherd_test19,10,14.7344670296,"we, you, my, your, s, me, don, ask, t, want, christ, dad, love, get, said",0.0331033927463,0.022183626944,0.8,0.2,0.631387353198,0.657049547412,0.674634323454,Shepherd,4,4.0020123839,3.9888932519
30,Shepherd_test14,10,13.6763010025,"you, we, my, your, me, s, christ, ask, don, get, our, want, know, joy, t",0.0366341293839,0.0209181211052,0.8,0.2,0.606542927297,0.639163408962,0.483989916619,Shepherd,4,4.3,3.78994996509
31,Shepherd_test4,10,15.036700964,"we, you, my, me, your, s, sin, our, god, evil, get, don, happen, christ, ask",0.0309672889163,0.0281966151921,0.6,0.4,0.618863153996,0.668553336573,0.70327242036,Shepherd,4,4.0,3.75505187743
32,Shepherd_test8,10,14.109826088,"we, you, s, me, my, your, get, our, god, don, prayer, want, pray, christ, ask",0.0338544081303,0.0215605590693,0.9,0.1,0.611581584334,0.646810289275,0.56709255496,Shepherd,4,4.00789473684,3.89252442084
35,Shepherd_test3,10,13.1371760368,"we, you, s, your, me, my, christ, love, want, get, our, god, ill, lord, know",0.0366667079384,0.0213805067428,0.9,0.1,0.631158695673,0.638383855959,0.622013057825,Shepherd,4,4.0,3.89713476068
38,Shepherd_test13,10,14.0379049778,"we, you, your, s, my, me, our, grace, god, get, want, christ, know, don, ill",0.0356261820339,0.0254602214168,0.6,0.4,0.614142174431,0.659182424376,0.709520965956,Shepherd,4,4.0,4.10723083939
44,Shepherd_test21,10,13.3732872009,"we, you, your, s, me, want, god, walk, my, don, bless, preacher, our, get, ill",0.0347579986579,0.0192742784958,1.0,0.0,0.625083598702,0.654720182551,0.60283492954,Shepherd,4,4.0,3.91940557509
45,Shepherd_test1,10,14.1296410561,"we, you, my, me, s, your, want, don, our, get, thing, god, know, ask, t",0.034443558519,0.0231860911969,1.0,0.0,0.628752422727,0.67613312927,0.617874033649,Shepherd,4,4.0,4.05381201892
49,Shepherd_test11,10,13.815237999,"we, you, s, don, your, preach, my, christ, me, get, t, jesus, want, our, said",0.0312878449671,0.0254677472707,0.7,0.3,0.586600930641,0.687605946382,0.592126963656,Shepherd,4,4.0,4.15004862292
55,Shepherd_test18,10,15.6324429512,"we, you, your, s, my, me, don, our, get, ask, christ, t, want, ill, bless",0.034903374704,0.0191962279679,1.0,0.0,0.555623567495,0.659401869479,0.682248141758,Shepherd,4,4.0,3.93038760402
58,Shepherd_test7,10,14.1114730835,"you, we, your, my, s, me, god, want, christ, don, ask, our, lord, get, ill",0.0345528648817,0.0269568289522,0.7,0.3,0.625178469056,0.679271506354,0.649526055591,Shepherd,4,4.0,3.93750128841
63,Shepherd_test17,10,15.078950882,"you, we, your, my, me, s, get, don, sin, want, christ, ask, our, t, heaven",0.0367509637596,0.0194989996592,0.9,0.1,0.615027264185,0.688882215693,0.705867257015,Shepherd,4,4.0,4.39240669445
