,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,17.4072830677,"you, we, your, my, me, s, get, want, our, christ, don, let, god, said, ask, know, ill, sin, t",0.0331551496899,0.022848896122,0.7,0.3,160.2,0.614156418077,0.596896549268,0.622702443043,Shepherd,4,4.0,3.99435068166
4,Shepherd_test9,10,16.6700379848,"you, we, s, your, my, christ, ask, me, heaven, pray, get, god, don, said, want, ill, jesus, t, know",0.0331848554956,0.0191540598405,0.7,0.3,151.8,0.590936117721,0.627844988947,0.579180929888,Shepherd,4,4.0,3.8828677723
6,Shepherd_test21,10,17.1742289066,"we, you, my, me, your, s, god, our, don, know, get, ask, t, want, dad, i, christ, love, rememb",0.0378228880404,0.018533713975,1.0,0.0,167.1,0.631140096602,0.593582536725,0.693668491987,Shepherd,4,4.0,3.96525410529
7,Shepherd_test0,10,16.788424015,"you, we, me, your, s, my, sin, our, christ, don, ask, said, want, get, god, ill, t, someon, jesus",0.0307657823412,0.0277551547324,0.5,0.5,147.4,0.621378223681,0.58139758998,0.562757620412,Shepherd,4,2.8,3.93429119721
10,Shepherd_test10,10,15.7472019196,"we, you, your, me, my, s, god, get, sin, want, don, our, know, better, christ, heaven, wrath, t, noth",0.0342633090685,0.0292340627639,0.6,0.4,147.7,0.648035001094,0.628726306324,0.685411484704,Shepherd,4,3.7,3.45593290095
17,Shepherd_test20,10,16.9056811333,"we, you, me, your, my, s, get, pray, christ, don, want, ill, love, our, ask, t, god, thing, jesus",0.0370436507881,0.0241507074438,0.9,0.1,166.4,0.598269937945,0.613519455698,0.59299097605,Shepherd,4,4.0,3.83407934615
18,Shepherd_test6,10,14.8646171093,"we, you, me, your, my, s, don, get, christ, our, know, t, want, pray, god, preacher, lord, thing, let",0.0326098419917,0.0236600461685,0.9,0.1,153.5,0.634600720851,0.614939131584,0.510369194313,Shepherd,4,4.6,4.55923726475
22,Shepherd_test16,10,16.1370267868,"you, we, your, me, my, s, get, love, our, want, know, don, god, go, ask, thing, christ, ill, t",0.033301045256,0.0197920064839,0.9,0.1,161.2,0.625316376474,0.650377988295,0.727988072263,Shepherd,4,4.31888888889,4.48518817977
25,Shepherd_test19,10,14.8920800686,"you, we, s, me, my, your, get, our, christ, grace, sin, don, love, ask, thing, god, said, t, preacher",0.03303905398,0.0233051486012,0.8,0.2,151.7,0.586170342788,0.603463753168,0.722996198614,Shepherd,4,3.7,3.99964803689
32,Shepherd_test14,10,17.9919409752,"we, you, s, don, your, me, my, christ, get, t, our, god, ask, want, ill, go, know, said, grace",0.0311180800982,0.0205056126828,0.9,0.1,187.7,0.556605677721,0.606969012014,0.545404216346,Shepherd,4,3.3,4.10302519829
33,Shepherd_test4,10,15.8368330002,"we, you, your, my, me, get, s, pray, want, walk, ask, our, don, should, god, know, t, christ, said",0.030612504361,0.0187886701073,0.8,0.2,164.8,0.659695954047,0.600090524433,0.519161983952,Shepherd,4,4.9,3.97677186562
34,Shepherd_test8,10,16.5331718922,"we, you, my, s, pray, your, me, our, sin, get, want, elder, prayer, evil, t, god, don, should, love",0.0325635587862,0.0257377567604,0.7,0.3,170.1,0.629330014506,0.633664180168,0.623299125069,Shepherd,4,4.3,3.99878112442
36,Shepherd_test3,10,15.2676589489,"you, we, your, me, my, s, get, christ, ill, want, ask, our, someon, preacher, know, don, love, said, t",0.030166158905,0.0194538512779,0.8,0.2,156.5,0.622302348483,0.60923986096,0.65029718791,Shepherd,4,4.32,3.96657426344
39,Shepherd_test13,10,14.8435828686,"you, we, my, me, your, s, get, don, love, our, ask, want, christ, worship, t, god, said, ill, widow",0.0362727192025,0.0178846676349,0.9,0.1,145.9,0.610506184882,0.560143797004,0.532891871727,Shepherd,4,4.0,4.16781964496
46,Shepherd_test1,10,15.8067669868,"we, you, my, me, your, s, don, get, christ, our, t, god, faith, ill, want, said, lord, car, preacher",0.0371806701932,0.0191086487194,0.9,0.1,159.6,0.61598360202,0.613975072951,0.645508474321,Shepherd,4,4.0,3.72847525767
50,Shepherd_test11,10,16.0657269955,"we, you, s, me, your, my, christ, get, don, god, know, our, want, jesus, say, t, love, ask, pray",0.0333241890523,0.0185545624371,0.9,0.1,155.4,0.56442858211,0.599797902535,0.607465673507,Shepherd,4,4.0,4.01086995908
51,Shepherd_test2,10,17.2930681705,"we, you, your, s, christ, me, my, our, walk, get, god, t, ill, don, bless, know, jesus, pray, thing",0.0329534291138,0.0208388642971,0.8,0.2,173.2,0.605643318075,0.582554254356,0.632499115926,Shepherd,4,4.0,3.91941960852
57,Shepherd_test18,10,16.8259038925,"we, you, your, me, my, s, want, don, christ, get, our, t, let, prayer, worship, ill, thing, ask, faith",0.0329069460029,0.0200346145237,1.0,0.0,179.8,0.559134655798,0.586640278951,0.612658310461,Shepherd,4,4.0,4.17996359557
60,Shepherd_test7,10,16.4579601288,"you, we, your, my, s, get, me, don, want, god, our, ill, christ, t, thing, will, lord, know, trust",0.0322621344133,0.0271242242818,0.5,0.5,162.2,0.574916946513,0.665049021257,0.651745944098,Shepherd,4,3.6,2.49251726997
65,Shepherd_test17,10,15.9206280708,"you, we, your, me, get, my, s, pray, our, christ, want, don, know, ask, bless, t, ill, preach, i",0.0329343481377,0.0225469818225,1.0,0.0,162.8,0.67111279686,0.576908864132,0.606630634091,Shepherd,4,4.0,4.30041328929
71,Shepherd_test12,10,15.486011982,"you, we, me, s, my, your, christ, love, ill, don, our, ask, said, god, get, rememb, t, know, preacher",0.0324461648097,0.0220161594407,0.9,0.1,155.1,0.575565202049,0.621934878065,0.631705680611,Shepherd,4,4.0,4.14118350283
