,groupId,files,timeRun,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
359,IntegralYoga_test11,4,2.56446194649,0.0247075051245,0.0247075051245,0.0,1.0,7.75,0.0759091996374,0.737410188572,0.544373951872,IntegralYoga,7,3.8,3.94391891347
360,IntegralYoga_test1,5,2.35346198082,0.0233874391501,0.0233874391501,0.0,1.0,6.4,0.120924256084,0.663331550963,0.628510753681,IntegralYoga,7,3.8,3.94394604678
361,IntegralYoga_test8,5,1.65526008606,0.0205920779957,0.0205920779957,0.0,1.0,3.2,0.110422303819,0.68660750072,0.503755102805,IntegralYoga,7,3.8,3.94433383585
362,IntegralYoga_test4,5,3.28077602386,0.0236576841934,0.0236576841934,0.0,1.0,9.2,0.0935896747731,0.756535913816,0.655426349919,IntegralYoga,7,3.8,3.94396017594
363,IntegralYoga_test10,5,3.25034689903,0.0222501834864,0.0222501834864,0.0,1.0,8.4,0.0893455073692,0.715154252264,0.724576951064,IntegralYoga,7,3.8,3.94417846819
364,IntegralYoga_test0,5,4.36616516113,0.0231594813895,0.0231594813895,0.0,1.0,9.0,0.0940308944813,0.723154650528,0.76551954777,IntegralYoga,7,3.8,3.94411561875
365,IntegralYoga_test7,5,2.75702190399,0.0296655631578,0.0296655631578,0.0,1.0,5.8,0.0996129057607,0.703179485954,0.604886669466,IntegralYoga,7,3.8,3.94224703679
366,IntegralYoga_test3,5,3.1655459404,0.0264866373268,0.0264866373268,0.0,1.0,8.4,0.0712706783236,0.727944147094,0.679901584609,IntegralYoga,7,3.8,3.94360479514
367,IntegralYoga_test6,5,2.94371604919,0.0197605506757,0.0197605506757,0.0,1.0,8.0,0.111848108747,0.684071487046,0.764094035249,IntegralYoga,7,3.8,3.9443634383
368,IntegralYoga_test2,5,2.77163720131,0.0297106342622,0.0297106342622,0.0,1.0,8.2,0.0843940144473,0.673920039329,0.579612386109,IntegralYoga,7,3.8,3.94244875421
369,IntegralYoga_test9,5,2.34849786758,0.0191474806125,0.0191474806125,0.0,1.0,5.4,0.0869960474308,0.702049657014,0.526084775481,IntegralYoga,7,3.8,3.9444080857
370,IntegralYoga_test5,5,2.71610498428,0.0309455795428,0.0309455795428,0.0,1.0,4.8,0.0382026315176,0.707263513253,0.553914265259,IntegralYoga,7,4.1,3.94300980695
371,SeaShepherds_test1,5,2.78504300117,0.0232410356388,0.0232410356388,0.0,1.0,9.0,0.163009537888,0.67467541955,0.520615217041,SeaShepherds,2,3.8,3.9438239495
372,SeaShepherds_test2,5,2.06542301178,0.0256243373527,0.0256243373527,0.0,1.0,6.6,0.199820721158,0.696278554746,0.662966311396,SeaShepherds,2,3.8,3.94315308416
373,SeaShepherds_test3,5,1.76300787926,0.0233454448212,0.0233454448212,0.0,1.0,3.8,0.149594771242,0.632696619063,0.753956264942,SeaShepherds,2,3.8,3.94415838589
374,SeaShepherds_test0,5,1.65378904343,0.0244648289789,0.0244648289789,0.0,1.0,4.2,0.182470363043,0.732957815267,0.647043120086,SeaShepherds,2,3.8,3.94358019336
375,Bahai_test7,5,2.29308915138,0.0184586761291,0.0184586761291,0.0,1.0,6.6,0.200241579559,0.732010695975,0.638900606414,Bahai,6,3.8,3.94431209683
376,Bahai_test3,5,2.52203679085,0.0222002107142,0.0222002107142,0.0,1.0,5.6,0.134569593924,0.698337357817,0.727647132192,Bahai,6,3.8,3.94411225456
377,Bahai_test6,5,2.22532296181,0.0311384877434,0.0311384877434,0.0,1.0,4.8,0.146740573152,0.707347169004,0.51293859619,Bahai,6,3.8,3.94111376173
378,Bahai_test2,5,2.40757703781,0.0218640779658,0.0218640779658,0.0,1.0,6.2,0.148580336505,0.665901875333,0.734292286558,Bahai,6,3.8,3.94415909517
379,Bahai_test9,5,2.14868807793,0.0173195026007,0.0173195026007,0.0,1.0,8.2,0.263329288435,0.68271009185,0.758423866843,Bahai,6,4.6,3.94443848933
380,Bahai_test5,5,2.07986712456,0.0247098262917,0.0247098262917,0.0,1.0,8.6,0.274508178603,0.733335241831,0.631848637703,Bahai,6,4.6,3.94348722636
381,Bahai_test1,5,2.01631808281,0.021690003782,0.021690003782,0.0,1.0,8.6,0.303557504873,0.76217469511,0.624360614278,Bahai,6,4.5,3.94415504284
382,Bahai_test8,5,2.09556794167,0.0162042060874,0.0162042060874,0.0,1.0,4.6,0.146670660089,0.783397064231,0.771911090385,Bahai,6,3.8,3.94450394297
383,Bahai_test4,5,1.90104293823,0.018877373093,0.018877373093,0.0,1.0,5.8,0.21280952381,0.759692052319,0.655022260756,Bahai,6,3.8,3.94431612272
384,Bahai_test0,5,2.32544803619,0.0188326613035,0.0188326613035,0.0,1.0,8.0,0.20060055639,0.718399245478,0.639577506966,Bahai,6,3.8,3.94426529358
