,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,14.3176441193,"s, god, get, sin, christ, don, ask, know, rememb, want",0.0307810033693,0.0285980518682,0.7,0.3,0.0739269019466,0.631776237281,0.654801301067,0.720476554179,Shepherd,4,3.98125,4.12760108235
4,Shepherd_test9,10,13.7522909641,"s, don, ask, t, get, want, ill, said, bless, i",0.0321034176954,0.0217866747976,0.8,0.2,0.0633989717551,0.592312777589,0.575303066082,0.726878461038,Shepherd,4,3.98125,4.17588157968
6,Shepherd_test0,10,12.4671781063,"s, want, rememb, get, don, god, ask, hope, t, bless",0.0300218568742,0.019084237203,0.9,0.1,0.049083267743,0.623398744963,0.59690772165,0.714888593948,Shepherd,4,4.0,3.76318335933
9,Shepherd_test10,10,14.741601944,"s, love, don, want, ask, christ, t, get, rememb, i",0.0389635897952,0.0176499272618,0.8,0.2,0.0495405092004,0.592330512845,0.588154777826,0.703015550629,Shepherd,4,4.4,3.99217998411
15,Shepherd_test20,10,15.1323020458,"s, get, want, christ, ill, ask, don, t, said, preach",0.0267034157794,0.0192115739632,0.7,0.3,0.0557201795337,0.584682360483,0.593209478456,0.565726843704,Shepherd,4,3.98125,3.82025165769
16,Shepherd_test6,10,13.8641088009,"s, get, christ, sin, god, ill, prais, don, ask, happen",0.0294259251397,0.0277602103582,0.6,0.4,0.0681473236895,0.573466987912,0.6217284851,0.694153295353,Shepherd,4,3.98125,3.57494915123
21,Shepherd_test16,10,13.775249958,"s, christ, don, t, get, re, didn, ill, know, ask",0.0312879793935,0.0212804377927,0.8,0.2,0.0582159630253,0.55990095335,0.651473774543,0.640639325607,Shepherd,4,4.6,3.95246144141
23,Shepherd_test19,10,14.6225099564,"love, s, want, don, christ, get, t, preacher, say, ill",0.0362830398068,0.0243305550568,0.7,0.3,0.0654237736691,0.587138760176,0.615077115671,0.551184984993,Shepherd,4,3.98125,4.02403090254
30,Shepherd_test14,10,12.4317731857,"s, spirit, christ, get, ask, ill, don, said, thing, t",0.0318592100002,0.0211771953684,0.9,0.1,0.0616344068714,0.571994956473,0.556873946025,0.753246449151,Shepherd,4,4.3,4.20249852657
31,Shepherd_test4,10,15.1576139927,"s, get, sin, don, god, prayer, ask, evil, t, ill",0.0385007933108,0.0243329269752,0.9,0.1,0.0607442040116,0.563986898419,0.581840702574,0.6526227404,Shepherd,4,4.0,4.03976680203
