,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,ISIS_test2,3,10.1150479317,"allah, ribāt, jihād, ibn, wa, sallallāhu, said, sallam, ﻿, rahimahullāh, alayhi, abandon, radiyallāhu, hijrah, messeng, deed, murābit, pkk, abū, reward",0.0160888481004,0.0238586775852,0.333333333333,0.666666666667,0.429320126821,0.212748814036,0.649487472884,0.00365650969529,0.0122991689751,0.00498614958449,0.0171745152355,0.0252631578947,0.0,0.0106371191136,0.755033834643,0.643995449238,ISIS,1,1.0,0.498176580172
3,ISIS_test1,3,2.62746596336,"tribal, dignitari, dabiq, elder, islam, iraq, sunni, foley, safawi, tal, airstrik, isi, obama, ﻿, allah, wilayat, prison, syria, mosul, afar",0.0142270922424,0.0223256768602,0.0,1.0,0.432130004498,0.163124156545,0.596041385515,0.00712166172107,0.0,0.000593471810089,0.0154302670623,0.00830860534125,0.0,0.0142433234421,0.781578022388,0.776530181277,ISIS,1,1.7,2.24669043358
5,ISIS_test4,3,7.40957808495,"﻿, allah, will, mujāhidīn, wa, islam, sallam, prophet, alayhi, sallallāhu, shu'aytāt, obama, ī, dabiq, abū, ibn, truce, mere, crusad, pledg",0.0158541676377,0.0208004621631,0.333333333333,0.666666666667,0.383736340386,0.21871657754,0.633856467488,0.00457159710957,0.00398171361156,0.00294941749005,0.0216782185518,0.00840583984663,0.000147470874502,0.0131249078307,0.752037324842,0.616278777485,ISIS,1,3.1,1.16391709046
9,ISIS_test0,3,3.79588294029,"crusad, nusra, qaeda, allah, al, syrian, isi, jawlānī, “num, …, claimant, jihād, front, islam, zawahiri, apost, attufayl, messeng, syria, “…",0.0156312762478,0.0171723038781,0.333333333333,0.666666666667,0.497140522876,0.126089324619,0.627587145969,0.00470430107527,0.00470430107527,0.00504032258065,0.0070564516129,0.0131048387097,0.0,0.0141129032258,0.702248372301,0.646128058432,ISIS,1,5.3,3.12863614496
14,ISIS_test3,3,17.6734521389,"allah, ibn, wa, faction, sallam, sallallāhu, alayhi, prophet, rahimahullāh, murji'ah, hypocrit, kufr, said, abū, irjā, hypocrisi, abandon, syrian, ignor, say",0.0143643328939,0.0192646029739,0.333333333333,0.666666666667,0.452348926854,0.326562360495,0.73680418881,0.00521141774251,0.00550752102333,0.00479687314935,0.0233921591851,0.016167239133,0.0,0.0107189387658,0.750160248094,0.770017262467,ISIS,1,2.0,2.00884665341
16,Rabbinic_test4,3,6.68190002441,"evil, esther, myerson, jew, eichmann, jewish, moment, amalek, purim, abnorm, ask, peoplehood, know, whi, get, bess, let, chanc, look, freedom",0.0240810121208,0.020485137865,0.666666666667,0.333333333333,0.477657171997,0.302734270659,0.752220684296,0.0246453900709,0.00797872340426,0.00780141843972,0.00691489361702,0.00992907801418,0.00939716312057,0.0122340425532,0.672479213235,0.623569359718,Rabbinic,6,6.1,5.21834213131
20,Rabbinic_test2,3,6.44111299515,"bibl, jewri, jewish, israel, rabbi, rabbin, trip, synagogu, berlin, isra, jew, ultraorthodox, judaism, biblic, agenda, sermon, visit, am, krakow, shoah",0.0164487676344,0.013777312354,0.666666666667,0.333333333333,0.444944980312,0.308351686315,0.678826743926,0.0220820189274,0.00157728706625,0.01261829653,0.00297932001402,0.00315457413249,0.00105152471083,0.00963897651595,0.749197854235,0.81999514305,Rabbinic,6,5.8,5.33600136677
24,Rabbinic_test1,3,9.59308385849,"jew, israel, cousin, torah, mishnah, judaism, want, paint, don't, jewish, know, moment, ask, benji, am, will, let, answer, should, jonathan",0.0177471061737,0.0128310536448,1.0,0.0,0.498137190445,0.218715757177,0.725701293009,0.0189324817518,0.00809762773723,0.017677919708,0.0112910583942,0.00923813868613,0.00182481751825,0.0124315693431,0.777945114446,0.648854153126,Rabbinic,6,5.1,4.90591009951
26,Rabbinic_test5,3,7.08090806007,"memori, rememb, walk, shul, moment, jewish, know, happen, hope, rabbi, answer, courag, ask, am, generat, yerushalmi, torah, mose, want, say",0.0211010820584,0.0192770393715,0.666666666667,0.333333333333,0.415462891463,0.202096954097,0.796298584299,0.0337782171692,0.00724995880705,0.0171362662712,0.0136760586588,0.0107101664195,0.0021420332839,0.0123578843302,0.691940093057,0.543917255131,Rabbinic,6,4.4,5.29823949722
28,Rabbinic_test0,3,7.81813406944,"moment, abraham, sing, destini, hope, ourselv, judaism, want, know, forward, let, rosh, passag, hashanah, tallit, doesn't, friedman, agnon, everyth, step",0.0239952743929,0.0238010604623,0.666666666667,0.333333333333,0.3679138322,0.151596749811,0.803122637944,0.0284202569917,0.00967498110355,0.0142101284958,0.00710506424792,0.0139077853364,0.00468631897203,0.0102796674225,0.716341457968,0.598615428704,Rabbinic,6,6.4,5.81992509569
30,Rabbinic_test3,3,8.79326796532,"mose, rabbi, happi, kippur, yom, let, shalev, know, alinski, joy, ecclesiast, ask, plagu, nachman, sukkot, bless, rebb, pharaoh, egyptian, ehrenreich",0.0224794192244,0.022763987802,0.666666666667,0.333333333333,0.357757137943,0.184416924665,0.707946336429,0.0268078985223,0.00823852491173,0.00941545704198,0.00758467372826,0.0166078200602,0.00143847260364,0.0142539557997,0.647803565807,0.674604315045,Rabbinic,6,4.2,4.90069047262
34,IntegralYoga_test3,3,4.09327292442,"guru, gurudev, sri, know, yoga, am, don't, want, realli, ask, discipl, teacher, “i, say, peac, negat, someon, self, everyth, prayer",0.0269063449622,0.00948927418884,1.0,0.0,0.471762542685,0.0657716987504,0.776633269541,0.00768491834774,0.039065001601,0.0124879923151,0.00768491834774,0.018571886007,0.0028818443804,0.0134486071085,0.678764179064,0.563138910612,IntegralYoga,6,5.3,4.11522456722
35,IntegralYoga_test1,3,5.07963109016,"mind, yoga, sutra, whi, everyth, calm, mental, want, clean, medit, intellect, patanjali, experi, truth, say, yogic, dedic, anyth, raja, happi",0.028335122503,0.0101785308249,1.0,0.0,0.319361105537,0.101881396749,0.624786775035,0.0151858567543,0.0426110607434,0.00113327289211,0.00679963735267,0.00521305530372,0.000453309156845,0.0158658204896,0.703690223805,0.692349902689,IntegralYoga,6,6.0,6.17298600689
38,IntegralYoga_test2,3,3.75008511543,"pain, boat, everyth, don't, happi, someth, want, get, whi, noth, yantra, away, triangl, attach, anyth, manifest, should, god, if, devot",0.0241748494562,0.0183097269799,0.666666666667,0.333333333333,0.389708222812,0.089142351901,0.65474801061,0.0220433869839,0.0398880335899,0.0115465360392,0.00489853044087,0.000699790062981,0.00209937018894,0.0325402379286,0.714858363526,0.698819989491,IntegralYoga,6,5.3,4.55814168016
40,IntegralYoga_test0,3,5.63224387169,"om, sri, vibrat, whi, say, god, gurudev, mantra, mango, swami, sound, should, heard, let, mind, satchidananda, ah, medit, devot, want",0.0238792842157,0.0104760716756,1.0,0.0,0.354755300494,0.0785493384346,0.716527977044,0.0200648561005,0.0198621807864,0.00324280502635,0.00587758411026,0.0113498175922,0.00243210376976,0.0259424402108,0.756342512805,0.73680373128,IntegralYoga,6,5.4,5.04959421759
