,groupId,files,timeRun,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
267,DorothyDay_test0,5,5.85783600807,0.0283583836393,0.0283583836393,0.0,1.0,22.8,0.203789926055,0.743604371184,0.720391772711,DorothyDay,4,3.2,3.94124237051
268,DorothyDay_test3,5,4.89365100861,0.0297142395464,0.0297142395464,0.0,1.0,14.0,0.122818334607,0.741822844153,0.813076722854,DorothyDay,4,3.8,3.94235882873
269,DorothyDay_test2,5,4.66813588142,0.023803469694,0.023803469694,0.0,1.0,16.4,0.176391922836,0.764758753685,0.746821587438,DorothyDay,4,3.8,3.94360813764
270,DorothyDay_test5,5,6.64392900467,0.0231510965762,0.0231510965762,0.0,1.0,24.4,0.187307965575,0.741366898397,0.778338990465,DorothyDay,4,2.6,3.94363881372
271,DorothyDay_test4,5,5.22838997841,0.0287268721327,0.0287268721327,0.0,1.0,15.2,0.151101728066,0.676569357269,0.673522514268,DorothyDay,4,3.8,3.94153686157
272,DorothyDay_test7,5,4.54223895073,0.0258024134108,0.0258024134108,0.0,1.0,15.0,0.179731900128,0.687673320482,0.713595530643,DorothyDay,4,3.8,3.94290495011
273,DorothyDay_test6,5,5.50043416023,0.0264713104542,0.0264713104542,0.0,1.0,15.2,0.121383746458,0.73844301581,0.804977178874,DorothyDay,4,3.8,3.94337354167
274,DorothyDay_test8,1,1.63872003555,0.0228291887485,0.0228291887485,0.0,1.0,21.0,0.198113207547,0.724535315025,0.677672552401,DorothyDay,4,3.5,3.94349966644
275,DorothyDay_test1,5,3.82675600052,0.0244257742588,0.0244257742588,0.0,1.0,11.4,0.148906479463,0.658259540923,0.627135425667,DorothyDay,4,3.8,3.94352094299
368,Bahai_test4,5,2.61264300346,0.0256489944589,0.0256489944589,0.0,1.0,9.2,0.219057869058,0.777134586815,0.804045553961,Bahai,6,4.2,3.9435917995
369,Bahai_test5,5,2.58234286308,0.0217548332647,0.0217548332647,0.0,1.0,8.6,0.235962181587,0.711553398666,0.703406736509,Bahai,6,4.4,3.94399831613
370,Bahai_test6,5,2.53296113014,0.0279301533967,0.0279301533967,0.0,1.0,6.0,0.183330722917,0.701092349599,0.560509655498,Bahai,6,4.1,3.94229375595
371,Bahai_test7,5,2.80259299278,0.025874623748,0.025874623748,0.0,1.0,10.0,0.23297036297,0.734329420841,0.459110659848,Bahai,6,4.1,3.94333580443
372,Bahai_test0,5,2.34271717072,0.0144050165913,0.0144050165913,0.0,1.0,5.8,0.175708974266,0.735761990278,0.727127209659,Bahai,6,3.8,3.94450796323
373,Bahai_test1,5,1.67027997971,0.0206092675404,0.0206092675404,0.0,1.0,4.8,0.243200542005,0.678376737955,0.544129460283,Bahai,6,4.3,3.94421129348
374,Bahai_test2,5,1.97067689896,0.0185960058828,0.0185960058828,0.0,1.0,6.2,0.1945951417,0.710110076628,0.637704501334,Bahai,6,3.8,3.94430384621
375,Bahai_test8,5,1.96734690666,0.025792631763,0.025792631763,0.0,1.0,6.4,0.219109026751,0.712314691272,0.651137174096,Bahai,6,4.2,3.94307880117
376,Bahai_test3,5,1.89235305786,0.0125169086359,0.0125169086359,0.0,1.0,5.2,0.157237076649,0.703645574004,0.586443747883,Bahai,6,3.8,3.94453615319
377,Bahai_test9,5,2.06710100174,0.0181665904291,0.0181665904291,0.0,1.0,4.8,0.170435897436,0.769075265854,0.512075085128,Bahai,6,3.8,3.94440954562
