,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,rank,groupName
0,ACLU07,0.0102702702703,0.0151351351351,0.0,1.0,0.130434782609,27.0,0.391304347826,0.00216216216216,0.000540540540541,0.0,0.011351351351399998,0.00108108108108,0.0,0.00594594594595,0.278918918919,0.0385696753349,0.642040696097,3,ACLU
1,Unitarian006,0.025641025641,0.021978021978,1.0,0.0,0.307692307692,9.0,0.692307692308,0.00732600732601,0.003663003663,0.025641025641,0.018315018315,0.0,0.018315018315,0.0,0.6630036630039999,-0.656296055475,0.5356664831319999,2,Unitarian
2,DorothyDay406,0.050938337801599995,0.00536193029491,1.0,0.0,0.15,9.0,0.45,0.0214477211796,0.0,0.0,0.0,0.00268096514745,0.0160857908847,0.00268096514745,0.522788203753,-0.461483201815,0.682158820547,4,DorothyDay
3,Rabbinic023,0.0264088658335,0.012968639471799999,1.0,0.0,0.12727272727299999,142.0,0.516363636364,0.00542324923367,0.00235793444942,0.00754539023815,0.0089601509078,0.0518745578873,0.0007073803348270001,0.0146191935864,0.18509785428,0.813725668256,0.748769177055,4,Rabbinic
4,LiberalJudaism034,0.0251223491028,0.0189233278956,1.0,0.0,0.109589041096,130.0,0.8904109589040001,0.0414355628059,0.0309951060359,0.026427406198999998,0.00587275693312,0.00978792822186,0.0006525285481240001,0.0101141924959,0.259380097879,0.815944525794,0.633136805755,2,LiberalJudaism
5,Rabbinic019,0.0234113712375,0.0153846153846,1.0,0.0,0.08583690987119999,123.0,0.527896995708,0.00401337792642,0.0110367892977,0.010702341137099999,0.00602006688963,0.0418060200669,0.0,0.024749163879599998,0.242140468227,0.854814623787,0.6467836842019999,4,Rabbinic
6,DorothyDay044,0.0217391304348,0.0217391304348,0.0,1.0,0.150943396226,43.0,0.8113207547169999,0.0239130434783,0.018478260869599996,0.00978260869565,0.00978260869565,0.0173913043478,0.0,0.0141304347826,0.40217391304300004,-1.0,0.494488806236,3,DorothyDay
7,MehrBaba147,0.0346344145135,0.0159428257284,1.0,0.0,0.228571428571,55.0,0.785714285714,0.018691588785,0.0,0.0,0.00714678394722,0.0269378779549,0.0,0.0109950522265,0.320505772402,-0.430734059484,0.827547377808,6,MehrBaba
8,JohnPiper031,0.0260545905707,0.037841191067,0.0,1.0,0.0769230769231,66.0,0.725274725275,0.0117866004963,0.019851116625299998,0.0179900744417,0.00496277915633,0.035359801488800004,0.0006203473945410001,0.013027295285399998,0.29528535980099996,-0.657350145074,0.654087655872,3,JohnPiper
9,MehrBaba031,0.0305084745763,0.0169491525424,1.0,0.0,0.190476190476,32.0,0.761904761905,0.00112994350282,0.00338983050847,0.021468926553700002,0.00790960451977,0.021468926553700002,0.0,0.0112994350282,0.40112994350299996,-0.102777764196,0.576910418509,5,MehrBaba
10,ISIS009,0.0271186440678,0.0237288135593,1.0,0.0,0.222222222222,6.0,0.666666666667,0.00338983050847,0.0,0.00338983050847,0.0135593220339,0.010169491525399999,0.0,0.0,0.613559322034,-1.0,0.561701840028,1,ISIS
11,SeaShepherds408,0.0180754917597,0.042530568846399996,0.0,1.0,0.211009174312,65.0,0.596330275229,0.0154173312068,0.004784688995220001,0.007442849548109999,0.012759170653899999,0.000531632110579,0.000531632110579,0.016480595428,0.325358851675,0.7488638044149999,0.55273941278,1,Shepherd
12,AEU006,0.0392594244925,0.027660049074300003,1.0,0.0,0.0491803278689,145.0,0.792349726776,0.0256524648673,0.011822440330100001,0.0015614543832300001,0.012491635065799998,0.00803033682802,0.002007584207,0.016060673656,0.287084541602,-0.440321879591,0.7782871903,6,AEU
13,AEU013,0.023172905525799998,0.0267379679144,0.0,1.0,0.241379310345,13.0,0.448275862069,0.007130124777180001,0.0,0.0017825311942999999,0.007130124777180001,0.0,0.0,0.0160427807487,0.484848484848,-0.8343870626659999,0.5581834918330001,8,AEU
14,WBC294,0.0323054331865,0.023127753304,1.0,0.0,0.08633093525180001,98.0,0.705035971223,0.019089574155700003,0.016886930983799998,0.041483113069,0.00807635829662,0.0179882525698,0.0,0.008810572687219999,0.24302496328899997,0.486627420426,0.6089096744960001,1,WBC
15,DorothyDay258,0.0339558573854,0.0169779286927,1.0,0.0,0.107142857143,14.0,0.5,0.0237691001698,0.0,0.00169779286927,0.00509337860781,0.0,0.0,0.0101867572156,0.44142614601,-0.814317724191,0.6143673673910001,4,DorothyDay
16,JohnPiper559,0.0322055953155,0.019843851659099996,1.0,0.0,0.17532467532499998,96.0,0.6233766233770001,0.014313597918,0.005530253741050001,0.0100845803513,0.011385816525700001,0.0123617436565,0.000325309043591,0.0107351984385,0.18932986337000002,0.08908217021400001,0.602620770506,4,JohnPiper
17,MalcolmX011,0.0184800664452,0.0144310631229,1.0,0.0,0.072202166065,435.0,0.7851985559569999,0.0192068106312,0.03176910299,0.0129775747508,0.0140157807309,0.015988372093,0.0010382059800700001,0.0179609634551,0.147113787375,0.737639358183,0.536407918868,2,MalcolmX
18,WBC324,0.0211688909342,0.0046019328117799995,1.0,0.0,0.109589041096,56.0,0.767123287671,0.011044638748299999,0.0027611596870700003,0.0041417395306,0.0188679245283,0.0404970087437,0.000460193281178,0.011504832029500001,0.2420616659,-0.623143493018,0.721960751688,1,WBC
