"","Var1","Freq"
"244","good",0.00244732515008986
"419","nt",0.00225612787273909
"418","now",0.00202669113991817
"248","great",0.00156781767427632
"209","first",0.00145309930786586
"332","just",0.00126190203051509
"623","true",0.00107070475316431
"168","etern",0.000955986386753853
"516","right",0.000917746931283698
"171","even",0.00084126802034339
"526","second",0.000803028564873236
"361","mani",0.00065007074299262
"235","glad",0.000611831287522466
"207","final",0.000573591832052312
"577","still",0.000573591832052312
"312","instead",0.000535352376582157
"388","much",0.000535352376582157
"403","never",0.000497112921112003
"502","realli",0.000497112921112003
"548","simpli",0.000497112921112003
