"","Var1","Freq"
"344","new",0.00323927721187995
"349","nt",0.00284900284900285
"155","etern",0.00222456386839948
"221","good",0.00187331694181009
"348","now",0.00140498770635757
"278","just",0.00136596027006986
"191","first",0.00132693283378215
"513","true",0.00105374077976818
"23","also",0.000975685907192756
"508","togeth",0.000936658470905046
"22","alreadi",0.000819576162041916
"159","even",0.000780548725754205
"224","great",0.000780548725754205
"297","local",0.000741521289466495
"3","absolut",0.000702493853178785
"245","humbl",0.000702493853178785
"41","awai",0.000663466416891074
"353","old",0.000663466416891074
"501","therefor",0.000663466416891074
"311","mani",0.000624438980603364
