"","Var1","Freq"
"402","new",0.00232035652462156
"416","nt",0.0019888770211042
"415","now",0.00176789068542595
"227","first",0.00128908695812309
"198","even",0.00106810062244485
"337","just",0.00103126956649847
"400","never",0.00103126956649847
"273","good",0.000994438510552098
"611","true",0.000994438510552098
"60","awai",0.000957607454605724
"554","spiritu",0.000810283230820228
"28","also",0.000773452174873854
"245","free",0.00073662111892748
"343","last",0.000626127951088358
"488","radic",0.000626127951088358
"512","righteou",0.000589296895141984
"589","therefor",0.000589296895141984
"81","bold",0.00055246583919561
"370","mani",0.00055246583919561
"495","realli",0.00055246583919561
