"","Var1","Freq"
"377","now",0.00232361639205746
"149","etern",0.00211237853823405
"378","nt",0.00152091254752852
"151","ever",0.00122517955217575
"512","spiritu",0.000929446556822983
"305","last",0.000887198986058302
"559","true",0.000887198986058302
"222","good",0.00080270384452894
"187","first",0.000760456273764259
"226","great",0.000760456273764259
"46","awai",0.000718208702999578
"150","even",0.000718208702999578
"409","person",0.000718208702999578
"340","mani",0.000675961132234897
"365","never",0.000675961132234897
"50","back",0.000633713561470215
"358","much",0.000633713561470215
"450","realli",0.000633713561470215
"259","human",0.000591465990705534
"462","right",0.000591465990705534
