"","Var1","Freq"
"192","first",0.00204748733790725
"218","good",0.00176012069399044
"359","now",0.00168827903301124
"361","nt",0.00158051654154244
"461","second",0.00140091238909444
"449","right",0.00104170408419843
"348","new",0.000933941592729624
"317","mani",0.000862099931750422
"163","even",0.000826179101260821
"430","realli",0.000826179101260821
"289","just",0.00079025827077122
"22","also",0.000754337440281619
"162","ethnic",0.000754337440281619
"293","last",0.000718416609792018
"551","true",0.000682495779302417
"20","alreadi",0.000610654118323216
"44","awai",0.000610654118323216
"188","final",0.000610654118323216
"246","human",0.000610654118323216
"534","therefor",0.000610654118323216
