"","Var1","Freq"
"257","great",0.00168102542550956
"407","nt",0.00161098269944666
"218","first",0.00143587588428942
"405","now",0.00143587588428942
"250","good",0.00140085452125797
"274","holi",0.00119072634306927
"331","just",0.00105064089094348
"605","therefor",0.000980598164880577
"180","even",0.000805491349723331
"65","better",0.000770469986691882
"143","divin",0.000770469986691882
"398","new",0.000770469986691882
"490","realli",0.000770469986691882
"24","also",0.000735448623660433
"669","vers",0.000735448623660433
"176","etern",0.000700427260628984
"336","last",0.000665405897597534
"46","awai",0.000560341808503187
"95","clearli",0.000560341808503187
"183","evid",0.000560341808503187
