"","Var1","Freq"
"393","now",0.00221926320461607
"395","nt",0.00162745968338512
"236","good",0.00151649652315431
"313","just",0.00122059476253884
"549","spiritu",0.0010726438822311
"200","first",0.00103565616215416
"493","rotten",0.000850717561769493
"16","also",0.000813729841692558
"34","asham",0.000813729841692558
"243","great",0.000813729841692558
"269","human",0.000702766681461755
"651","whole",0.00066577896138482
"174","even",0.000591803521230951
"323","last",0.000591803521230951
"368","moral",0.000591803521230951
"576","therefor",0.000591803521230951
"586","togeth",0.000591803521230951
"385","new",0.000554815801154017
"492","right",0.000554815801154017
"181","evil",0.000517828081077082
