"","Var1","Freq"
"386","nt",0.00236444515689496
"196","first",0.00176331503226065
"384","now",0.00152286298240692
"234","great",0.00140263695748006
"170","even",0.00132248627419549
"233","good",0.0012824109325532
"530","spiritu",0.00120226024926862
"307","just",0.0009618081994149
"364","much",0.0009618081994149
"167","etern",0.000921732857772612
"349","merci",0.000921732857772612
"470","right",0.000841582174488038
"643","yet",0.000841582174488038
"18","also",0.00080150683284575
"340","mani",0.00080150683284575
"312","last",0.000761431491203462
"481","second",0.000721356149561175
"369","natur",0.000681280807918888
"616","vers",0.0006412054662766
"374","never",0.000601130124634312
