"","Var1","Freq"
"213","good",0.00275892923719335
"369","nt",0.00205055551413019
"366","now",0.00175229289389307
"182","first",0.00126761613600775
"21","also",0.00123033330847811
"288","just",0.00119305048094848
"469","right",0.00119305048094848
"324","mani",0.000969353515770636
"631","worthi",0.000894787860711356
"355","never",0.000745656550592797
"449","realli",0.000745656550592797
"22","alwai",0.000708373723063157
"154","even",0.000708373723063157
"245","human",0.000671090895533517
"155","ever",0.000633808068003877
"218","great",0.000633808068003877
"615","well",0.000633808068003877
"40","back",0.000596525240474238
"146","enough",0.000596525240474238
"295","last",0.000596525240474238
