"","Var1","Freq"
"366","nt",0.00271024967148489
"231","great",0.00156044678055191
"153","even",0.00131406044678055
"225","good",0.00131406044678055
"365","now",0.00127299605781866
"299","just",0.00114980289093298
"545","therefor",0.00102660972404731
"20","also",0.000944480946123522
"247","high",0.000944480946123522
"187","first",0.000862352168199737
"194","forev",0.000862352168199737
"258","human",0.000780223390275953
"318","littl",0.00073915900131406
"154","ever",0.000698094612352168
"438","realli",0.000698094612352168
"451","right",0.000698094612352168
"598","vers",0.000698094612352168
"2","abl",0.000657030223390276
"21","alwai",0.000657030223390276
"557","togeth",0.000615965834428384
