"","Var1","Freq"
"246","good",0.00225757901526553
"393","now",0.00182756396473877
"394","nt",0.00182756396473877
"170","even",0.00125421056403641
"316","just",0.00125421056403641
"569","therefor",0.00121837597649251
"20","also",0.00107503762631692
"249","great",0.00103920303877302
"277","human",0.00100336845122913
"323","last",0.000860030101053537
"45","awai",0.00082419551350964
"208","first",0.000788360925965742
"624","vers",0.000752526338421845
"201","femal",0.000716691750877947
"124","deep",0.00068085716333405
"586","true",0.00068085716333405
"346","male",0.000609187988246255
"348","mani",0.000573353400702358
"383","never",0.000537518813158461
"19","alreadi",0.000501684225614563
