"","Var1","Freq"
"227","great",0.0020365062603711
"224","good",0.00177251470810077
"375","now",0.00173480162920501
"453","right",0.0013576708402474
"504","spiritu",0.0013576708402474
"185","first",0.00116910544576859
"293","just",0.00109367928797707
"365","new",0.000942826972394026
"376","nt",0.000942826972394026
"302","last",0.000905113893498265
"609","vers",0.000867400814602504
"174","fast",0.000829687735706743
"418","poor",0.000829687735706743
"496","sovereign",0.000829687735706743
"252","human",0.000678835420123699
"328","mani",0.000678835420123699
"204","free",0.000641122341227938
"157","even",0.000603409262332177
"105","dark",0.000565696183436416
"256","hungri",0.000565696183436416
