"","Var1","Freq"
"361","nt",0.0027063599458728
"359","now",0.00186062246278755
"350","new",0.00121786197564276
"179","first",0.00118403247631935
"501","spiritu",0.00118403247631935
"284","just",0.00104871447902571
"215","good",0.0010148849797023
"156","even",0.00098105548037889
"220","great",0.00087956698240866
"531","therefor",0.00087956698240866
"44","awai",0.00074424898511502
"158","ever",0.00074424898511502
"505","still",0.00071041948579161
"370","old",0.00064276048714479
"47","back",0.00060893098782138
"110","dead",0.00060893098782138
"161","evil",0.00060893098782138
"250","human",0.00060893098782138
"340","natur",0.00057510148849797
"591","vers",0.00057510148849797
