"","Var1","Freq"
"384","now",0.00224174711646238
"386","nt",0.00224174711646238
"234","great",0.00206096105868315
"200","first",0.00130165961601041
"171","even",0.00126550240445457
"306","just",0.00126550240445457
"166","etern",0.00122934519289872
"233","good",0.0010485591351195
"48","awai",0.00101240192356365
"310","last",0.00101240192356365
"188","fals",0.000940087500451965
"412","perfect",0.000940087500451965
"21","also",0.000759301442672741
"376","never",0.000759301442672741
"465","realli",0.000723144231116896
"338","mani",0.000686987019561051
"496","second",0.000650829808005207
"507","sexual",0.000650829808005207
"546","spiritu",0.000614672596449362
"591","true",0.000614672596449362
