,Unnamed: 0,groupId,files,timeRun,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
4,8,Shepherd_test15,10,22.2858569622,0.0986808550913,0.055789661693,1.0,0.0,19.3,0.0902321602562,0.487103548319,0.639862992112,Shepherd,4,4.0,4.12136170594
5,9,Shepherd_test04,10,18.9255537987,0.0931013412096,0.0587823122614,1.0,0.0,15.9,0.0713116435179,0.522067804364,0.612554778574,Shepherd,4,4.0,3.95837992221
11,46,Shepherd_test10,10,21.7533938885,0.0971423820783,0.0624797409,0.9,0.1,18.4,0.0758853816866,0.543933780879,0.355075660593,Shepherd,4,4.3,4.20320671876
12,48,Shepherd_test01,10,20.0393381119,0.1017240452,0.056142103126,1.0,0.0,17.3,0.0717335604865,0.533877170447,0.503544625648,Shepherd,4,4.0,4.17376296996
16,63,Shepherd_test06,10,19.0351259708,0.0991469555058,0.0619176673643,1.0,0.0,15.0,0.0597660722775,0.54840378564,0.37310618569,Shepherd,4,4.0,4.15436530787
19,89,Shepherd_test20,10,20.3690919876,0.098007702555,0.0446813388039,1.0,0.0,18.1,0.0716650296887,0.556845525581,0.568439825622,Shepherd,4,4.0,4.14904395452
25,112,Shepherd_test16,10,20.9101510048,0.101217070903,0.0510346580778,1.0,0.0,18.7,0.0765675982381,0.53085332681,0.438987672683,Shepherd,4,4.0,4.35679395025
26,114,Shepherd_test03,10,21.3477499485,0.0925687274835,0.0543223765564,0.9,0.1,15.5,0.0566255082226,0.527635183411,0.576033020021,Shepherd,4,4.0,4.02053742163
29,128,Shepherd_test19,10,19.3857150078,0.0953797680678,0.0685558254828,0.6,0.4,17.3,0.0821138881771,0.52472496575,0.483363893083,Shepherd,4,3.2,2.78665293887
30,130,Shepherd_test08,10,21.6137280464,0.0930871766806,0.0625310468477,0.9,0.1,16.1,0.0545096046502,0.559003875346,0.681657582388,Shepherd,4,4.0,4.2081690158
